=== non-contiguous nft : chains ===
Found 2699 chain interruption in 4063 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1005:	2 
101:	1 
1015:	2 
1022:	2 
1023:	2 
1028:	2 
1035:	1 
1036:	1 
1037:	1 
105:	1 
1052:	2 
1065:	3 1 
1081:	1 1 
1086:	2 
110:	3 
1104:	1 1 
1106:	2 
1115:	1 
1120:	2 
1121:	1 
1130:	1 
1131:	3 
1140:	1 
115:	2 
1153:	1 
1156:	2 
1158:	2 
1161:	1 
1168:	1 
1169:	2 
1170:	3 
1173:	4 
1174:	2 
118:	2 1 
1181:	2 
1182:	1 
1183:	1 
1185:	1 4 
1188:	1 
1192:	1 
1193:	1 
1196:	2 
1208:	1 
1210:	2 1 
1212:	2 
1218:	2 
1224:	1 3 
1228:	1 
1230:	2 1 
1231:	9 
1232:	1 4 
1235:	1 1 1 2 
1236:	4 1 
1237:	1 
1238:	2 
1239:	3 1 
1240:	1 
1242:	1 1 
1243:	1 2 
1244:	6 
1246:	1 2 3 
1247:	2 2 2 
1248:	3 
1249:	2 
1250:	1 
1251:	2 
1253:	1 2 
1254:	1 
1255:	5 
1256:	2 
1257:	2 
1258:	2 3 
1259:	2 
1260:	5 
1261:	1 
1262:	1 1 
1263:	2 2 2 
1265:	4 
1266:	3 
1267:	3 
1270:	1 3 4 
1271:	1 1 2 
1272:	3 
1273:	3 1 
1274:	1 
1275:	5 
1276:	3 
1277:	1 
1278:	2 
128:	2 
1280:	2 
1281:	2 1 
1282:	2 3 
1284:	2 
1285:	1 2 
1286:	1 
1287:	2 1 
1288:	2 2 
1289:	1 
1290:	2 1 2 
1291:	1 2 
1292:	4 
1293:	4 1 1 
1294:	2 
1296:	1 
1297:	2 
1298:	2 
1299:	1 1 
1300:	2 1 
1302:	1 1 
1304:	1 1 3 
1305:	2 
1306:	2 2 1 
1307:	2 
1308:	4 
1309:	3 
131:	3 
1310:	2 1 4 
1311:	3 2 
1312:	1 
1313:	3 
1316:	1 1 
1317:	1 
1318:	4 
132:	2 
1320:	3 1 
1321:	1 3 1 
1322:	1 
1323:	3 
1324:	2 
1325:	2 
1326:	2 
1327:	1 
1328:	2 
1329:	1 
1330:	2 1 
1331:	1 1 2 
1332:	1 
1333:	4 
1334:	2 3 
1335:	3 
1336:	1 3 
1337:	3 1 1 
1338:	2 
1339:	1 
1341:	1 2 
1342:	2 
1343:	3 
1344:	1 
1345:	3 
1346:	2 1 1 5 
1347:	2 1 
1348:	2 1 
1349:	1 
1350:	3 
1351:	2 
1352:	1 1 
1353:	4 
1355:	2 1 
1357:	1 1 
1359:	2 
1360:	3 
1362:	1 
1363:	2 1 1 2 
1365:	1 2 1 
1366:	4 
1367:	2 3 1 1 
1368:	1 1 1 
1369:	1 2 2 
1370:	1 
1371:	2 
1372:	2 
1374:	2 2 
1375:	1 1 
1376:	2 
1377:	1 1 
1380:	1 1 
1381:	2 
1382:	2 
1383:	1 
1384:	3 
1385:	1 
1387:	2 
1388:	1 
1389:	2 
139:	2 
1390:	7 
1391:	2 
1393:	1 1 
1394:	1 
1395:	1 1 
1396:	2 
1397:	1 1 1 
1398:	1 1 2 
1399:	2 
1400:	1 3 
1401:	2 
1402:	1 3 
1403:	2 
1404:	3 7 
1405:	2 1 
1407:	1 3 2 1 1 
1408:	1 1 1 
1409:	1 
1410:	2 1 
1412:	2 
1413:	3 
1415:	3 
1416:	2 
1417:	3 
1418:	1 2 
1419:	4 
1420:	3 1 1 
1422:	1 1 
1423:	1 3 
1424:	2 
1425:	1 4 
1426:	1 
1427:	1 
1428:	1 
1429:	1 
1430:	1 
1431:	4 
1432:	2 1 
1433:	2 
1434:	1 4 
1435:	2 
1436:	1 
1437:	2 1 2 
1438:	1 1 3 
1439:	2 
1440:	1 
1442:	2 
1443:	1 
1444:	2 
1445:	3 
1446:	1 1 
1447:	1 1 
1448:	2 
1449:	3 
1450:	2 1 
1451:	1 
1452:	1 
1453:	2 
1454:	1 2 1 1 
1455:	1 2 2 
1456:	2 
1457:	1 3 
1459:	1 2 1 
1460:	2 4 
1461:	1 1 
1463:	4 
1464:	2 1 3 2 
1465:	1 4 
1466:	1 
1467:	1 2 1 1 3 2 
1468:	2 4 
1469:	1 
1470:	1 
1471:	2 1 3 
1472:	2 
1473:	3 
1474:	1 
1475:	1 2 
1476:	1 3 
1477:	2 
1479:	2 
1481:	1 
1482:	2 2 
1483:	1 
1485:	1 
1486:	2 
1487:	2 
1488:	1 
1489:	1 
1490:	2 
1491:	1 
1492:	1 
1493:	2 
1494:	1 4 2 
1495:	1 
1496:	2 
1498:	1 
1499:	4 
15:	3 
1500:	1 
1503:	1 
1505:	2 
1506:	4 
1507:	1 
1508:	2 4 
1509:	2 
1511:	1 
1512:	5 
1514:	3 
1515:	1 
1516:	3 
1517:	2 1 
1518:	2 
1519:	1 1 2 
152:	1 2 3 
1520:	4 
1522:	1 
1523:	3 3 
1524:	1 
1525:	1 4 
1526:	2 
1529:	1 1 
1530:	1 2 
1531:	2 2 
1532:	1 
1533:	1 
1534:	1 3 
1535:	1 3 1 
1536:	1 2 1 3 1 
1537:	1 1 
1538:	2 
1539:	2 
1540:	3 
1541:	1 3 
1542:	1 1 1 1 1 
1543:	1 1 
1544:	1 1 
1545:	1 
1548:	3 2 
1549:	1 
1550:	1 
1551:	4 
1552:	1 1 
1553:	5 
1554:	1 
1555:	1 
1556:	2 2 
1557:	2 
1558:	2 
1559:	1 1 
1560:	4 
1561:	8 1 4 
1562:	1 
1563:	1 
1564:	3 
1566:	2 1 3 2 
1567:	2 
1568:	2 3 
1569:	1 
1570:	2 2 2 
1572:	1 1 2 1 
1573:	2 
1574:	1 1 
1575:	1 
1576:	2 1 1 1 
1577:	4 2 
1578:	1 
1579:	2 2 1 
1580:	1 3 
1581:	1 2 
1582:	1 
1583:	2 1 
1586:	2 
1587:	2 
1588:	5 
1589:	2 1 
1590:	2 
1591:	1 
1592:	2 1 
1593:	2 
1594:	1 
1595:	1 
1596:	3 
1598:	1 1 
1599:	1 1 
1600:	3 
1601:	1 
1602:	4 1 
1603:	2 1 2 
1604:	1 
1605:	3 
1606:	3 
1607:	3 
1608:	2 3 
1610:	5 1 1 
1611:	2 
1613:	1 2 
1614:	4 1 2 
1615:	1 1 1 
1616:	9 1 
1617:	1 1 2 
1618:	3 
1619:	1 
1620:	1 
1622:	2 
1623:	2 
1624:	1 
1625:	2 
1627:	3 
1628:	2 1 
1629:	1 2 
1630:	1 
1631:	1 
1633:	1 1 
1634:	1 1 
1635:	2 1 3 
1636:	1 
1638:	2 
1639:	2 1 1 1 1 
1640:	3 
1641:	1 
1642:	4 1 
1644:	2 
1645:	1 1 
1646:	2 1 
1647:	1 
1649:	2 
1650:	1 2 
1651:	4 
1652:	4 
1653:	4 
1654:	2 
1655:	2 1 
1656:	1 3 
1657:	2 1 
1658:	2 1 1 1 
1659:	4 2 
166:	4 
1660:	3 1 1 
1661:	1 1 2 
1663:	2 
1664:	1 2 
1665:	2 
1667:	1 
1668:	1 1 
1669:	2 
1670:	1 
1671:	4 
1672:	3 
1676:	1 3 1 
1677:	1 
1678:	1 1 
1679:	2 
168:	1 
1681:	1 
1682:	1 
1686:	2 
1687:	1 1 
1688:	1 
1689:	1 
169:	2 
1691:	1 1 
1692:	1 1 
1693:	2 3 
1694:	3 
1696:	2 
1697:	1 3 
1698:	1 
1699:	3 
170:	2 
1700:	1 
1701:	3 2 
1702:	1 
1703:	1 2 
1704:	1 1 
1705:	4 
1707:	1 
1708:	1 2 
1709:	4 1 
171:	1 2 
1710:	1 1 1 1 
1711:	1 2 
1712:	2 
1713:	4 
1714:	1 1 
1715:	3 
1716:	4 
1718:	1 2 
1719:	1 
1720:	1 1 
1721:	1 1 
1724:	1 2 5 
1725:	4 
1726:	1 1 2 1 1 
1727:	2 1 1 
1728:	3 
1729:	3 
1730:	2 
1732:	1 2 
1733:	2 
1734:	1 
1735:	1 1 1 
1736:	1 
1737:	2 
1739:	2 3 
1741:	2 
1743:	1 
1745:	1 
1747:	1 
1748:	1 
1750:	1 2 1 1 
1751:	3 
1752:	1 1 
1753:	1 1 
1754:	1 1 
1755:	3 2 1 
1756:	1 
1757:	1 
1761:	1 
1762:	1 3 
1765:	1 
1766:	2 
1767:	2 4 1 
1768:	5 
1769:	2 
1770:	2 
1771:	1 
1772:	1 
1773:	2 1 1 
1774:	1 1 
1775:	1 2 
1776:	5 
1777:	5 
1778:	1 1 
1779:	3 1 2 1 1 
1780:	3 1 
1781:	2 1 
1782:	1 
1783:	1 
1784:	1 
1786:	4 
1787:	2 1 
1788:	2 
1789:	3 
1790:	1 1 2 
1791:	1 
1792:	3 
1794:	3 
1795:	1 1 1 
1796:	2 1 4 1 
1797:	1 
1798:	1 2 
18:	2 
1800:	2 2 
1801:	2 
1802:	2 
1803:	1 
1804:	3 
1806:	2 1 
1807:	1 
1808:	1 4 
1809:	2 
1810:	4 
1811:	2 1 
1812:	1 
1813:	3 
1814:	8 
1815:	1 1 
1816:	1 2 1 1 2 
1818:	1 1 2 
1819:	3 
1820:	1 2 
1822:	1 
1823:	1 1 
1824:	1 
1825:	1 
1826:	2 2 
1828:	2 
1829:	1 2 
1830:	1 3 
1831:	1 1 
1832:	9 
1833:	1 1 1 
1834:	2 1 
1835:	1 1 
1836:	2 
1837:	2 
1838:	1 1 
1839:	2 
1840:	1 
1841:	3 
1845:	1 
1846:	2 
1847:	1 
1848:	3 2 
1849:	1 
1850:	1 1 
1852:	2 
1853:	3 2 
1854:	1 
1855:	3 
1857:	2 1 2 3 
1858:	1 4 2 
1859:	4 
1860:	1 1 2 
1861:	1 3 
1862:	1 
1863:	3 1 
1864:	2 
1865:	1 2 
1866:	2 
1867:	1 2 2 
1868:	2 4 
1869:	1 
1870:	1 1 
1871:	1 
1872:	3 
1873:	1 4 
1874:	2 
1875:	1 
1876:	3 
1877:	1 1 
1878:	3 1 
1879:	3 
1880:	1 
1881:	4 2 
1882:	2 
1883:	1 2 3 
1884:	1 
1885:	3 
1886:	2 
1887:	2 2 
1888:	2 4 
1889:	1 2 
1890:	2 
1891:	1 1 
1892:	1 1 
1893:	1 
1894:	2 2 2 
1895:	2 
1896:	2 1 1 
