=== non-contiguous nft : chains ===
Found 1174 chain interruption in 7352 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
100:	2 
1000:	1 1 1 
1001:	3 
1002:	2 
1003:	1 
1004:	3 
1007:	2 2 1 
1008:	2 
1009:	4 
1010:	1 
1013:	3 
1014:	3 
1015:	1 
1016:	1 
1017:	5 
1018:	1 3 
1019:	1 
102:	2 
1020:	1 
1021:	1 
1022:	2 
1023:	1 
1024:	2 
1025:	1 
1026:	3 
1027:	1 
1028:	1 2 
103:	3 
1031:	1 
1032:	1 
1033:	1 1 
1034:	1 
1035:	2 
1036:	1 
1037:	2 
1038:	2 
1039:	4 
1040:	2 
1041:	2 
1042:	2 
1043:	1 
1044:	2 
1045:	1 
1047:	1 
1048:	1 
1049:	1 
105:	2 1 
1050:	1 1 
1052:	2 
1053:	2 
1054:	4 1 
1055:	1 
1056:	1 
1057:	1 
1058:	3 
1059:	2 
106:	1 
1060:	3 
1061:	2 
1062:	3 
1063:	1 
1064:	2 
1065:	2 2 
1066:	1 
1067:	2 
1068:	1 
1069:	2 
107:	1 
1070:	1 
1071:	1 
1072:	1 
1073:	3 
1074:	2 
1075:	1 
1076:	2 
1077:	1 
1078:	3 
1079:	2 1 
108:	2 
1080:	1 
1081:	1 
1082:	1 
1083:	2 
1084:	1 
1087:	1 
1088:	2 
1089:	1 
109:	1 
1090:	1 
1091:	3 
1092:	2 
1093:	3 
1094:	1 
1095:	1 1 
1096:	2 
11:	2 
110:	3 
1103:	2 
1104:	2 
1105:	2 
1106:	1 1 
1107:	1 
1108:	1 
111:	2 
1110:	1 
1111:	2 
1112:	1 2 
1113:	2 
1114:	1 3 
1115:	1 
1116:	2 
1117:	3 
1118:	1 
1119:	2 
112:	2 
1120:	1 
1123:	6 
1124:	2 
1127:	3 
1128:	3 
1129:	2 
113:	3 2 
1130:	3 1 
1131:	1 
1132:	1 
1133:	1 1 
1134:	2 
1135:	2 
1136:	4 
1137:	2 
1138:	3 
1139:	1 
114:	1 
1140:	3 
1141:	3 
1142:	4 
1145:	1 
1146:	1 
1147:	1 2 
1148:	1 
1149:	1 
115:	2 
1150:	2 
1151:	1 2 
1152:	1 
1153:	1 
1154:	1 
1155:	1 
1156:	3 
1157:	2 
1158:	2 
1159:	1 
116:	2 
1162:	2 1 
1163:	2 1 
1164:	2 
1165:	3 
1166:	1 
1167:	2 
1168:	1 
1169:	2 
117:	1 
1170:	2 
1171:	1 2 
1172:	1 
1173:	3 
1174:	1 
1175:	5 
1176:	2 
1177:	1 2 
1178:	2 2 
1179:	2 
118:	2 
1180:	1 
1181:	3 
1182:	1 
1183:	1 
1186:	4 
1187:	2 1 1 
1188:	1 
1189:	2 
119:	1 
1190:	2 
1191:	3 2 1 
1192:	3 
1193:	2 
1194:	1 
1195:	1 2 
1196:	1 
