=== non-contiguous nft : chains ===
Found 813 chain interruption in 7553 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	2 
10000:	3 
10001:	1 
10002:	1 
10003:	1 
10004:	3 
10005:	1 
10006:	1 
10007:	1 
10008:	2 
10009:	2 2 1 
1001:	1 2 
10010:	2 
10011:	2 
10012:	2 
10013:	1 
10014:	2 
10015:	2 
10017:	1 
10018:	3 1 
10019:	4 
10020:	2 
10021:	1 
10022:	2 
10023:	3 
10024:	1 
10025:	2 
10026:	1 
10027:	2 
10028:	1 
10029:	2 1 
10030:	1 
10031:	1 2 
10032:	2 
10033:	1 
10034:	1 
10035:	2 
10036:	2 
10037:	4 
10038:	1 
10039:	1 
1004:	3 
10040:	1 
10041:	1 1 1 
10042:	1 
10043:	4 1 1 
10044:	1 
10045:	2 
10046:	2 
10047:	4 
10048:	1 2 
10049:	2 
1005:	5 
10050:	2 
10051:	1 
10052:	1 
10053:	3 1 
10054:	2 
10055:	3 
10056:	1 
10057:	1 
10058:	3 
10059:	3 
1006:	1 
10060:	2 
10061:	1 
10062:	1 
10063:	2 
10064:	1 
10065:	2 
10067:	1 
10068:	1 
10069:	1 
1007:	1 
10070:	1 
10071:	1 
10072:	2 
10073:	1 
10074:	3 1 
10075:	1 
10076:	1 
10077:	3 
10078:	3 2 
10079:	2 1 
1008:	2 
10080:	4 
10081:	2 
10082:	1 2 
10083:	3 
10084:	1 2 
10085:	2 
10086:	2 
10087:	2 
10088:	1 
1009:	1 
10091:	1 
10092:	1 
10093:	1 
10094:	3 
10095:	3 
10096:	1 
10097:	2 
10098:	2 
10099:	2 
101:	1 1 
1010:	4 
10100:	1 
10101:	2 
10102:	2 
10103:	3 
10104:	2 
10105:	3 
10106:	5 
10107:	1 1 
10108:	1 
10109:	2 
1011:	4 
10110:	1 
10111:	1 
10112:	1 
10113:	1 
10114:	1 
10115:	3 1 
10119:	2 
1012:	1 
10120:	5 
