=== non-contiguous nft : chains ===
Found 1625 chain interruption in 8181 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1001:	1 3 
1002:	3 1 
1003:	1 
1004:	2 
1005:	1 
1006:	3 
1007:	4 
1008:	2 
1009:	2 
1010:	1 2 
1011:	1 
1012:	1 
1013:	1 2 
1014:	1 
1015:	1 
1016:	6 
1017:	4 
1018:	3 
1019:	2 
1020:	3 
1021:	2 1 2 
1022:	3 
1023:	3 
1024:	4 
1025:	3 
1026:	3 
1027:	4 
1028:	2 
1029:	1 2 
1030:	1 1 
1031:	1 
1032:	4 
1033:	1 
1034:	1 
1035:	1 
1036:	2 1 
1037:	2 
1039:	2 
104:	4 
1041:	1 3 
1042:	2 
1043:	3 
1045:	7 
1048:	1 
1049:	3 
105:	2 
1050:	1 
1051:	1 
1052:	2 1 1 
1059:	2 
1060:	2 
1061:	3 
1062:	1 1 3 
1063:	3 
1064:	3 1 
1065:	1 
1066:	6 
1067:	2 
1068:	3 
1069:	3 
1075:	5 1 
1076:	1 3 1 
1079:	1 2 1 
1080:	2 
1081:	2 2 
1082:	1 
1083:	1 
1084:	1 
1085:	1 
1087:	4 
1088:	1 
1089:	1 
109:	4 
1090:	1 
1091:	3 
1092:	1 
1093:	3 
1094:	1 1 
1095:	3 
1096:	1 
1097:	1 
1098:	1 
1099:	2 
11:	1 
110:	1 
1100:	2 
1101:	3 6 
1102:	3 
1103:	4 
1104:	2 
1105:	2 
1107:	4 
1108:	6 
1111:	2 
1112:	3 
1113:	4 
1114:	1 
1115:	1 
1116:	1 1 
1117:	1 
1118:	1 1 
1119:	2 
112:	1 
1120:	1 
1121:	2 
1122:	2 
1123:	1 
1124:	1 
1125:	8 
1126:	1 
1127:	1 1 
1128:	1 
1129:	4 
1130:	2 
1131:	1 
1132:	2 
1133:	5 2 2 
1134:	5 
1135:	1 2 
114:	1 1 1 
1141:	2 1 
1142:	1 
1143:	1 
1144:	1 
