=== non-contiguous nft : chains ===
Found 1094 chain interruption in 5589 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 1 
10:	1 
100:	3 
1000:	1 
1001:	1 
1002:	3 
1003:	2 3 
1004:	1 
1006:	2 
1007:	3 
1008:	2 1 
1009:	1 
101:	3 
1010:	1 
1012:	1 
1014:	1 
1016:	1 
1017:	1 
1018:	2 
1019:	1 
102:	2 
1020:	1 
1021:	1 
1022:	1 
1023:	2 
1024:	1 
1025:	1 2 
1027:	2 
1028:	1 
1029:	2 
103:	2 
1030:	1 
1031:	4 
1032:	2 
1033:	3 
1034:	3 
1035:	2 
1036:	4 
1037:	6 
1038:	2 
1039:	2 
104:	2 
1040:	1 
1041:	2 
1042:	3 
1043:	2 2 1 4 
1044:	2 
1045:	2 
1046:	4 
1047:	4 
1048:	1 
1049:	1 
105:	1 
1050:	3 
1051:	1 
1052:	3 
1053:	1 2 
1054:	8 1 
1056:	2 
1058:	4 
1059:	1 
106:	2 
1060:	2 
1061:	3 
1062:	3 
1063:	2 
1064:	1 
1065:	4 
1066:	3 
1067:	1 
1068:	2 
1069:	3 
107:	3 
1070:	1 
1071:	4 
1072:	1 
1073:	2 1 1 
1074:	1 3 1 
1075:	2 
1076:	1 
1077:	4 
1078:	2 
1079:	1 
108:	1 
1080:	3 1 
1081:	5 
1082:	1 
1083:	1 
1084:	4 
1085:	1 
1086:	3 
1087:	3 
1088:	6 
1089:	3 
109:	2 
1090:	4 
1091:	8 
1092:	2 
1093:	3 
1094:	7 
1095:	1 3 
1096:	3 
1098:	1 
1099:	2 1 
110:	1 
1100:	3 
1101:	2 
1102:	1 
1103:	2 
1104:	1 
1105:	4 
1106:	1 1 1 1 
1107:	9 
1108:	2 1 
1109:	3 
111:	1 1 
1110:	3 
1111:	1 
1112:	1 
1115:	3 
1116:	4 1 2 
1117:	3 
1118:	3 1 
1119:	2 
112:	1 
1120:	7 
1121:	2 
1122:	1 
1123:	2 
1124:	2 1 
1125:	4 
1126:	1 
1127:	3 
1128:	2 
1129:	2 1 
113:	8 
1130:	4 
1131:	7 
1132:	4 
1133:	1 7 
1134:	2 
1135:	3 
1136:	1 
1137:	2 
1138:	2 2 
1139:	2 
114:	3 
1140:	3 
1141:	1 
1142:	3 2 1 
1143:	4 
1144:	1 
1145:	1 
1146:	2 
1147:	3 
1148:	1 
1149:	1 
115:	1 
1150:	4 
1152:	5 2 
1153:	1 
1154:	1 
1155:	2 
1156:	3 
1157:	5 
1158:	3 
116:	2 
1160:	1 
1161:	3 
1162:	1 
1163:	2 
1164:	2 1 
1165:	1 
1166:	2 
1167:	2 1 
1168:	3 
1169:	5 
117:	2 2 
1170:	1 
1171:	3 1 
1172:	2 1 
1173:	2 
1174:	1 2 
1175:	3 
1176:	2 
1177:	1 
1178:	4 
1179:	2 
118:	3 
1180:	4 1 
1182:	2 
1183:	2 
1184:	4 1 
1185:	2 
1186:	4 
1187:	4 3 
1189:	2 
119:	3 
1190:	1 
1191:	1 
1192:	1 
1194:	2 
1195:	3 
1196:	2 1 
1197:	1 2 
1198:	3 
1199:	3 1 
12:	1 3 
120:	1 
1200:	1 
1201:	3 
1202:	1 
1203:	4 
1204:	1 1 
1205:	5 
1206:	2 
1207:	2 
1208:	2 
1209:	1 1 
121:	5 
1210:	1 
1211:	3 
1212:	3 
1213:	1 
1214:	6 
1215:	1 
1216:	2 
1217:	3 2 
1218:	2 
1219:	1 3 
122:	2 
1220:	5 
1221:	4 
1222:	1 1 
1223:	1 
1224:	3 
1225:	1 3 
1226:	1 
1227:	2 
1228:	1 
1229:	5 
123:	1 
1230:	3 
1231:	1 
1232:	1 2 1 
1233:	1 
1234:	2 
1235:	3 
1236:	2 2 
1237:	2 
1238:	2 
1239:	3 
124:	2 
1240:	4 
1241:	2 1 
1242:	2 1 
