=== non-contiguous nft : chains ===
Found 529 chain interruption in 3259 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
1001:	2 
1010:	1 
1013:	4 
102:	2 1 
1025:	2 
1026:	1 
1037:	1 
1038:	1 
104:	1 
1040:	1 2 
1044:	1 
1051:	1 
1052:	2 
1054:	1 
1057:	1 1 
1058:	1 2 
106:	2 
1060:	1 
1061:	2 
1063:	1 
1066:	1 
107:	1 
1071:	1 1 
1074:	1 
1076:	1 
1078:	1 
1079:	2 
1083:	1 
1086:	3 2 
1089:	2 
109:	4 
1091:	2 
1092:	1 
1093:	1 
1094:	2 
1095:	2 
1097:	2 
1099:	1 
1100:	1 1 
1102:	1 1 
1103:	1 1 
1104:	3 
1106:	1 
1107:	3 
1109:	1 
1111:	1 
1113:	2 
1115:	4 
1119:	1 
1125:	1 
1127:	1 
1132:	1 
1137:	1 
1139:	1 
1141:	1 
1145:	3 
1147:	1 
1148:	2 
1150:	1 
1151:	1 
1152:	1 
1156:	3 
1161:	2 
1163:	1 
1165:	1 
1166:	2 
1167:	3 
1170:	2 
1175:	1 
1176:	2 
1178:	1 
1179:	1 
1180:	2 
1181:	2 
1183:	3 
1187:	1 
1189:	1 
1190:	1 2 1 
1191:	1 
1192:	1 3 
1193:	1 
12:	1 
120:	1 
1205:	2 
1206:	2 
1208:	1 2 
121:	1 
1211:	2 
1215:	1 
1218:	1 
1222:	2 
1223:	3 
1229:	1 
123:	1 
1231:	3 1 
1232:	1 
1233:	3 
1234:	2 1 1 1 
1235:	2 
1236:	3 
1238:	1 
1239:	1 
124:	1 
1240:	2 
1242:	2 
1246:	4 
1247:	1 
1251:	1 1 
1254:	1 1 
1257:	1 3 1 
1261:	2 
1264:	2 
1269:	1 
1270:	1 
1275:	1 
1276:	1 
1278:	1 
1287:	1 1 
1291:	1 
1298:	1 
1299:	1 
13:	1 
130:	1 
1300:	1 
1301:	1 
1307:	1 1 
1310:	2 
1311:	2 
1315:	1 
1316:	1 
132:	4 
1324:	1 
1325:	1 
1326:	1 
1327:	1 
1328:	1 
133:	2 
1334:	1 
1338:	1 
1340:	1 
1341:	1 
1342:	1 
1344:	1 
1345:	2 
1350:	1 
1356:	2 
1357:	1 1 
1358:	1 
1359:	1 
1362:	2 
1364:	1 
1365:	1 
1367:	1 1 
1368:	1 
1369:	1 
137:	1 
1378:	1 
1379:	1 
1382:	1 
1387:	4 
1394:	1 
1397:	1 1 
1398:	1 
1404:	1 
1405:	1 
1407:	1 
1412:	6 
1420:	1 
1425:	1 
1426:	1 
1430:	1 
1431:	3 
1432:	1 
1433:	1 
1434:	1 
144:	1 
1440:	1 2 
1448:	1 
145:	2 
1458:	1 2 1 
1463:	1 
1469:	2 
1472:	1 
1475:	3 
1478:	1 
1479:	2 
148:	1 
1480:	1 
1482:	2 
1483:	1 1 
149:	1 
1491:	2 
1494:	1 1 1 2 
1495:	2 
15:	2 1 
150:	1 
1500:	2 
1503:	2 
1506:	1 1 
151:	1 1 
1510:	1 
