=== non-contiguous nft : chains ===
Found 749 chain interruption in 2481 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
1001:	1 
1004:	1 
1008:	1 2 
1012:	1 
1016:	1 
1017:	1 
102:	1 3 
1027:	1 
1034:	1 
1036:	1 
1038:	4 
1039:	2 
104:	2 
1040:	1 
1043:	2 
1048:	1 
1050:	1 2 
1053:	1 
1056:	1 
1060:	1 2 
1068:	2 
1071:	1 
1074:	1 
1077:	3 3 2 2 
108:	1 3 
1083:	1 
1084:	1 
1093:	1 1 2 
1097:	2 1 
110:	4 
1105:	2 
1107:	1 1 
1108:	3 
1112:	1 
1120:	1 2 2 
1122:	2 
1125:	1 
1127:	1 
113:	1 
1131:	1 
1132:	1 
1135:	2 
1140:	2 
1149:	1 
1150:	1 
1152:	1 
1158:	1 
116:	2 
1162:	1 
1174:	2 
1180:	1 
119:	1 
1193:	3 1 
1205:	2 2 
1206:	1 
1207:	2 
1208:	2 
121:	2 
1210:	2 
1211:	1 
1213:	3 2 
1216:	2 
1219:	1 1 
1224:	2 1 1 1 2 
1229:	2 
1231:	1 3 
1235:	2 1 
1236:	2 1 
1237:	2 
1242:	1 4 
1244:	1 
1246:	2 
1247:	2 
125:	1 1 
1252:	2 
1255:	3 
1258:	1 
126:	2 
1260:	2 
1262:	2 
1267:	2 
1276:	3 
1282:	3 
1286:	1 2 
1287:	2 1 
129:	1 
1290:	1 
1291:	1 2 1 
1296:	1 
13:	1 1 
1300:	3 
1301:	1 
1309:	1 
131:	1 
1318:	1 4 1 
1324:	3 
1326:	1 
1328:	1 
133:	1 
1331:	2 
1332:	2 1 
1336:	2 
1340:	2 
1341:	1 3 
1345:	1 
1347:	1 
135:	2 
1351:	1 1 1 
1354:	2 
1356:	2 2 
1360:	1 
1361:	2 
1364:	1 2 1 
1366:	1 
1371:	1 
1374:	2 
1379:	1 
1381:	1 
1388:	1 2 
1389:	2 
1390:	1 1 
1391:	2 2 1 
1396:	1 
1400:	2 
1402:	2 
1403:	2 
1404:	2 
1405:	2 
1406:	1 
1407:	1 
1411:	2 
1414:	1 
1416:	2 
1418:	1 
1419:	1 
1420:	3 
1426:	4 
1427:	1 
1438:	1 2 
1441:	3 
1444:	1 1 2 
1447:	1 
1448:	1 2 
1451:	1 5 
1453:	1 2 
1456:	1 1 
1461:	2 
1462:	1 2 
1464:	1 2 2 
1472:	1 
1473:	1 
1474:	2 
1475:	1 
1477:	1 
1486:	1 1 1 
1487:	2 
1489:	2 1 
149:	1 
1490:	1 2 2 
1491:	1 1 
1493:	1 
1494:	3 
1496:	1 
1502:	1 
1503:	1 2 
1504:	2 
1506:	2 1 
1511:	1 
1513:	1 1 
1517:	2 
1522:	1 
1527:	2 
1529:	1 
153:	2 
1530:	2 
1531:	2 1 
1534:	1 1 
1539:	1 1 
1543:	1 
1545:	1 3 
1546:	1 
1548:	1 
1549:	1 
1555:	3 
1558:	1 1 
1564:	1 
1569:	1 
1573:	2 
1574:	1 
1575:	2 
1581:	2 
1583:	1 
1585:	2 
1586:	1 
1588:	1 
1593:	1 
1594:	1 
1595:	1 
1598:	4 
1599:	2 
16:	2 
1601:	1 
1606:	1 1 
1609:	2 
1614:	1 
1616:	1 
1617:	1 
162:	1 
1623:	2 
1625:	5 
1633:	2 
1636:	1 1 
1639:	1 1 
1645:	2 
1647:	2 
1651:	2 
1653:	1 
1655:	2 
1656:	1 
1661:	2 
1664:	2 
1665:	1 
1666:	3 
1668:	1 
167:	2 2 
1672:	1 
1676:	3 
1678:	2 
1679:	2 
1684:	2 
1691:	1 
1692:	1 
1695:	1 
1709:	1 
1712:	2 
