=== non-contiguous nft : chains ===
Found 2807 chain interruption in 8239 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	2 
1:	2 
10:	3 
100:	3 1 2 1 
1000:	4 2 
1001:	3 2 2 
1002:	6 
1003:	2 
1004:	3 
1005:	1 
1006:	5 
1007:	5 
1008:	2 
1009:	3 
101:	3 2 1 2 
1010:	3 1 
1011:	2 
1012:	7 
1013:	2 
1014:	1 1 
1015:	4 
1016:	3 
1017:	3 
1018:	1 
1019:	3 
102:	5 
1020:	1 
1021:	2 2 
1022:	1 
1023:	4 
1024:	2 
1025:	3 1 
1026:	2 
1027:	3 
1028:	1 
1029:	3 3 
103:	2 2 
1030:	1 
1031:	1 
1032:	1 1 
1033:	4 
1034:	2 
1035:	3 2 
1036:	3 
1037:	1 1 1 
1038:	1 1 1 1 
1039:	2 
104:	2 3 
1040:	3 1 
1041:	1 1 1 2 
1042:	3 
1043:	1 1 
1044:	4 1 
1045:	3 1 
1046:	1 1 3 2 
1047:	1 
1048:	3 
1049:	3 
105:	1 
1050:	3 1 1 1 
1051:	2 
1052:	2 
1053:	2 
1054:	3 
1055:	3 1 
1056:	1 1 1 
1057:	2 
1058:	1 
1059:	1 
106:	4 
1060:	1 
1061:	3 
1062:	3 
1063:	3 
1064:	1 
1065:	2 1 
1066:	4 
1067:	1 1 
1068:	3 
1069:	2 
107:	1 
1070:	3 
1071:	1 3 
1072:	3 
1073:	2 1 2 
1074:	1 
1075:	1 
1076:	2 
1077:	3 
1078:	4 
1079:	1 
108:	1 
1080:	3 
1081:	4 
1082:	1 2 
1083:	1 
1084:	2 
1085:	2 
1086:	3 
1087:	1 
1088:	1 
1089:	1 
109:	2 
1090:	3 1 
1091:	1 1 
1092:	2 
1093:	1 
1094:	2 
1095:	4 
1096:	5 
1097:	3 1 
1098:	2 
1099:	2 1 
11:	1 
110:	2 
1100:	1 
1101:	1 
1102:	1 4 
1103:	1 
1104:	1 
1105:	2 
1106:	1 2 
1107:	1 
1108:	3 
1109:	2 
111:	2 
1110:	1 
1111:	1 
1112:	1 
1113:	1 
1114:	2 1 2 
1115:	1 
1116:	1 
1117:	2 1 
1118:	1 1 
1119:	3 
112:	1 
1120:	1 1 1 
1121:	1 
1122:	1 
1123:	1 
1124:	2 
1125:	1 
1126:	1 
1127:	5 
1128:	1 
1129:	3 
113:	3 1 
1130:	1 1 2 
1131:	1 1 
1132:	1 
1133:	2 
1134:	3 2 
1135:	2 
1136:	2 1 
1137:	4 
1138:	5 
1139:	2 
114:	2 
1140:	2 2 
1141:	2 1 
1142:	2 1 1 
1143:	4 
1144:	2 2 
1145:	1 1 
1146:	1 4 
1147:	1 
1148:	1 
1149:	2 
115:	3 1 
1150:	1 
1151:	1 
1152:	3 
1153:	1 1 
1154:	1 
1155:	1 1 1 
1156:	2 
1157:	3 
1158:	1 1 
1159:	2 
116:	1 
1160:	3 
1161:	2 
1162:	3 1 
1163:	7 
1164:	2 
1165:	1 2 
1166:	1 
1167:	1 1 
1168:	1 
1169:	1 
117:	1 1 2 
1170:	2 1 
1171:	6 1 
1172:	2 
1173:	2 
1174:	6 
1175:	1 2 
1176:	3 
1177:	4 
1178:	1 1 
1179:	4 
118:	2 
1180:	2 
1181:	1 
1182:	3 
1183:	2 
1184:	3 
1185:	2 3 1 1 1 
1186:	2 
1187:	2 1 
1188:	5 
1189:	1 1 1 
119:	1 
1190:	3 
1191:	1 
1192:	2 
1193:	3 
1194:	5 
1195:	2 2 
1196:	2 
1197:	1 
1198:	2 
1199:	2 2 
12:	6 
120:	2 
1200:	1 
1201:	1 
1202:	1 1 1 
1203:	1 
1205:	4 
1206:	2 
1207:	3 2 
1208:	2 
1209:	1 1 
121:	3 
1210:	1 1 1 
1211:	2 
1212:	4 
1213:	1 
1214:	2 1 
1215:	1 
1216:	1 
1217:	2 
1218:	2 
1219:	3 
122:	1 
1220:	1 
1221:	2 
1222:	2 
1223:	2 
