
=== GRAPH INFO ===
Nodi: 120456
Archi: 754077
Duration (sec): 195217054 = 6y in interval [1511462773, 1706679827]
Delta (sec): 28043 = 7h47min23s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 154632

size 2 → 78209 pattern
size 3 → 30029 pattern
size 4 → 16268 pattern
size 5 → 8844 pattern
size 6 → 5521 pattern
size 7 → 3615 pattern
size 8 → 2510 pattern
size 9 → 1837 pattern
size 10 → 1319 pattern
size 11 → 1026 pattern
size 12 → 841 pattern
size 13 → 639 pattern
size 14 → 492 pattern
size 15 → 422 pattern
size 16 → 362 pattern
size 17 → 325 pattern
size 18 → 225 pattern
size 19 → 208 pattern
size 20 → 169 pattern
size 21 → 144 pattern
size 22 → 126 pattern
size 23 → 108 pattern
size 24 → 123 pattern
size 25 → 105 pattern
size 26 → 78 pattern
size 27 → 65 pattern
size 28 → 64 pattern
size 29 → 55 pattern
size 30 → 36 pattern
size 31 → 49 pattern
size 32 → 39 pattern
size 33 → 34 pattern
size 34 → 51 pattern
size 35 → 39 pattern
size 36 → 34 pattern
size 37 → 36 pattern
size 38 → 28 pattern
size 39 → 29 pattern
size 40 → 20 pattern
size 41 → 18 pattern
size 42 → 17 pattern
size 43 → 16 pattern
size 44 → 14 pattern
size 45 → 18 pattern
size 46 → 16 pattern
size 47 → 15 pattern
size 48 → 16 pattern
size 49 → 12 pattern
size 50 → 9 pattern
size 51 → 7 pattern
size 52 → 15 pattern
size 53 → 14 pattern
size 54 → 7 pattern
size 55 → 9 pattern
size 56 → 10 pattern
size 57 → 12 pattern
size 58 → 7 pattern
size 59 → 8 pattern
size 60 → 6 pattern
size 61 → 11 pattern
size 62 → 9 pattern
size 64 → 3 pattern
size 65 → 8 pattern
size 66 → 5 pattern
size 67 → 4 pattern
size 68 → 4 pattern
size 69 → 6 pattern
size 70 → 3 pattern
size 71 → 5 pattern
size 72 → 4 pattern
size 73 → 9 pattern
size 74 → 3 pattern
size 75 → 5 pattern
size 76 → 6 pattern
size 77 → 4 pattern
size 78 → 10 pattern
size 79 → 2 pattern
size 80 → 2 pattern
size 81 → 3 pattern
size 82 → 3 pattern
size 83 → 5 pattern
size 84 → 4 pattern
size 85 → 5 pattern
size 86 → 2 pattern
size 87 → 3 pattern
size 89 → 2 pattern
size 90 → 2 pattern
size 91 → 3 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 96 → 2 pattern
size 97 → 4 pattern
size 98 → 3 pattern
size 99 → 3 pattern
size 100 → 1 pattern
size 101 → 1 pattern
size 103 → 2 pattern
size 104 → 2 pattern
size 105 → 4 pattern
size 106 → 2 pattern
size 108 → 2 pattern
size 109 → 2 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 113 → 2 pattern
size 114 → 3 pattern
size 119 → 3 pattern
size 122 → 3 pattern
size 123 → 1 pattern
size 124 → 1 pattern
size 125 → 1 pattern
size 127 → 2 pattern
size 129 → 2 pattern
size 130 → 2 pattern
size 131 → 3 pattern
size 132 → 3 pattern
size 134 → 1 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 140 → 2 pattern
size 141 → 1 pattern
size 142 → 1 pattern
size 144 → 1 pattern
