
=== GRAPH INFO ===
Nodi: 120456
Archi: 754077
Duration (sec): 195217054 = 6y in interval [1511462773, 1706679827]
Delta (sec): 195217054 = 6y2m1w2d10h57min34s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 109786

size 2 → 47025 pattern
size 3 → 21040 pattern
size 4 → 12191 pattern
size 5 → 7159 pattern
size 6 → 4749 pattern
size 7 → 3232 pattern
size 8 → 2263 pattern
size 9 → 1721 pattern
size 10 → 1347 pattern
size 11 → 1114 pattern
size 12 → 848 pattern
size 13 → 673 pattern
size 14 → 613 pattern
size 15 → 509 pattern
size 16 → 453 pattern
size 17 → 382 pattern
size 18 → 306 pattern
size 19 → 278 pattern
size 20 → 271 pattern
size 21 → 199 pattern
size 22 → 171 pattern
size 23 → 193 pattern
size 24 → 136 pattern
size 25 → 120 pattern
size 26 → 136 pattern
size 27 → 105 pattern
size 28 → 108 pattern
size 29 → 98 pattern
size 30 → 97 pattern
size 31 → 74 pattern
size 32 → 85 pattern
size 33 → 78 pattern
size 34 → 92 pattern
size 35 → 58 pattern
size 36 → 64 pattern
size 37 → 55 pattern
size 38 → 51 pattern
size 39 → 46 pattern
size 40 → 56 pattern
size 41 → 36 pattern
size 42 → 35 pattern
size 43 → 31 pattern
size 44 → 34 pattern
size 45 → 35 pattern
size 46 → 34 pattern
size 47 → 27 pattern
size 48 → 31 pattern
size 49 → 28 pattern
size 50 → 31 pattern
size 51 → 28 pattern
size 52 → 33 pattern
size 53 → 19 pattern
size 54 → 21 pattern
size 55 → 29 pattern
size 56 → 27 pattern
size 57 → 25 pattern
size 58 → 24 pattern
size 59 → 17 pattern
size 60 → 21 pattern
size 61 → 18 pattern
size 62 → 17 pattern
size 63 → 17 pattern
size 64 → 23 pattern
size 65 → 14 pattern
size 66 → 14 pattern
size 67 → 16 pattern
size 68 → 12 pattern
size 69 → 16 pattern
size 70 → 11 pattern
size 71 → 22 pattern
size 72 → 13 pattern
size 73 → 17 pattern
size 74 → 15 pattern
size 75 → 19 pattern
size 76 → 13 pattern
size 77 → 11 pattern
size 78 → 12 pattern
size 79 → 7 pattern
size 80 → 9 pattern
size 81 → 11 pattern
size 82 → 12 pattern
size 83 → 9 pattern
size 84 → 12 pattern
size 85 → 9 pattern
size 86 → 8 pattern
size 87 → 10 pattern
size 88 → 13 pattern
size 89 → 10 pattern
size 90 → 8 pattern
size 91 → 8 pattern
size 92 → 10 pattern
size 93 → 6 pattern
size 94 → 10 pattern
size 95 → 7 pattern
size 96 → 9 pattern
size 97 → 7 pattern
size 98 → 2 pattern
size 99 → 7 pattern
size 100 → 6 pattern
size 101 → 11 pattern
size 102 → 5 pattern
size 103 → 6 pattern
size 104 → 7 pattern
size 105 → 4 pattern
size 106 → 6 pattern
size 107 → 9 pattern
size 108 → 5 pattern
size 109 → 5 pattern
size 110 → 6 pattern
size 111 → 5 pattern
size 112 → 8 pattern
size 113 → 3 pattern
size 114 → 9 pattern
size 115 → 3 pattern
size 116 → 1 pattern
size 117 → 4 pattern
size 118 → 4 pattern
size 119 → 8 pattern
size 120 → 4 pattern
size 121 → 2 pattern
size 122 → 5 pattern
size 123 → 7 pattern
