=== non-contiguous nft : chains ===
Found 486 chain interruption in 13813 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100037:	1 
100310:	1 
1003285:	1 
100355:	1 
100361:	1 
100365:	1 
100371:	1 
100386:	1 
100387:	1 
100482:	1 
100486:	1 
100489:	1 
1006203:	1 
100701:	1 
100709:	1 
100788:	1 
1008708:	1 
100933:	2 
100937:	1 
1009837:	1 
1010589:	1 
101079:	1 
101086:	1 
101257:	1 
1013657:	1 
1014808:	1 
1014810:	1 
1014889:	1 
1015098:	1 
1015108:	1 
1015116:	1 
1016769:	1 
101702:	2 
101832:	1 
101843:	1 
1020265:	2 
1020536:	1 
102102:	1 
102105:	1 
1023128:	1 
102364:	1 
102366:	1 
102367:	1 
102369:	1 
102375:	1 
102376:	1 
102389:	1 
102397:	1 
102449:	1 
102460:	1 
102462:	1 1 
102468:	1 
1025490:	1 
1025507:	1 
1025581:	1 
1026038:	1 
1026155:	1 
1026441:	1 
1026729:	1 
1026886:	1 
1026916:	1 
1028031:	1 
102838:	2 
102839:	1 
102855:	1 
102861:	1 
1028916:	2 
102921:	1 
102928:	1 
103013:	1 
103040:	1 
1031021:	1 
103232:	1 
103235:	3 
103276:	1 
103282:	1 
103284:	1 
103294:	1 
103298:	1 
103304:	1 
103309:	1 
103313:	1 
103325:	1 
103328:	1 
103350:	1 
103355:	1 
103362:	2 
103405:	1 
103435:	1 
103437:	3 
103448:	1 
103453:	1 
103483:	1 
103521:	1 
103562:	2 
103578:	1 
103617:	1 
103736:	1 
103753:	1 
103862:	1 
103864:	1 1 
104079:	1 
104097:	1 
104105:	1 
10411:	1 1 
104187:	1 
104196:	1 
104299:	1 
10432:	1 
10435:	1 
10436:	1 
10446:	1 
1045173:	1 
1045457:	1 
104594:	1 
104595:	1 
10471:	1 
1047688:	1 
104776:	2 
10478:	1 
104782:	1 
104810:	1 
104811:	1 
104984:	1 
104998:	1 
105:	1 
105063:	2 
105078:	1 
105152:	1 
105258:	1 
105280:	1 
105344:	1 
105351:	1 
105359:	1 
105363:	1 
105382:	1 
10539:	1 
10540:	1 
105483:	2 
105502:	1 
10571:	2 
10580:	1 1 
1058286:	1 
10583:	1 
105846:	2 
10587:	1 
1059067:	1 
105946:	1 
10597:	1 
1059886:	2 
106:	1 
106294:	1 
106295:	1 
106298:	1 
106299:	1 
106461:	2 
10647:	1 
10657:	1 
106585:	1 
106632:	1 
106650:	1 
106704:	1 
10673:	1 
10674:	1 
10676:	1 
10677:	1 
106801:	1 
10682:	1 
106875:	1 
106878:	1 
1068792:	1 
107048:	1 
107051:	1 
107060:	1 
107084:	1 
107098:	2 
107105:	1 
107129:	1 
10715:	1 
10719:	1 
107204:	2 
107206:	2 
107304:	2 
10739:	1 
107445:	1 
10761:	1 1 
10765:	1 
10768:	1 
10769:	1 
10770:	1 
10771:	1 
1077257:	1 
107790:	1 
107829:	1 
10803:	1 
1080333:	1 
1080417:	1 
1080587:	1 
1080817:	1 
10813:	1 
10814:	1 
10815:	1 
10817:	1 
1081848:	1 
10823:	1 
10825:	1 
10827:	1 
10828:	1 
10835:	1 
10836:	1 
10837:	1 
1085742:	1 
1086171:	1 
108623:	1 
1086817:	1 
1086980:	1 
1087009:	1 
1087032:	1 
1087068:	1 
1087142:	1 
1087153:	1 
1088062:	1 
1088079:	1 
1088119:	1 
1088223:	1 
1088387:	1 
1090354:	2 
1090373:	1 
109085:	1 
1092466:	1 
1092658:	1 
1093191:	1 
1093197:	1 
1093253:	1 
10933:	1 2 
1093339:	1 
109352:	1 
1093550:	1 
10938:	1 
109394:	3 
10947:	1 
1094927:	2 
