=== non-contiguous nft : chains ===
Found 1949 chain interruption in 2785 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1002:	1 1 
1007:	4 1 
1010:	1 
1011:	3 
1015:	3 
1016:	1 
1018:	1 1 
1019:	1 
1021:	1 
1022:	2 1 
1023:	2 
1025:	1 
1028:	2 1 
1029:	1 
1033:	2 1 3 
1034:	1 4 2 
1035:	4 
1037:	1 
1038:	2 
1039:	1 
1040:	1 
1046:	1 
1047:	2 5 5 
1048:	1 1 1 1 
1049:	3 5 6 
1050:	1 
1051:	2 
1052:	6 3 4 
1053:	2 
1054:	1 
1055:	1 
1056:	5 
1057:	3 
1058:	7 3 
1059:	1 
1060:	4 
1061:	1 
1062:	2 1 
1063:	3 
1065:	1 
1066:	1 
1068:	3 
1069:	2 2 
1070:	8 
1071:	1 1 3 2 
1072:	1 1 
1073:	3 
1074:	1 
1079:	1 
1080:	1 2 3 1 1 4 
1082:	1 
1084:	1 
1085:	1 
1086:	3 
1087:	1 1 
1088:	2 
1089:	6 
1090:	2 2 1 1 1 1 1 
1091:	2 2 1 1 
1092:	3 2 3 
1093:	2 
1094:	3 3 
1095:	5 6 
1097:	1 
1098:	1 4 
1099:	4 1 
1101:	3 1 8 
1102:	6 5 
1103:	1 3 
1104:	4 1 
1107:	2 2 
1108:	3 
1110:	4 1 
1111:	1 
1113:	4 
1114:	4 1 
1118:	1 2 
1121:	1 
1122:	1 2 
1123:	1 2 
1125:	1 1 
1127:	1 4 1 4 
1128:	3 1 
1129:	3 
1130:	1 3 
1131:	2 
1137:	1 
1142:	2 1 1 1 1 
1145:	5 
1146:	5 
1147:	4 3 2 
1149:	1 
1150:	2 
1151:	2 
1152:	7 6 
1153:	2 1 6 1 1 1 1 6 1 4 
1156:	3 
1157:	2 2 
1158:	2 2 
1159:	1 
1160:	1 
1161:	4 2 
1162:	1 
1163:	1 
1164:	1 1 
1165:	1 
1166:	4 
1167:	3 2 
1169:	1 
1170:	5 
1171:	1 1 2 
1172:	1 
1173:	1 
1174:	2 
1175:	2 1 1 
1176:	1 9 
1177:	2 
1178:	3 
1180:	1 4 
1181:	5 
1182:	3 
1184:	1 1 3 
1185:	1 
1186:	1 4 2 
1187:	1 1 3 2 
1188:	2 
1189:	1 2 1 1 1 1 
1191:	1 1 3 
1192:	1 
1193:	3 1 
1195:	1 
1196:	2 1 
1197:	4 
1199:	2 
1201:	7 
1203:	1 
1204:	1 2 
1205:	3 3 
1206:	1 
1207:	1 1 
1208:	1 
1209:	4 
1210:	1 1 1 1 
1211:	1 
1212:	4 3 
1213:	2 
1214:	1 1 
1215:	1 1 
1216:	1 1 
1217:	6 1 3 1 
1218:	3 1 
1219:	1 2 
1220:	1 2 
1222:	1 
1224:	1 
1225:	5 1 
1226:	2 
1227:	1 1 
1228:	2 6 
1230:	1 2 
1233:	5 3 
1234:	1 
1236:	2 1 
1237:	1 1 
1239:	1 
1241:	2 
1242:	1 
1246:	2 
1247:	1 3 4 
1248:	1 3 2 
1249:	1 1 1 
1250:	1 
1251:	1 
1252:	1 1 
1254:	1 3 1 
1256:	1 
1257:	1 
1258:	3 
1259:	6 
1261:	5 
1263:	1 
1264:	2 
1266:	2 1 
1267:	3 
1269:	2 
1270:	1 1 1 2 
1271:	1 1 1 
1272:	2 2 
1273:	1 
1274:	1 2 1 1 1 
1276:	1 
1277:	1 5 
1280:	3 
1281:	2 2 3 1 
1282:	1 
1283:	1 
1284:	1 1 1 
1285:	1 
1287:	3 
1289:	1 
1290:	3 2 
1291:	2 
1292:	3 
1293:	3 1 
1294:	1 
1295:	1 1 1 1 
1296:	1 2 1 
1297:	2 2 
1298:	5 
1300:	5 1 2 
1301:	1 
1302:	2 1 2 
1303:	2 
1306:	1 1 
1307:	1 1 1 1 
1308:	3 
1311:	5 1 
1312:	4 
1313:	1 
1314:	1 2 
1315:	1 
1317:	1 
1320:	1 1 
1325:	4 1 
1326:	3 1 1 1 
1328:	2 2 
1329:	5 
1331:	1 3 3 2 1 
1334:	5 4 
1335:	1 
1339:	1 
1340:	3 
1341:	2 
1342:	2 
1343:	3 1 
1344:	2 
1348:	1 1 1 
1349:	5 3 1 
1350:	2 1 1 1 1 
1351:	2 
1353:	1 
1354:	3 
1355:	1 
1357:	5 1 
1358:	4 1 
1359:	3 1 
1360:	1 1 3 1 
1361:	1 
1362:	3 1 1 2 
1363:	1 
1364:	2 
1365:	1 1 1 
1366:	1 
1367:	2 1 2 
1368:	1 
1370:	3 
1371:	1 2 
1372:	2 
1377:	1 2 
1378:	2 
1379:	1 3 
1381:	1 
1382:	2 1 1 
1383:	1 1 3 1 1 
1384:	2 1 
1385:	4 
1387:	1 1 1 1 
1391:	1 3 
1395:	1 
1396:	3 
1397:	1 
1398:	1 
1399:	1 
1400:	3 
1401:	1 2 1 
1403:	2 1 2 8 
1404:	1 
1405:	3 1 
1407:	1 2 
1409:	3 
1410:	3 
1411:	3 1 
1412:	1 
1413:	1 
1414:	1 
1415:	2 
1417:	3 1 1 
1418:	2 1 2 1 1 
1419:	1 3 1 1 2 5 
1420:	2 
1421:	2 9 4 
1422:	1 4 1 
1424:	1 
1426:	1 
1428:	3 1 
1430:	2 12 
1431:	1 1 3 1 
1432:	2 
1433:	3 1 2 
1434:	1 
1435:	1 1 
1436:	1 1 
1437:	2 2 
1438:	2 5 
1439:	3 
1444:	2 1 
1445:	1 6 
1446:	1 
1447:	2 
1448:	1 
1449:	1 
1450:	2 
1451:	1 1 
1452:	1 2 1 
1453:	1 
1454:	2 
1455:	2 
1456:	5 1 
1457:	2 1 
1458:	1 
1459:	1 
1460:	4 
1461:	1 
1462:	5 2 
1463:	3 5 
1465:	1 
1466:	5 
1467:	2 1 1 3 
1468:	1 1 7 
1469:	3 1 1 
1470:	4 
1471:	2 
1472:	2 
1473:	2 3 
1474:	1 
1475:	4 
1476:	3 
1477:	2 
1478:	2 
1479:	3 
1482:	1 
1484:	4 2 
1485:	1 
1490:	1 1 
1492:	5 
1493:	4 
1494:	1 1 
1495:	1 1 4 
1497:	1 
1500:	1 
1502:	1 1 1 1 1 
1504:	2 2 
1505:	1 1 1 
1506:	1 2 
1507:	2 1 
1509:	2 2 
1510:	2 
1511:	1 1 1 
1513:	2 
1514:	2 
1515:	5 
1516:	1 
1518:	7 1 
1519:	1 2 1 
1520:	2 
1521:	1 1 
1522:	4 
1523:	1 
1525:	2 
1527:	2 4 
1528:	7 1 
1529:	3 1 
1530:	1 3 
1532:	1 
1533:	1 1 
1534:	5 
1535:	1 
1536:	9 1 
1537:	1 1 
1538:	1 1 
1541:	3 
1543:	2 
1544:	1 
1547:	1 
1548:	2 
1549:	2 2 6 
1555:	1 
1556:	1 1 
1558:	1 
1559:	3 3 
1560:	1 
1562:	4 1 
1563:	1 
1565:	1 
1566:	1 
1567:	3 2 2 
1569:	2 1 
1571:	3 4 
1572:	5 
1573:	7 
1574:	1 
1575:	1 
1576:	1 1 
1577:	1 1 1 
1578:	4 1 2 
1579:	3 
1580:	4 2 
1582:	1 
1584:	1 
1585:	1 2 
1588:	2 1 
1590:	2 
1591:	2 
1592:	1 1 
1593:	6 1 3 4 4 
1595:	2 
1596:	4 
1597:	1 
1598:	1 1 2 
1599:	2 1 1 
1600:	4 2 
1603:	1 
1604:	3 
1606:	2 2 3 
1607:	5 2 
1608:	4 3 
1611:	2 
1612:	1 1 
1613:	4 
1614:	4 2 1 
1615:	1 2 
1616:	1 
1617:	6 
1619:	1 1 2 
1620:	1 
1621:	1 2 1 1 
1622:	3 1 1 1 
1623:	1 
1624:	3 2 
1625:	1 1 
1626:	3 3 1 
1627:	2 2 2 
1628:	1 
1629:	1 
1633:	1 1 1 
1634:	3 3 
1635:	4 
1636:	2 
1637:	3 1 
1638:	2 2 
1639:	2 1 1 1 
1640:	2 1 
1641:	3 1 
1642:	2 
1645:	5 1 2 
1646:	6 1 1 6 
1647:	1 1 5 
1648:	2 1 
1649:	1 
1650:	4 
1651:	3 
1652:	1 2 1 
1655:	1 
1656:	2 2 1 1 
1657:	5 2 
1659:	1 
