=== non-contiguous nft : chains ===
Found 8248 chain interruption in 12184 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 
1:	1 1 1 1 1 1 1 1 1 
10:	1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 
100:	1 1 1 1 1 
1000:	1 1 
10001:	2 
10003:	1 
10008:	1 
1001:	1 2 1 1 
10012:	1 
1002:	1 1 1 
10024:	1 
10029:	1 
1003:	1 1 1 
10032:	1 1 
1004:	1 1 1 1 
10043:	1 
10044:	1 
10045:	1 
10046:	1 
1005:	1 1 1 1 
10050:	1 
10052:	1 2 
10055:	1 
10059:	1 
1006:	1 1 1 1 
10062:	1 
10066:	1 
1007:	1 
10076:	1 
1008:	1 
10084:	1 
100855573116645158305422142637172455515960298118071902376792714501479473867451:	1 
1009:	1 
10090:	1 
10095:	1 
100951191815622880242821310791252103923518851834015354423789459396262915582759:	1 
101:	1 1 1 1 1 1 1 1 
1010:	1 
10100:	1 
101032228394753667681625445835948898976377204792188722566461494474534393206294:	1 
10107:	1 
10108:	2 
10109:	1 
1011:	1 1 
10110:	1 
10111:	1 
10112:	1 
10116:	1 
10119:	1 
10121:	1 1 
10127:	2 
10128:	1 
1013:	1 
10130:	1 
10133:	1 
10135:	1 
1014:	1 2 
1015:	3 
10152:	1 
10153:	1 
10155:	1 
10156:	1 
10161:	8 
10169:	1 
1017:	1 1 
101718503915814595293166710245965488971423275024773076903362288931994897861363:	1 
10172:	1 
10175:	1 
10177:	1 
10178:	1 
10179:	1 
101796499080973620547984473629481394866770085682598169297069262073300519150256:	1 
1018:	1 
10180:	1 
10181:	1 
1019:	1 2 1 
10194:	3 
10196:	1 
10197:	1 
10199:	1 
102:	1 1 1 1 1 1 1 1 1 
1020:	1 1 1 
10200:	1 
10202:	1 
10207:	1 
10208:	1 
10209:	2 
1021:	1 1 
10216:	1 
10219:	1 
1022:	1 
10220:	2 
10222:	1 
10226:	1 
10228:	1 
10229:	1 
1023:	1 
10231:	1 
10233:	2 
10234:	1 
10235:	1 
10238:	1 1 
10242:	1 
10243:	1 
10247:	1 
10248:	1 
1025:	1 2 
10251:	1 
10254:	1 
10255:	1 
1026:	1 
10261:	1 
10268:	1 
10269:	1 
1027:	1 
10274:	2 
10279:	1 
1028:	1 2 1 
10284:	2 
10288:	1 
1029:	1 1 1 
10290:	1 
10291:	1 
10294:	1 
10295:	2 
10298:	1 
103:	1 1 1 1 
1030:	1 1 1 1 
10300:	2 
10304:	1 
103081698029799445031030158590320619463396809950287947001679484792465056005371:	1 
10309:	1 
10310:	1 
10311:	1 
10312:	1 
10313:	1 
10315:	1 
10316:	1 
10318:	1 
10319:	1 
1032:	1 1 1 
10320:	1 
10321:	1 
10322:	1 
103245812923759195971071253219864703960099748829461264736702021889946370126797:	1 
10329:	1 
1033:	2 1 
10331:	2 
10334:	1 
10337:	1 
10339:	1 
1034:	1 1 1 
10341:	1 
10342:	1 
1035:	1 1 1 
10350:	1 
10351:	1 
10352:	1 
10354:	1 
10358:	1 
10359:	1 
1036:	1 1 1 
10362:	1 
10364:	1 
10365:	1 
1037:	1 1 
10370:	1 
10372:	1 
1038:	1 
10380:	1 1 
10381:	1 
10383:	1 
10389:	1 
1039:	1 1 1 1 
10397:	1 
10399:	2 
104:	1 1 1 1 1 1 
1040:	1 
10402:	1 2 
10404:	1 
10407:	3 
1041:	1 1 1 
10410:	1 
10411:	1 
10415:	1 
10416:	1 
1042:	1 
10420:	1 
10421:	1 
10422:	1 
10424:	1 
1043:	1 1 
10440:	1 
10442527095060031401870260611266403042139762550723868229718250902579916433145:	1 
10446:	1 
10447:	1 
10448:	1 
1045:	1 1 1 
104536685037546349016653003102698503916480352105670724475234277523511865367646:	1 
10455:	1 2 
10458:	1 
10463:	1 
10467:	1 
10469:	1 
1047:	2 1 1 1 1 
10474:	1 
10478:	1 
1048:	1 2 1 
10481:	1 
10483:	1 
10486:	1 
10487:	2 
104871174113639105471441640710448581288330444231946401660776284220568094356508:	1 
1049:	1 1 
10490:	2 
10491:	1 
10496:	3 
10498:	1 
105:	1 1 2 1 1 1 
1050:	1 1 
10501:	1 
10502:	1 
10505:	3 
10506:	1 
10509:	1 
1051:	1 1 1 1 
10510:	1 
10515:	1 
10516:	1 
10517:	1 
10518:	1 
1052:	1 1 
10525:	1 
1053:	1 
10533:	1 
10534:	1 
10536:	2 
1054:	1 1 
10541:	1 
10542:	1 
10546:	1 
10547:	1 
10552:	1 
10553:	1 
10557:	1 
10558:	1 
10559:	1 
1056:	1 1 
10561:	1 
10562:	1 
10563:	1 
105638190448749908429537104661083285635339897230141035620191393476296909706537:	1 
10564:	1 
10566:	1 
10569:	1 
1057:	1 1 
10571:	1 
10572:	1 
10576:	1 
1058:	1 
10581:	2 
10584:	1 
10585:	2 1 
10586:	1 
10590:	1 
10596:	1 
106:	1 1 1 3 1 
10601:	2 
10602:	1 
10604:	1 
10608:	1 
1061:	1 1 
10610:	1 
10611:	1 1 
10614:	1 
10615:	1 
10619:	1 
1062:	1 1 1 
10623:	1 
10624:	1 
10625:	1 
10628:	1 
1063:	1 
10634:	2 
10636:	2 
10638:	1 
10639:	2 
1064:	1 1 1 
10641:	1 
10642:	1 
10652:	1 1 
10656:	1 
1066:	2 
10662:	1 
10663:	1 
10667:	1 
10669:	2 
1067:	1 
10671:	1 
10674:	2 
10677:	3 1 
10680:	1 
10681:	1 
10688:	1 
10689:	1 
1069:	1 
10690:	2 
106916415315502890194826963558536829816471805873021448566633347922761141109233:	1 
10695:	1 
107:	2 1 2 1 
10708:	2 
10709:	1 
1071:	1 1 1 1 
10711:	1 
107132736205850228183436079622255812051383373322434584924216402055836589721739:	1 
10717:	1 
1072:	1 
10721:	1 
10722:	1 
10723:	1 
10724:	2 
10726:	1 
10729:	2 
1073:	2 1 1 
10730:	2 
10732:	1 
10734:	1 
10737:	1 
1074:	1 1 1 
10740:	1 
107418810726354976759824468808829432501057931501921330869820769673447920031798:	1 
10742:	1 
10743:	1 
10744:	1 
10747:	1 1 
1075:	1 1 1 
10751:	1 
10754:	2 
10757:	1 
1076:	1 1 
10762:	1 
10767:	2 
10768:	1 
1077:	1 1 
10771:	1 
10772:	1 
10773:	1 
10775:	1 
1078:	1 1 1 
10785:	1 
10786:	1 
1079:	2 1 1 1 
10790:	2 
10793:	1 
107991046666406850282103073775488097773386160772229812128981483523482323129199:	1 
108:	1 1 1 1 1 1 2 1 1 
1080:	1 1 
10802:	1 
10809:	1 
1081:	1 1 
10816:	1 
10818:	1 
10822:	1 
10823:	2 
10824:	1 
108240109703556516182326583527796880404010132325121327849515114771606314619641:	1 
10825:	1 
10826:	1 
1083:	1 
10830:	1 
