=== non-contiguous nft : chains ===
Found 11 chain interruption in 978 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
100:	1 
1002:	1 
1004:	1 
1005:	1 
1014:	1 
1016:	1 
102:	1 
1022:	1 
1023:	1 
1024:	1 
1025:	3 
1028:	1 
1034:	1 
1035:	2 
1041:	1 
1042:	1 
1048:	2 
1051:	1 
1053:	1 
1059:	1 
1060:	1 
1062:	1 
1064:	1 
1067:	1 
1070:	1 
1073:	1 
1085:	1 
1086:	2 
1096:	1 
1100:	1 
1103:	1 
1106:	1 
1109:	1 
111:	1 
1111:	1 
1112:	2 
1120:	1 
1125:	2 
1127:	1 
113:	1 
1135:	1 
1138:	3 
1141:	1 
1144:	1 
1145:	1 
1147:	2 
1148:	1 
1151:	1 
1158:	2 
1176:	1 
1177:	1 1 
118:	1 
1183:	2 
1185:	1 
1186:	1 
1187:	1 
1189:	1 
119:	1 
1193:	1 
12:	1 
120:	1 
1209:	1 
1214:	1 
1216:	1 
1222:	1 
1225:	1 
1231:	2 
1232:	1 
1233:	1 
1234:	1 
1235:	1 
1239:	1 
124:	1 
1242:	1 
1243:	1 
1245:	1 
1247:	1 
1248:	1 
1249:	1 
125:	1 
1250:	1 
1251:	1 
1253:	1 
1257:	1 
1258:	2 
126:	1 
1262:	1 
127:	1 
1276:	1 
1278:	1 
1289:	1 
129:	1 
1296:	2 
1299:	1 
13:	1 
130:	1 
1300:	1 
1302:	1 1 
1308:	1 
131:	2 
1310:	1 
1311:	1 
1314:	1 
1315:	1 
1319:	1 
1321:	1 
1323:	1 1 
1325:	1 
1326:	1 
1328:	1 
1329:	1 
133:	1 
1331:	3 
1332:	1 
1336:	1 
1337:	1 
1338:	2 
1339:	1 
1341:	1 
1344:	1 
1346:	1 
1347:	1 
1348:	2 
1353:	1 
1354:	1 
1358:	1 
1359:	1 
1364:	1 
1365:	1 
1366:	1 
1367:	2 
1368:	2 
1375:	1 
1378:	2 
1379:	1 
1384:	1 
1386:	1 
1387:	1 
140:	1 
1400:	2 
1405:	2 
1406:	1 
1407:	1 
1408:	1 
1409:	1 
1410:	1 
1411:	1 
1412:	2 
1413:	1 
1414:	2 
1416:	1 
1420:	1 
1421:	1 
1423:	2 
1424:	1 
1426:	1 
1427:	1 
1428:	1 
1429:	1 
143:	1 
1430:	1 
1431:	1 
1432:	1 
1433:	1 
1434:	1 
1435:	1 
1437:	1 
144:	1 
1440:	1 
1441:	1 
1443:	1 
1446:	1 
1447:	2 
1448:	1 
1449:	1 
145:	1 
1451:	1 
1453:	1 
1454:	2 
1455:	1 
1456:	1 
1457:	1 
1461:	1 
1462:	1 
1463:	1 
1464:	2 
1466:	1 
1467:	1 
1468:	1 
1470:	1 
1472:	1 
1473:	2 
1474:	3 
1475:	1 
1477:	1 
1478:	1 
1479:	1 
1480:	1 
1481:	1 
1482:	1 
1483:	1 
1484:	1 
1485:	1 
1486:	1 
1487:	1 
1488:	1 
1489:	1 
1490:	1 
1491:	1 
1492:	1 
1493:	2 
1494:	1 
1495:	1 
1497:	1 
1498:	1 
1499:	2 
15:	1 
1500:	1 
1501:	2 
1502:	1 
1503:	1 
1504:	1 
1506:	1 
1507:	1 
1508:	1 
1509:	1 1 
151:	1 
1510:	3 
1511:	1 
1512:	1 
1513:	1 
1514:	1 
