=== non-contiguous nft : chains ===
Found 662 chain interruption in 2990 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	1 
1008:	1 1 
1009:	2 
1012:	1 
1013:	2 
1014:	1 
1015:	1 
1016:	1 4 
1022:	1 
1023:	1 
1024:	1 
1026:	2 
1028:	1 
103:	1 
1032:	1 
1033:	1 
1035:	2 
1038:	2 
104:	1 1 1 
1040:	1 
1041:	2 
1044:	4 
1045:	1 
1046:	2 1 2 1 1 5 
1049:	3 1 
105:	2 2 
1050:	1 1 
1052:	4 
1055:	1 
1056:	2 
1058:	1 
1059:	1 
106:	1 
1060:	1 
1061:	1 
1062:	1 
1066:	1 
1067:	1 
1068:	1 
107:	1 
1070:	1 
1072:	1 
1073:	4 
1077:	1 2 
1079:	1 
1081:	2 2 
1084:	1 
1087:	1 
109:	1 2 
1090:	1 1 
1092:	2 
1093:	2 
1094:	2 
1096:	2 
11:	1 1 1 
110:	1 
1101:	1 
1102:	1 2 
1103:	2 
1104:	1 
1105:	4 
1106:	1 
1107:	2 
1109:	1 
111:	1 2 
1111:	2 
1118:	2 
112:	2 
1120:	4 
1121:	2 2 
1122:	1 
1123:	1 
1124:	1 
1126:	1 
1129:	1 
113:	2 
1132:	2 
1134:	1 
1135:	1 
114:	1 
1141:	1 
1143:	1 
1144:	1 1 
1145:	3 
1149:	1 
115:	1 
1159:	1 
116:	1 
1161:	2 
1164:	1 
117:	2 
1177:	1 
1179:	1 
1181:	1 
1182:	2 
1184:	2 
1185:	1 
1186:	1 
1188:	1 1 
1189:	1 1 
1191:	1 
1193:	1 
1194:	1 
1198:	3 2 
120:	1 1 
1201:	2 
1208:	1 
1209:	1 
121:	1 
1213:	1 
1215:	1 
1216:	1 1 
122:	2 1 1 
1220:	2 1 1 2 1 
1222:	1 
1223:	1 1 
1224:	1 1 
1225:	1 
1227:	1 
123:	5 
1232:	1 
1235:	1 
1237:	1 
1239:	2 
1241:	2 
1242:	2 
1243:	1 
1245:	1 
1247:	1 
125:	2 1 1 
1250:	1 
1251:	1 1 
1252:	1 
1254:	1 
1255:	2 
1256:	4 
1257:	1 
1258:	1 
1260:	2 
1262:	1 2 1 
1263:	1 1 
1264:	1 
1266:	1 
1267:	2 
1268:	1 
1270:	2 
1273:	2 
1276:	1 
1278:	1 4 2 
1281:	1 
1282:	2 
1283:	1 
1285:	1 2 
1289:	2 
129:	1 
1291:	1 
1292:	1 
1296:	1 
130:	3 
1300:	1 
1302:	1 
1304:	1 
1305:	2 1 
1307:	1 
1309:	1 2 
131:	1 3 
1311:	2 
1314:	3 
1315:	1 
1316:	2 
132:	1 
1321:	2 
1322:	1 
1325:	1 
1326:	1 
1330:	1 1 
1333:	2 
1334:	1 1 2 
1336:	1 
1338:	1 
1339:	1 
134:	1 1 
1340:	1 
1341:	1 1 
1342:	4 
1344:	2 
1345:	1 
1346:	2 
1348:	1 
1349:	1 1 
1350:	1 
1351:	1 
1353:	2 
1354:	1 
1355:	1 
1356:	1 
1357:	4 
