=== non-contiguous nft : chains ===
Found 262 chain interruption in 1661 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1006:	1 
1019:	1 
1022:	1 
1027:	1 2 
1036:	1 
1039:	1 
1040:	1 1 
1041:	2 
1042:	2 
1045:	1 
1046:	1 
105:	2 
1053:	1 
1058:	1 1 
106:	1 
1061:	2 
1066:	1 
107:	4 
1070:	2 
1077:	1 
1079:	1 5 
1080:	2 
1081:	1 
1084:	1 
1088:	1 2 
109:	2 
1093:	1 
1095:	1 2 
1098:	4 
1099:	1 
11:	1 
110:	2 
1104:	1 
1105:	1 
111:	4 
1112:	1 
1113:	1 1 
1116:	4 
112:	3 
1121:	1 1 
1124:	1 
1126:	2 
1127:	2 
1132:	2 
1133:	1 
1137:	1 
114:	3 
1145:	1 
1149:	1 
1150:	1 
1155:	3 
1157:	1 1 
1160:	1 
1171:	4 
1172:	2 
1176:	1 
1178:	4 
1179:	2 
1183:	1 
1185:	1 1 
1191:	2 
1195:	1 2 
1197:	1 1 
120:	2 
1201:	1 
121:	2 
1210:	1 
1212:	1 
1214:	2 
1216:	2 
1218:	1 
122:	1 
1220:	3 
1223:	2 
1225:	2 
1227:	1 
1228:	1 
1231:	2 
1232:	1 
1233:	6 
1236:	1 
1237:	1 
124:	1 1 2 
125:	1 
1251:	1 1 
1255:	1 
1259:	1 
126:	1 
1260:	2 
1262:	1 
1263:	1 
1264:	2 
1265:	2 
1266:	1 
1267:	1 
1268:	1 1 
127:	2 
1273:	1 
1277:	1 1 1 2 
1278:	1 
1279:	1 
1281:	1 1 
1285:	1 
1287:	1 
1291:	1 
1296:	1 
1297:	1 
1300:	1 
1309:	1 
131:	1 
1312:	1 
1319:	1 
1320:	2 2 
1322:	2 
1326:	2 
1328:	1 
133:	1 
1331:	4 
1333:	1 
1334:	2 
1337:	1 
1338:	1 
1339:	2 
1340:	1 1 
1341:	1 
1342:	1 
1343:	1 1 
1344:	1 
1345:	2 
1347:	1 2 
1350:	1 
1351:	1 
1353:	1 
1355:	1 
1359:	1 
136:	2 
1360:	2 
1362:	1 
1363:	1 
1364:	1 
1366:	2 
1367:	1 
1369:	1 
1370:	1 
1371:	3 
1372:	2 
1373:	1 
1374:	1 
1375:	3 
1376:	1 
1377:	1 
1378:	2 
1379:	1 
1384:	1 
1389:	1 
1390:	2 
1393:	2 
1395:	3 
1397:	1 
1398:	1 1 
1400:	1 
1402:	2 
1403:	1 
1406:	1 
1407:	1 
1408:	1 1 
141:	2 
1410:	1 
1411:	2 
1412:	2 
1413:	1 
1414:	2 
1415:	2 
1421:	3 
1424:	1 
143:	1 
1430:	2 
1433:	2 
1434:	2 
1436:	1 
1437:	1 
1438:	2 
144:	1 
