=== non-contiguous nft : chains ===
Found 449 chain interruption in 3809 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1239153724654613593665505024:	1 
1239153798296062931742365696:	1 
1239158428789113381504155648:	1 2 
1239158465826713457169537024:	1 
1239158668308558166995898112:	1 
1239158742455818063957988352:	1 
1239163169746451158006104832:	1 
1239163206711996873559185664:	1 
1239163390675319243046651136:	2 
1239163409337954598207428608:	1 
1239163427784699758560611328:	1 
1239167965323456132761983744:	1 
1239168149935012070885427200:	1 
1239172632783741182548576256:	1 1 
1239172669459363342946736384:	1 
1239172761476908726079461632:	1 
1239177336701793362074208256:	2 
1239177502290142232077471744:	1 
1239177594740032122908642304:	1 
1239182132567022120223315712:	1 
1239182280357138700299404032:	1 
1239182280502098304631446528:	1 
1239182298803886098263250432:	1 
1239182298803892704007097088:	2 
1239182317178578049807483648:	3 
1239182317250627960081287168:	1 1 
1239186762915949711231883520:	1 
1239186966118366010602426368:	1 
1239186984204823200664915200:	1 
1239191595962902555086099712:	1 
1239191651086964192956583680:	1 1 
1239191669893990696381191168:	2 
1239191706643369196299487232:	1 
1239191761767426410471230208:	2 
1239196428721621646776275968:	1 
1239210651233360118139716864:	1 
1239210688559185007940338688:	1 
1239215373888071130537003008:	1 
1239215410997725467395950592:	1 
1239220003804663052839224064:	1 
1239220077519575182339149056:	1 
1239220133075977977985178112:	2 
1240362742850647608453699328:	2 
1240362890568721966146131712:	1 
1240367428179530458419305216:	2 
1240367613079316729560306688:	2 
1240367686506008365595103744:	1 
1240372298048195274628733952:	3 
1240381577192521838436614144:	5 
1240381613653666629258120448:	3 2 
1240386299270773241041983488:	1 
1240386502329074330844469248:	1 
1240390966081975912134345728:	1 
1240391132389783640228304128:	2 
1240391298122247719782778880:	2 
1240395707470546516947961856:	5 
1240395836165402845679523584:	1 
1240395928759408989856925184:	1 
1240395965508783048711671808:	1 1 
1240395984099642331904737792:	2 
1240396002259283028914405888:	2 
1240400429260564227569553664:	2 
1240400447779361510155158784:	3 
1240400466658453317067407872:	1 
1240400669572638153675768576:	1 
1240409874281760351684990464:	1 1 
1240409911321049234176744448:	1 3 
1240409985034279050757083136:	1 
1240410132392059996469268224:	1 
1240410169357886096094004736:	1 
1240414578130289242688525568:	1 
1240414633685843266729607424:	1 1 
1240414836384137848518279936:	1 
1240419318942948872335523840:	1 1 
1240419319158841287473434112:	1 
1240419429911361094848938752:	1 
1240424151917562621321220096:	4 
1240424262742136749885229824:	1 
1240428855837293694989505024:	1 
1241571576436544046729533184:	1 
1241571668958499206554785280:	2 
1241571779496538418681419520:	1 
1241571797582151192521281280:	2 
1241571889887080327785480192:	3 
1241581021169508733753098752:	2 
1241581242602495164976989696:	1 2 
1241581334980334067380328448:	2 
1241585780429479703472507904:	1 
1241585854216456019768842752:	2 
1241585927931374746305040384:	3 
1241585965041038948603004672:	1 
1241590723940726415150089984:	3 
1241595170110442506813511168:	1 
1241595225090386770637554432:	1 
1241595335770855628272372992:	1 
1241595483416861413772301312:	1 
1241599892044586418008227840:	3 
1241599910275159925807319552:	3 
1241599910563390284661922304:	1 
1241599965615384441781754112:	1 
1241604743898560297727164672:	5 
1241609595248139780879614720:	1 
1241609668892403885936739072:	4 
1241614077734894318676871680:	2 3 
1241614169968614683013550336:	2 
1241614373100655628301767936:	1 
1241618799813142388370705664:	2 
1241619058644017990781702400:	1 
1241623559433405756541965824:	1 
1241623559433407994303617024:	3 
1241623762275529691953956864:	2 
1241623799313138524990214144:	1 
