=== non-contiguous nft : chains ===
Found 1800 chain interruption in 8285 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 
1001:	3 
1002:	3 
1003:	2 
1004:	2 
1005:	3 
1006:	3 1 1 
1007:	1 
1009:	1 
1011:	2 
1012:	1 
1013:	1 
1014:	1 
1015:	1 
1016:	4 2 
1017:	2 
1018:	3 
1019:	1 1 1 
1020:	4 
1021:	3 
1022:	2 
1023:	2 
1024:	3 
1025:	3 
1026:	2 
1028:	2 2 
1029:	2 
103:	3 
1030:	4 
1031:	3 
1032:	1 
1033:	4 2 
1034:	3 
1035:	1 
1038:	1 1 
1043:	2 1 
1044:	1 1 
1046:	2 1 
1048:	3 
1050:	2 
1051:	2 1 
1052:	2 1 
1053:	3 
1054:	1 1 
1055:	2 2 
1057:	3 1 
1059:	1 
106:	2 
1060:	1 
1061:	1 
1062:	4 
1063:	1 
1064:	1 2 1 
1065:	3 
1066:	2 
1067:	1 2 
1068:	2 2 
1069:	3 
107:	2 
1070:	1 
1071:	3 
1072:	5 
1073:	3 3 
1074:	1 
1075:	1 
1076:	2 
1077:	1 
1078:	1 1 
1079:	3 
1080:	2 
1081:	3 
1082:	1 
1083:	1 
1084:	1 
1085:	1 
1086:	1 
1087:	1 
1088:	3 
1089:	4 1 
109:	3 
1090:	1 
1091:	1 
1092:	1 
1093:	2 
1094:	1 
1095:	2 
1096:	1 
1097:	3 
1098:	3 
1099:	1 1 
110:	1 
1100:	1 
1101:	1 
1102:	1 
1103:	4 
1104:	2 
1105:	2 
1106:	2 4 
1107:	2 
1108:	1 
111:	4 
1110:	1 
1111:	1 
1114:	1 
1115:	2 
1116:	1 
1117:	2 1 1 
1118:	1 
1119:	1 
112:	2 
1120:	1 
1121:	1 
1122:	1 
1123:	1 1 1 
1124:	2 
1125:	5 
1126:	2 
1127:	2 
1128:	4 
113:	1 
1130:	2 
1131:	4 
1132:	1 
1133:	2 
1134:	3 
1135:	3 
1136:	1 
1137:	3 
1138:	3 
114:	3 
1140:	1 
1141:	2 
1142:	1 
1144:	3 
1145:	1 
1146:	2 
1147:	1 
1148:	1 
1149:	7 
115:	2 
1150:	1 
1151:	1 
1152:	4 
1153:	1 2 1 2 1 
1154:	1 2 
1155:	1 2 
1156:	1 1 
1157:	2 
1158:	1 
1159:	3 
116:	1 1 
1160:	2 
1161:	2 
1162:	3 1 
1163:	1 
1164:	1 
1165:	2 
1166:	2 
1167:	2 
1168:	1 
1169:	4 
117:	2 
1170:	2 
1171:	1 
1172:	5 
1173:	2 
1175:	3 
1176:	4 
1177:	3 2 
1178:	3 
1179:	3 1 
118:	3 
1180:	2 
1181:	3 
119:	2 
1190:	1 
1191:	5 
1192:	1 
1193:	1 
1194:	1 
1195:	1 
1196:	1 
1197:	5 
1198:	3 
1199:	1 
120:	2 1 
1200:	1 
1201:	1 
1202:	4 
1203:	4 
1204:	4 1 
1205:	1 
1206:	3 
1207:	3 
1208:	1 1 
1209:	3 
121:	1 
1210:	5 
1211:	1 1 
1212:	3 1 
1213:	1 1 
1214:	2 1 
1215:	2 
1216:	5 
1217:	1 1 
1218:	1 
1219:	4 
1220:	2 1 2 
123:	1 
124:	8 
1241:	2 
1242:	7 
1243:	2 
1244:	3 
1245:	2 1 
1246:	2 
1247:	2 
1248:	1 
1249:	1 
125:	1 
1250:	1 
1251:	2 3 
1252:	3 
1253:	1 
1254:	2 3 
1255:	2 
1256:	2 
1257:	1 
1258:	1 2 
1259:	2 
126:	1 
1260:	3 
1261:	1 
1262:	1 1 1 
1264:	1 
1265:	1 
1266:	2 
127:	5 
1270:	2 
1271:	2 
1272:	1 
1274:	1 2 
128:	1 
1280:	1 
1281:	2 
1282:	4 
1283:	2 
1284:	1 2 
1285:	1 
1286:	2 2 
1287:	2 
129:	3 
1292:	3 
1297:	1 
1298:	4 
1299:	2 1 
130:	1 
1300:	2 1 
1301:	3 
1302:	1 
1303:	2 
1304:	1 
1305:	1 
1306:	1 
1307:	2 
1308:	2 1 1 1 
131:	2 
1310:	4 
1311:	1 
1312:	2 
1313:	1 
1314:	3 
1315:	2 
1316:	2 
1317:	2 
1318:	2 
1319:	3 
132:	2 
1320:	1 
1321:	6 
1322:	1 3 
1323:	1 1 
1324:	3 
1325:	1 
1326:	1 2 
1327:	3 
1328:	3 
1329:	2 
133:	2 
1330:	2 
1331:	2 
1332:	2 
1333:	4 
1334:	1 
1335:	1 
1336:	5 
1337:	2 
1338:	3 
1339:	3 2 
134:	1 
1340:	2 
1341:	1 
1342:	3 
1343:	1 1 
1344:	2 
1345:	3 
1346:	2 
1347:	2 
1348:	1 
1349:	2 
135:	2 
1350:	6 1 
1351:	2 
1352:	1 
1353:	1 1 
1354:	1 
1355:	3 
1356:	4 
1357:	1 
1358:	1 
1359:	3 
136:	1 
1360:	3 
1361:	1 
1362:	2 1 
1363:	2 
1364:	1 
1365:	3 
1369:	2 
137:	6 
1370:	2 
1371:	1 
1372:	4 
1373:	2 
1374:	2 1 
1375:	2 
1376:	1 
1378:	1 
1380:	1 
1381:	2 1 
1382:	1 
1383:	2 
1384:	1 
1385:	3 
1386:	2 
1387:	1 
1388:	1 
1389:	2 
1390:	2 
1391:	2 
1392:	2 
1393:	1 
1394:	5 2 
1395:	1 
1396:	4 
1397:	2 
1398:	3 
1399:	3 1 
1400:	2 
1401:	1 1 
1402:	4 
1403:	3 
1404:	2 1 
1405:	3 
1406:	2 
1407:	1 
1408:	3 
1409:	2 
1410:	2 
1411:	4 
1412:	2 
1413:	2 
1414:	1 
1415:	1 
1416:	2 
1417:	1 
1418:	3 
1419:	2 
1421:	1 
1422:	4 
1423:	1 
1424:	1 
1425:	3 3 
1426:	1 
1428:	3 
1429:	2 1 
1430:	1 
1431:	1 2 
1432:	2 
1433:	1 
1434:	4 
1435:	1 
1436:	1 2 
1438:	3 
1439:	1 
1440:	3 
1451:	4 
1452:	1 
1453:	2 1 
1454:	4 
1455:	2 
1457:	1 
1458:	5 
1459:	6 
1460:	1 1 
1461:	3 
1462:	3 
1463:	3 
1464:	5 2 
1465:	1 
1466:	1 
1467:	1 
1468:	3 
1469:	2 
1470:	2 
1471:	1 
1472:	3 
1473:	2 
1474:	3 
1475:	1 
1476:	2 
1477:	2 1 
1478:	1 
1479:	1 
1480:	2 
1481:	1 
1482:	5 1 
1483:	2 1 
1484:	2 2 
1485:	2 2 
1486:	1 
1487:	1 
1488:	2 
1489:	1 
1490:	1 
1491:	2 
1492:	1 
1493:	1 
1494:	1 
1495:	1 
1496:	2 1 
1497:	1 
1498:	2 
1499:	4 
150:	1 
1500:	3 
1501:	1 1 
1502:	1 
1503:	2 1 
1504:	4 
1505:	1 
1506:	6 1 
1507:	1 
1508:	2 
1509:	1 
151:	2 1 
1510:	4 
1511:	4 
1512:	1 
1513:	2 
1514:	2 
1516:	2 
1517:	3 
1518:	1 1 
1519:	2 
152:	3 
1526:	2 
1527:	1 
153:	2 
1530:	1 
1531:	1 1 
1534:	1 1 
1535:	1 1 
1536:	1 
1537:	2 
1538:	1 
154:	1 
1542:	1 1 
1543:	3 
