=== non-contiguous nft : chains ===
Found 610 chain interruption in 2460 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	1 1 
1001:	3 
1002:	3 
1004:	2 
1005:	2 
1006:	1 
1007:	1 1 1 
1009:	1 2 
1010:	2 
1011:	4 1 
1013:	1 
1015:	3 
1016:	2 
1017:	2 
1018:	3 
1020:	4 3 
1021:	4 
1022:	1 1 
1023:	1 
1024:	1 
1026:	2 
1027:	3 1 2 
1028:	3 
1029:	1 1 1 1 
103:	2 
1030:	2 8 
1031:	3 
1032:	2 1 
1033:	5 
1034:	7 
1035:	2 
1036:	2 
1037:	3 
1038:	2 
1039:	6 
104:	2 1 
1040:	1 
1042:	2 1 
1044:	1 1 
1045:	3 2 
1048:	2 
105:	1 
1052:	2 
1053:	2 
1054:	2 
1055:	2 
1056:	3 
1057:	2 
1059:	1 
106:	2 
1060:	2 
1061:	1 
1062:	3 2 
1063:	2 
1064:	5 
1065:	3 3 
1066:	2 
1067:	1 
1068:	1 
1069:	4 2 
107:	2 
1070:	2 1 
1071:	2 
1073:	1 
1074:	3 
1075:	2 
1076:	3 
1077:	3 1 2 
1078:	1 
1079:	1 
1080:	2 
1081:	1 5 
1082:	2 
1083:	1 
1084:	1 
1085:	3 1 
1086:	2 1 
1087:	1 
1088:	1 
109:	2 
1090:	4 
1091:	2 
1092:	1 
1094:	2 
1095:	5 
1096:	1 
1097:	1 1 
1099:	2 
11:	1 
110:	2 
1101:	2 
1102:	3 
1103:	2 
1104:	5 
1105:	1 
1107:	1 
1108:	1 
1109:	3 
111:	1 1 
1110:	2 
1111:	1 
1112:	4 
1113:	3 
1114:	1 
1115:	3 
1116:	2 2 
1117:	1 
1118:	5 
1119:	2 
112:	2 
1120:	3 
1121:	1 
1122:	2 
1123:	2 
1124:	4 
1125:	3 
1126:	1 
1127:	2 
1128:	1 
1129:	1 
1130:	2 
1131:	1 
1132:	3 
1133:	1 
1134:	2 1 1 1 
1136:	1 2 
1137:	4 
1138:	2 
1139:	1 
114:	1 
1140:	1 
1141:	1 
1142:	2 
1143:	3 
1145:	1 
1147:	4 
1148:	1 
1149:	2 
115:	2 
1150:	1 
1151:	2 
1152:	5 
1153:	1 
1154:	1 
1155:	2 3 
1156:	2 1 
1157:	2 
1158:	2 
1159:	3 
116:	2 
1160:	3 
1161:	6 
1163:	3 1 
1166:	2 
1167:	1 
1168:	4 
1169:	3 1 
117:	2 2 3 
1170:	1 1 
1171:	5 
1172:	3 
1173:	3 
1174:	7 
1175:	1 
1176:	1 
1177:	2 
1178:	4 
1179:	2 
118:	1 
1181:	1 
1182:	1 
1183:	1 
1185:	7 
1186:	2 
1187:	1 
1188:	2 
119:	4 
1190:	1 
1192:	3 
1193:	1 
1194:	1 
1195:	1 1 
1196:	1 
1197:	2 
1198:	3 2 
1199:	1 
120:	1 
1201:	2 
1202:	1 1 
1203:	3 
1204:	2 
1205:	3 
1206:	5 1 
1208:	1 
1209:	1 
121:	1 
1210:	1 
