=== non-contiguous nft : chains ===
Found 206 chain interruption in 632 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
107:	3 3 
210:	3 
211:	2 
212:	3 
213:	1 
214:	5 
215:	5 2 
216:	4 
217:	2 
218:	2 
219:	2 
220:	1 1 
221:	2 
222:	5 3 
223:	9 1 3 
224:	1 1 
225:	2 
226:	4 
227:	2 
228:	2 
229:	1 
231:	9 
232:	6 
233:	2 2 6 
234:	1 
236:	2 1 1 1 
237:	3 
239:	1 1 
240:	3 
242:	6 
243:	1 
244:	5 
245:	6 
247:	6 3 1 
249:	1 
250:	2 2 
253:	1 1 1 
254:	1 
255:	4 
256:	6 2 
258:	3 6 
259:	4 
260:	4 
261:	2 
262:	1 
264:	6 
265:	3 
266:	2 
267:	1 
268:	6 4 3 
269:	1 2 
270:	3 
271:	8 
273:	6 
274:	4 1 
275:	5 
276:	2 
277:	2 
278:	1 2 
279:	4 
280:	2 2 
281:	1 
282:	1 
283:	3 
284:	6 
285:	7 
286:	1 1 
287:	1 
288:	8 
289:	2 
290:	7 
291:	4 
292:	3 
293:	1 1 6 1 
294:	5 
295:	1 
296:	3 
297:	3 
298:	8 
299:	1 2 
300:	4 
301:	2 
302:	1 
305:	2 4 
307:	4 1 
308:	2 
309:	3 1 
310:	6 
311:	3 1 1 
313:	1 
314:	2 
315:	2 2 
316:	1 
317:	5 
319:	8 
320:	2 2 
321:	3 
322:	1 
323:	1 
324:	3 2 
325:	2 1 1 
326:	3 4 2 
327:	1 1 
328:	1 1 
329:	7 
330:	1 
331:	3 
332:	4 2 
333:	6 
334:	1 
335:	2 
336:	3 4 1 
337:	2 
338:	1 
339:	2 
340:	1 2 
341:	2 
342:	4 2 
343:	3 
344:	7 2 
345:	1 
346:	6 
347:	1 
348:	5 3 
349:	2 3 
350:	1 
351:	1 
352:	8 3 
353:	5 3 
355:	2 
356:	8 
357:	6 
358:	2 1 1 
359:	2 
360:	3 
361:	1 
362:	2 
364:	1 
365:	5 
367:	8 
368:	2 
369:	1 
371:	1 
372:	4 
373:	2 1 2 2 
374:	3 
375:	5 1 
376:	2 
377:	4 
378:	4 
379:	1 
380:	4 1 
381:	2 
382:	1 1 1 
383:	8 
384:	8 2 
385:	2 
386:	5 
387:	2 
388:	1 
389:	8 
390:	1 
391:	5 
392:	6 
393:	1 
394:	1 
395:	1 
396:	3 1 2 
397:	3 
398:	4 
400:	1 1 
402:	4 
403:	4 
404:	3 
405:	1 
406:	4 
407:	2 
408:	2 
409:	3 
410:	3 
411:	1 
412:	5 
413:	2 
414:	3 1 
415:	1 
416:	1 2 
418:	3 
419:	2 
420:	1 
421:	4 
422:	3 
423:	5 4 1 
424:	2 
425:	2 4 
426:	1 
427:	1 
428:	1 
429:	1 
430:	1 
431:	2 
433:	3 
434:	6 
436:	7 
