=== non-contiguous nft : chains ===
Found 1207 chain interruption in 8353 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	2 
10:	2 
100:	1 
1000:	2 2 1 
1001:	4 
1002:	4 
1003:	3 
1004:	3 
1005:	3 1 
1006:	3 
1007:	3 
1008:	1 1 
1009:	2 
101:	4 
1010:	1 
1011:	2 
1013:	3 
1014:	2 
1015:	3 
1016:	1 1 
1017:	1 
1018:	1 2 
1019:	1 
102:	2 
1020:	4 
1021:	2 
1022:	2 
1023:	2 1 2 
1024:	2 
1025:	3 
1026:	2 
1027:	2 
1028:	3 
1029:	2 
103:	3 
1030:	6 1 
1031:	1 
1032:	6 3 
1033:	3 
1034:	1 
1035:	2 1 2 
1036:	4 
1037:	1 1 
1038:	1 
1039:	3 
104:	1 
1040:	3 
1041:	1 
1042:	3 
1043:	2 
1044:	6 
1045:	5 
1046:	2 
1047:	2 
1048:	6 
1049:	1 
105:	3 
1050:	2 
1051:	4 
1052:	2 
1053:	2 
1054:	2 
1056:	5 
1057:	4 
1059:	4 
106:	1 
1060:	1 
1061:	1 
1062:	3 
1063:	1 
1064:	3 
1065:	2 
1066:	2 
1067:	2 
1068:	2 
1069:	4 
107:	2 
1070:	5 
1071:	1 
1072:	1 
1073:	4 
1074:	1 
1075:	7 
1076:	6 3 
1077:	3 
1078:	2 
1079:	1 2 
108:	2 
1081:	1 1 1 
1082:	3 
1083:	1 
1085:	2 2 
1086:	5 
1087:	1 
1089:	3 
109:	1 
1090:	1 
1091:	3 
1092:	1 
1093:	2 
1095:	1 5 
1096:	2 
1097:	1 
1098:	2 
1099:	1 
11:	1 
110:	1 
1100:	1 
1101:	3 
1102:	1 
1103:	3 
1104:	1 
1105:	1 
1106:	2 
1107:	3 
1108:	1 
1109:	3 
111:	1 
1110:	5 
1111:	1 
1112:	1 2 1 
1113:	2 
1115:	1 2 
1116:	3 
1117:	2 
1118:	4 
1119:	2 
112:	1 
1120:	4 
1121:	2 
1122:	3 
1123:	1 
1124:	1 
1125:	3 
1126:	1 
1127:	2 
1128:	1 
1129:	2 
113:	3 
1130:	2 1 
1131:	1 
1132:	3 
1133:	4 3 1 
1134:	1 2 
1136:	2 
1137:	2 2 
1138:	3 1 
1139:	2 
1140:	2 
1141:	2 
1143:	1 3 1 
1144:	4 
1145:	2 
1146:	1 
1147:	1 
1148:	1 
1149:	2 
115:	2 
1151:	3 
1153:	3 
1154:	2 
1155:	1 
1156:	2 
1157:	3 
1158:	2 
1159:	3 
116:	1 
1160:	2 
1161:	2 2 1 
1162:	2 
1163:	5 
1164:	2 
1166:	2 
1167:	1 
1168:	3 
1169:	1 
1170:	4 
1171:	8 
1172:	1 
1173:	1 
1174:	1 
1175:	1 
1176:	2 2 
1177:	1 
1178:	7 
1179:	1 
118:	2 
1180:	1 
1181:	3 1 
1182:	2 1 1 1 
1183:	1 
1184:	1 
1185:	1 
1186:	1 
1187:	2 
1188:	3 
119:	1 
1190:	2 
1191:	2 
1192:	3 
1193:	5 
1194:	2 
1195:	3 
1196:	2 
1197:	2 
1198:	4 
1199:	3 1 
12:	5 1 1 
120:	3 
1200:	4 
1201:	4 
1202:	2 
1203:	2 
1204:	3 
1205:	2 
1206:	5 
1207:	3 
1208:	3 
1209:	3 
121:	3 
1210:	1 
1211:	2 
1212:	4 
1213:	1 
1214:	1 
1215:	2 
1216:	1 
1217:	4 
1218:	2 
1219:	1 
122:	4 
1220:	3 
1221:	1 
1222:	2 
1223:	1 
1224:	4 
1225:	4 
1226:	3 
1227:	3 
1228:	3 
