=== non-contiguous nft : chains ===
Found 1150 chain interruption in 6736 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	2 2 
100:	3 
1003:	1 2 
1004:	1 
1006:	1 
101:	2 
1012:	2 
1013:	5 
1014:	1 
1015:	1 
1016:	2 1 
1017:	1 1 
1018:	1 
1019:	1 
102:	1 
1020:	2 
1021:	2 
1022:	1 
1025:	2 2 
1026:	3 1 
1027:	4 1 
1028:	1 3 
1029:	1 
103:	3 
1031:	2 
1032:	1 
1033:	4 
1034:	2 
1035:	2 
1036:	3 
1037:	2 
1038:	2 
1039:	1 
104:	1 2 
1040:	1 
1042:	1 
1043:	3 
1044:	3 
1045:	2 
1046:	2 
1047:	2 
1048:	1 
1049:	4 
1050:	1 
1051:	2 
1052:	3 
1053:	2 
1054:	2 1 
1055:	2 1 1 
1056:	1 2 
1057:	5 2 
1058:	1 
1059:	1 
106:	1 
1060:	1 
1066:	4 
1068:	1 
1069:	1 
1070:	1 1 
1071:	3 1 
1072:	1 
1073:	1 
1075:	1 
1076:	1 
1077:	5 
1078:	3 
1079:	1 
1080:	2 
1081:	1 
1082:	1 3 1 
1083:	1 
1084:	3 
1085:	1 1 3 
1086:	2 
1087:	2 
1088:	1 
1089:	1 
109:	3 
1090:	1 
1091:	3 
1093:	1 
1094:	1 1 
1096:	4 1 
1098:	1 
11:	1 
110:	3 
1102:	2 
1104:	1 
1109:	2 
111:	3 
1110:	3 
1111:	2 
1112:	2 
1113:	2 
1114:	1 1 
1115:	1 2 
1116:	3 1 
1117:	1 
1118:	1 
1119:	1 
112:	2 
1120:	3 2 
1121:	2 
1123:	1 2 
1124:	1 2 
1125:	1 
1126:	2 
1127:	2 
1128:	1 
1129:	3 
113:	1 
1130:	2 
1131:	1 
1136:	2 
1137:	4 
1138:	3 
1139:	3 
114:	1 
1140:	4 3 
1141:	4 
1142:	2 
1143:	1 
1145:	3 
1146:	1 
1147:	2 
1148:	1 
1149:	1 
115:	2 
1150:	2 
1151:	1 
1152:	1 
1153:	2 1 
1154:	1 
1155:	1 
1156:	2 
1157:	2 
1158:	2 
1159:	1 2 
116:	4 
1160:	2 
1161:	3 
1162:	1 2 
1163:	3 
1167:	2 
1168:	1 
1169:	3 3 
117:	2 
1170:	1 
1172:	1 
1174:	2 
1175:	1 
1178:	2 
118:	3 
1180:	1 
1181:	1 
1182:	1 
1183:	1 1 
1184:	4 
1185:	3 
1186:	1 
1187:	1 
1188:	4 
119:	2 
1195:	1 
1196:	4 
1197:	1 1 
1198:	2 
1199:	3 
120:	1 
1200:	1 
1201:	1 1 
1202:	3 
1203:	2 
1204:	1 
1205:	1 
1206:	3 
1207:	1 
1208:	1 
1209:	1 
121:	8 
1210:	6 
1211:	2 
1212:	1 
1213:	2 
1215:	2 
1216:	1 
1217:	2 2 
1219:	3 
122:	5 
1220:	1 
1221:	3 1 
1222:	1 
1223:	1 
1224:	2 
1225:	1 
1226:	2 
1227:	3 
1228:	4 
1229:	1 
1230:	1 1 
