=== non-contiguous nft : chains ===
Found 11967 chain interruption in 9165 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 2 1 
1000:	1 1 2 1 1 
10000:	2 1 2 
1002:	1 1 4 2 3 
1003:	1 2 1 
1004:	2 
1005:	1 2 
1006:	1 
1007:	1 
1008:	2 
1009:	1 
101:	1 
1010:	2 
1011:	1 
1012:	1 2 1 
1013:	1 
1014:	1 2 
1015:	2 3 1 2 
1016:	1 1 
1017:	1 1 
1018:	1 2 
1019:	1 1 
102:	1 1 1 
1020:	1 1 1 
1021:	1 2 2 
1022:	1 2 1 1 
1023:	1 3 2 2 
1024:	1 2 1 
1025:	1 2 
1026:	1 3 
1027:	1 1 
1028:	1 2 1 
1029:	1 
103:	1 2 1 
1030:	3 1 
1031:	2 2 1 
1032:	2 
1033:	2 3 1 1 
1034:	1 1 2 
1035:	2 2 2 
1036:	1 1 1 
1037:	1 2 3 
1038:	1 3 3 1 
1039:	1 
104:	2 
1040:	1 2 1 
1041:	1 3 
1043:	1 1 
1044:	1 2 6 
1045:	1 
1046:	1 2 4 
1047:	2 
1048:	1 1 
1049:	1 2 
1050:	1 
1051:	2 
1052:	1 3 4 2 1 1 1 
1053:	1 1 2 1 
1054:	1 1 2 1 1 
1055:	2 2 
1056:	3 1 1 3 3 
1057:	1 1 1 2 
1058:	1 1 1 
1059:	1 1 2 1 2 3 3 
106:	1 
1060:	1 3 2 
1061:	1 1 
1062:	2 3 1 3 
1063:	1 1 2 1 
1064:	1 2 
1065:	1 1 1 1 
1067:	1 2 
1068:	1 2 2 2 
1069:	1 1 2 1 1 
107:	2 2 
1070:	2 
1071:	2 1 
1072:	2 4 1 
1073:	1 2 
1074:	1 
1075:	1 5 
1076:	1 1 
1077:	1 
1078:	1 2 
1079:	1 
108:	2 
1080:	1 2 
1081:	3 1 
1082:	3 1 
1083:	1 3 1 
1084:	1 2 
1085:	1 
1086:	1 1 2 1 
1087:	1 
1088:	1 2 4 2 1 
1089:	2 2 
1090:	2 2 2 
1091:	1 
1092:	2 2 
1093:	1 1 
1094:	1 1 
1095:	1 3 1 
1096:	1 3 2 1 
1097:	2 1 1 1 
1098:	3 2 2 1 
1099:	3 
11:	1 1 
110:	1 1 
1100:	3 
1101:	1 
1102:	3 2 
1103:	2 2 3 
1104:	1 6 
1105:	1 
1106:	1 1 2 
1107:	1 3 3 
1108:	4 2 2 1 2 
1109:	2 
111:	6 
1110:	1 3 1 
1111:	1 3 2 
1112:	1 
1113:	1 1 2 
1114:	1 1 3 4 1 1 
1115:	1 2 2 3 
1116:	1 1 1 2 1 1 11 
1117:	2 
1118:	1 1 
1119:	2 
112:	1 3 
1120:	1 2 
1121:	1 1 
1122:	1 2 2 
1123:	1 
1124:	1 
1125:	1 2 4 1 
1126:	1 
1128:	1 1 1 
1129:	1 2 1 
113:	1 
1130:	1 2 1 
1131:	3 
1132:	1 
1133:	1 3 2 
1134:	1 3 
1135:	1 1 
1136:	3 1 
1137:	2 1 
