=== non-contiguous nft : chains ===
Found 2662 chain interruption in 10286 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
100:	1 
10004:	2 
10008:	1 
10009:	1 
10012:	1 1 
10013:	1 
10018:	2 
10020:	2 
10021:	3 
10022:	2 1 1 1 1 
10023:	1 
10025:	1 
1003:	1 
10031:	4 
10033:	2 
10035:	2 
10036:	3 1 
10038:	3 
10042:	1 1 1 1 
10043:	3 
10044:	1 
10046:	3 
10048:	1 
10054:	1 2 
10055:	3 
10056:	2 
10059:	2 
10063:	3 
1007:	2 
10070:	1 1 
10072:	3 
10073:	1 2 
10074:	1 
10076:	2 
10078:	3 
1008:	1 
10080:	1 
10081:	1 
10086:	1 
10087:	1 
10088:	1 
10091:	1 
10092:	2 2 1 
10093:	1 
10094:	2 
10097:	1 
10098:	3 6 
10099:	1 
101:	1 
10106:	1 1 
10107:	1 
10108:	3 1 
10109:	5 
1011:	2 
10110:	1 
10111:	5 1 
10113:	3 1 
10115:	1 
10117:	2 
10119:	4 
10122:	3 
10123:	2 
10124:	3 
10125:	2 
10126:	1 
10128:	2 
1013:	1 5 
10139:	2 
1014:	1 
10141:	3 
10142:	3 
10143:	1 2 
10144:	1 
10146:	3 1 
10147:	1 2 
10148:	1 
10149:	2 
1015:	2 
10150:	3 
10151:	2 
10158:	1 2 
10159:	3 
10160:	2 
10162:	1 
10163:	1 4 
10164:	2 
10165:	3 1 
10166:	1 2 
10168:	2 4 
10169:	1 
1017:	2 
10172:	2 
10174:	2 
10175:	2 
10176:	1 
10181:	1 
10184:	3 
10189:	1 
1019:	1 
10192:	1 
10193:	1 
10194:	1 
10195:	1 
10196:	1 
10197:	1 1 
10198:	1 5 
102:	1 
10202:	4 
10208:	1 2 
10209:	2 
1021:	3 
10210:	2 
10211:	1 
10213:	3 2 
10218:	1 
10219:	1 
1022:	1 
10221:	7 
10222:	1 4 1 
10226:	2 
10230:	1 
10231:	1 
10232:	1 
10233:	2 
10234:	1 
10235:	1 
10237:	2 3 
1024:	2 
10242:	1 
10247:	2 
10248:	1 
10250:	2 
10251:	2 
10252:	1 1 
10253:	2 
10255:	2 
10258:	2 
10259:	1 
1026:	1 
10260:	1 
10261:	2 
10263:	1 
10265:	2 
10266:	3 
10267:	1 
10268:	2 
10269:	2 
10270:	1 1 
10274:	1 
10275:	2 
10278:	1 
10280:	3 
10282:	2 
10285:	2 
10286:	1 6 
10287:	1 
10291:	4 
10292:	1 1 
10293:	3 
10294:	5 
10295:	1 2 
10296:	5 
10299:	2 
103:	1 
10300:	2 1 
10302:	4 
10303:	1 4 
10305:	1 1 
10306:	5 
10307:	1 
10309:	1 
10311:	2 
10314:	1 4 
10319:	3 
10320:	1 2 
10321:	1 
10323:	1 1 
10324:	1 1 1 
10325:	1 1 
10326:	1 2 
1033:	1 
10334:	1 4 
10335:	3 
1034:	1 
10340:	4 
10344:	2 
10345:	1 
10346:	1 
10348:	3 
10351:	3 1 
10352:	1 1 
10356:	1 2 
10359:	1 
1036:	1 1 
10360:	1 
10362:	1 
10373:	1 1 
10374:	5 
10379:	2 
1038:	1 
10384:	4 1 
10386:	2 1 
10387:	1 1 
10388:	2 
10391:	1 
10396:	7 
10397:	1 4 
10398:	3 
10403:	1 
10404:	4 
10405:	1 3 2 
10406:	2 
10407:	2 
