=== non-contiguous nft : chains ===
Found 2574 chain interruption in 6949 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	2 
10:	1 
100:	1 
1000:	2 1 
10000:	1 
10004:	3 
10014:	1 
1002:	1 
10026:	1 2 
10027:	2 3 
10028:	2 1 
1004:	4 
1005:	1 
101:	1 
1010:	2 
1011:	1 2 
1013:	3 1 
1015:	2 1 
10158:	2 
1017:	1 
1018:	3 
10189:	2 
102:	2 
1021:	2 1 1 1 1 2 
1025:	1 
1027:	2 1 
10283:	1 
10294:	2 
103:	3 1 
1030:	1 
1032:	1 2 
1033:	1 1 3 2 
1034:	3 
1035:	1 
1037:	2 
1039:	1 
104:	1 
1040:	1 2 
1041:	3 
1042:	2 
1044:	2 
1051:	1 1 
1052:	1 1 
1058:	2 
1059:	1 
106:	1 
1060:	1 
1062:	1 1 
1063:	2 
1065:	2 
1066:	2 
1069:	1 
107:	1 3 
1070:	1 4 2 1 4 
1073:	2 1 
1074:	2 
1075:	1 
1076:	1 1 
1078:	1 
1079:	1 3 
108:	1 3 
1080:	2 
1082:	1 
1083:	2 
1084:	1 
1085:	3 4 
1086:	1 2 2 
1088:	2 3 
1089:	1 
1091:	4 
1093:	2 
1095:	2 
1096:	1 
1097:	1 
110:	3 
1100:	1 
1101:	1 
1103:	1 1 1 
1104:	2 2 
1107:	1 
111:	2 
1110:	1 
1113:	3 
1115:	2 1 4 
1116:	1 
1117:	3 
112:	2 
1122:	2 2 2 
1126:	3 
1127:	1 1 1 6 
1129:	1 
1130:	1 1 1 
1133:	1 
1136:	4 
1139:	1 2 
1140:	1 
1141:	1 
1142:	5 
1143:	2 
1144:	2 4 
1148:	1 
1149:	2 1 1 
115:	1 
1152:	3 
1155:	1 
1157:	3 
116:	2 
1160:	1 1 
1161:	1 
1162:	9 
1167:	3 
1168:	2 
117:	1 1 
1170:	2 5 
1173:	2 
1174:	1 2 
1175:	1 
1177:	2 
1178:	1 
1179:	3 
118:	1 1 
1180:	2 
1181:	1 
1182:	1 
1183:	4 3 
1185:	2 
1186:	4 1 5 
1188:	1 
1189:	1 
1191:	2 
1192:	1 
1193:	1 1 
1194:	1 
1196:	1 3 
1199:	1 
120:	1 
1202:	1 1 
1204:	1 1 
1205:	1 
1207:	2 
1209:	2 
1210:	1 
1213:	1 
1216:	2 
1217:	1 
1218:	1 1 5 
1219:	4 2 
122:	1 
1220:	2 
1222:	1 
1223:	1 1 
1225:	3 
1226:	1 
1227:	2 1 
1228:	1 
1229:	1 1 1 
1230:	2 
1232:	1 
1233:	2 
1237:	1 1 2 1 
1239:	2 
124:	3 
1242:	1 
1243:	3 
1245:	4 
1246:	2 
1248:	1 
1249:	1 
1253:	3 
1254:	2 
1255:	3 
1257:	2 
1258:	1 
1259:	2 
126:	7 
1261:	1 1 
1263:	1 
1265:	1 
1266:	1 1 
1267:	3 
1268:	1 
127:	4 
1271:	1 
1272:	1 
1273:	1 
1275:	1 
1279:	1 
128:	2 
1281:	1 
1286:	1 3 1 
1288:	1 
129:	1 1 
1291:	1 
1293:	1 
1296:	3 
1298:	1 
1299:	1 4 
13:	2 
1300:	1 
1301:	1 
1302:	6 
1303:	1 
1304:	2 
1305:	1 5 
1307:	1 1 
131:	3 
1312:	1 
1318:	1 1 
1320:	1 
1321:	1 
1322:	1 1 
1323:	1 
1325:	1 1 
1326:	2 2 
1327:	3 
1328:	1 
1334:	1 
1335:	1 
1338:	1 1 
1339:	1 
134:	1 1 
1340:	2 
1344:	2 2 
1347:	1 
1349:	2 1 
135:	1 
