=== non-contiguous nft : chains ===
Found 587 chain interruption in 4528 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1001:	4 
1004:	1 
101:	4 
1011:	1 
1015:	1 
1016:	3 1 
1021:	2 
1023:	2 
1025:	1 
1027:	1 1 
1028:	1 
1029:	2 
103:	3 
1030:	4 
1033:	3 
1036:	5 
1039:	2 
1040:	1 
1041:	2 
1042:	2 
1043:	3 
1045:	1 
1046:	1 
1047:	3 
1050:	1 
1051:	1 
1052:	5 
1055:	3 
1056:	3 
1057:	1 
1058:	2 
1059:	5 
1060:	2 
1062:	2 1 
1064:	2 
1066:	1 
1067:	3 
1068:	1 1 
1069:	1 
107:	2 
1070:	3 
1072:	5 
1073:	3 
1079:	5 
108:	2 1 
1080:	1 
1086:	2 
1089:	3 
1090:	2 1 
1092:	1 1 
1093:	2 
1094:	1 
1095:	2 
11:	2 
1102:	1 
1103:	1 
1104:	2 
1107:	1 
1108:	3 
1110:	1 
1112:	2 
1113:	1 
1116:	1 
1117:	1 
1118:	2 
1119:	1 
1121:	2 
1122:	1 
1124:	1 
1126:	1 
1127:	1 
1128:	2 
1132:	1 
1134:	1 
1135:	2 
1140:	2 
1143:	1 
1144:	2 
1145:	2 
1146:	2 1 
1147:	2 
1148:	2 
1149:	2 
1150:	2 
1152:	5 
1154:	1 
1155:	1 
1156:	5 
1159:	1 
1160:	1 
1161:	3 
1163:	3 
1166:	2 
1167:	4 
1169:	3 
1170:	2 
1172:	1 
1173:	2 
1178:	1 
1179:	1 
118:	1 
1181:	1 
1182:	3 
1184:	1 
1185:	3 
1186:	1 
1187:	2 1 
1188:	3 
1189:	2 
1192:	1 
1193:	1 
1198:	4 
1199:	4 
12:	2 
120:	3 
1200:	2 
1203:	4 
1204:	2 
1205:	2 
1208:	1 
1211:	1 
1212:	1 
1216:	1 
1217:	4 
1218:	2 
122:	3 
1220:	2 
1222:	1 
1223:	1 
1225:	1 
1226:	2 
