=== non-contiguous nft : chains ===
Found 996 chain interruption in 4011 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	2 
10:	4 
100:	2 
1000:	1 
10000:	1 
1001:	2 1 
1003:	1 
1006:	1 1 2 
1010:	1 1 4 
1012:	1 3 
1013:	2 2 
1014:	1 
1017:	1 
1018:	3 
1019:	1 
102:	1 
1020:	4 
1024:	1 
103:	2 
1032:	1 
1033:	4 
1034:	3 
1035:	2 
1038:	2 
1039:	2 
104:	1 
1040:	1 1 3 
1041:	2 
1043:	1 
1044:	2 
1045:	2 
1046:	1 
1047:	2 
105:	1 3 
1051:	1 1 
1052:	1 5 
1053:	1 1 
1054:	1 
1055:	2 
1056:	1 
1057:	3 
1058:	1 3 
1059:	1 
106:	2 
1060:	1 3 
1061:	1 
1064:	1 2 
1065:	2 
1066:	6 2 
107:	10 
1071:	1 
1072:	5 
1073:	2 
1074:	3 
1076:	1 
1078:	2 
1079:	1 1 2 
108:	4 
1080:	1 1 
1081:	4 
1082:	3 
1084:	4 
1085:	1 
1086:	1 2 
1087:	1 
1088:	7 
1089:	1 
109:	1 1 
1090:	2 
1091:	3 
1092:	2 2 1 
1093:	1 1 
1094:	1 
1095:	3 1 
1096:	1 
1097:	3 1 6 
1098:	4 4 
1099:	2 
11:	1 
110:	1 
1100:	1 
1101:	6 
1102:	4 
1103:	3 
1104:	2 
1105:	3 
1106:	3 5 
1109:	1 
1110:	2 1 
1111:	2 
1112:	1 
1114:	1 
1117:	2 
1118:	1 
1119:	1 
112:	2 2 1 
1120:	1 2 4 
1121:	2 
1122:	1 
1123:	1 
1124:	1 
1125:	3 
1127:	1 
1128:	1 
1129:	1 
1130:	2 
1131:	2 
1132:	1 
1133:	1 
1134:	6 
114:	1 
1141:	2 1 4 
1142:	1 2 
1143:	1 1 1 2 1 
1145:	2 
1146:	3 
1147:	1 
1148:	3 
115:	2 
117:	5 
12:	1 
120:	2 
121:	1 
122:	1 
125:	2 1 1 
126:	2 
1268:	3 2 
1269:	4 2 
127:	2 
1273:	3 2 
1275:	1 
1276:	1 
1277:	4 2 
1279:	3 
128:	1 
1280:	1 1 1 1 
1281:	3 
1282:	3 
1283:	3 
1284:	2 
1285:	1 
1286:	4 
1287:	3 
1288:	1 
1289:	6 
129:	4 
1290:	1 
1291:	3 
1292:	3 2 
1293:	1 
1294:	1 
1295:	4 
1296:	3 
1298:	5 
1299:	3 
13:	1 
130:	1 
1300:	3 
1301:	2 
1302:	1 
1303:	1 3 
1304:	2 
1305:	2 
1306:	2 1 2 
1307:	2 
1309:	2 
131:	1 1 
1310:	1 
1311:	3 
1312:	1 7 
1313:	1 
1314:	1 
1315:	3 
1316:	2 
1317:	1 
1318:	1 2 
132:	2 1 3 
1320:	3 
1321:	5 3 
1322:	2 
1323:	4 
1324:	1 
1325:	2 2 2 
133:	1 
1330:	1 
1331:	1 2 
1332:	1 
1333:	1 
1334:	1 
1336:	2 1 
1337:	2 2 
1338:	2 1 
1339:	4 
1340:	2 
1343:	5 
1344:	2 1 
1345:	3 
1346:	3 
135:	1 1 2 1 
1352:	1 
1353:	1 1 
136:	3 
1360:	2 
1361:	2 2 
1362:	1 
1363:	1 
1364:	1 1 
1365:	3 1 
1366:	1 
1367:	1 3 
1368:	3 
1369:	1 
1370:	1 
1371:	2 
1372:	2 
1373:	2 
1374:	2 
1375:	2 
1376:	1 2 1 1 
1377:	2 
1378:	2 
1379:	2 
138:	1 1 
1380:	2 
1381:	1 
1382:	3 
1383:	3 
1384:	2 
1387:	2 
1388:	1 
