=== non-contiguous nft : chains ===
Found 738 chain interruption in 17409 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
10000:	1 
100002:	1 1 
100003:	1 1 
100004:	1 3 
100005:	1 
100006:	1 
10001:	2 
100010:	1 
100012:	1 
100015:	1 1 
100018:	1 
100020:	2 1 
100022:	1 
10003:	1 
10004:	1 
100051:	1 
100052:	1 
100061:	1 1 
100065:	1 
100098:	1 
10010:	3 
100106:	1 
100107:	1 
100110:	1 
100112:	1 
100113:	1 
100114:	2 
100115:	1 
100116:	1 1 
100117:	1 1 
10012:	3 
10013:	4 
100132:	1 
10014:	1 
100146:	1 
100147:	1 
100148:	1 
10015:	3 
100151:	1 
100152:	1 
10017:	3 
10018:	2 
10019:	2 
100193:	1 
100198:	1 1 
100199:	1 
10020:	2 
100200:	1 
100201:	1 
100205:	1 
100206:	1 1 
10021:	3 
100210:	1 2 
100213:	1 
100216:	1 
100218:	1 1 
10022:	2 
100220:	1 
100221:	1 
100226:	1 
100227:	1 1 
100233:	1 1 
100236:	1 1 
100248:	1 
10026:	1 1 
100262:	1 
100265:	1 
10027:	2 
100272:	1 
100274:	1 
10028:	1 
100285:	1 
100293:	1 
100296:	1 
100302:	1 
100305:	1 
100307:	1 
100309:	1 
10031:	2 
100312:	1 
100316:	1 
100329:	1 1 
100348:	1 
100361:	1 
100368:	1 1 
100391:	1 2 
100392:	1 1 
100393:	1 1 
1004:	1 
100414:	1 
100436:	1 
100440:	1 
100441:	1 
100446:	1 
10045:	2 
100450:	1 1 
100451:	1 
100454:	1 1 1 
100455:	1 
100457:	1 
10046:	1 
100460:	1 3 
100461:	1 
100462:	2 
100465:	1 1 
10047:	5 
100470:	1 
100479:	1 1 
10048:	5 
10049:	1 
10050:	3 
100509:	1 1 
10051:	2 
10052:	2 
10053:	1 
100534:	1 1 
10054:	4 
100546:	1 
100549:	2 
100561:	1 
100564:	1 
100565:	1 
100566:	1 
10057:	3 
100570:	1 
100574:	1 
100580:	1 2 
100581:	1 
100583:	1 1 
10059:	2 
100594:	1 
100595:	1 1 
1006:	1 
10060:	2 
100602:	1 1 
100603:	1 1 
100606:	1 
10061:	3 
100615:	1 
100617:	1 
100621:	1 
100623:	1 1 1 
100630:	1 
100633:	1 
100638:	1 
10064:	1 
100641:	1 
100652:	1 
100658:	1 
100659:	1 
100663:	1 
100678:	1 
100682:	1 1 
10069:	3 
100697:	1 
10070:	2 
100701:	1 1 
100703:	1 
100704:	1 
10071:	1 
100712:	1 
100713:	2 
100714:	1 1 
100719:	1 1 
100726:	1 
100727:	2 
10073:	1 
100738:	1 
100739:	1 
100741:	1 2 
100742:	1 1 
100743:	1 
100748:	1 
100749:	1 
100751:	1 
10076:	2 
100778:	1 
10078:	2 
100781:	1 
100782:	1 
10079:	1 
10081:	3 
100815:	2 
100816:	1 
100817:	1 
10082:	1 
100827:	1 
100828:	1 
100834:	1 
100843:	1 1 
10085:	1 
100851:	1 
100852:	1 
100853:	1 
10087:	1 
10088:	1 
100882:	1 
100883:	1 
100886:	1 
100891:	2 
100893:	1 1 
10090:	1 
100900:	1 
100903:	1 
100907:	1 
100923:	1 
100924:	1 
100934:	1 
100937:	1 
10094:	1 
100942:	1 
100944:	1 
100947:	3 
100949:	1 
10095:	1 
100955:	1 
100961:	1 
100967:	1 1 
100970:	1 
100977:	1 
100987:	1 
100995:	1 
101:	2 
10100:	1 
101001:	2 
101010:	1 
101013:	1 
101058:	1 1 1 1 
10108:	1 
101088:	1 
101092:	1 
101093:	1 
10110:	1 
10112:	2 
101130:	1 1 1 
101131:	1 
101134:	1 
101136:	1 
101138:	1 
