=== non-contiguous nft : chains ===
Found 984 chain interruption in 6140 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
10002:	3 
10004:	1 
10005:	2 1 
10006:	1 
10007:	1 
10008:	1 
1001:	1 
10010:	1 
10012:	1 
10014:	1 
10015:	1 
10016:	1 
10017:	1 2 1 2 
10018:	1 
10019:	2 
10021:	1 
10022:	2 
10023:	1 
10026:	1 
10027:	2 
10028:	1 
10029:	1 
1003:	1 
10030:	1 
10034:	1 
10037:	3 
10039:	1 
1004:	2 
10040:	2 
10041:	1 
10045:	1 
10046:	1 
10047:	1 
10049:	1 
10051:	2 
10054:	2 
10059:	1 
1006:	1 
10063:	1 
10066:	1 
10069:	2 
1007:	1 
10070:	1 
10071:	1 
10074:	5 
10077:	1 
10078:	1 2 
1008:	2 
10081:	1 
10082:	1 
10083:	1 
10084:	1 
10087:	1 
10088:	2 
1009:	1 
10091:	1 
10093:	2 
10094:	1 
10095:	1 
10097:	1 
10098:	1 
10099:	2 
1010:	1 
10100:	1 
10101:	1 
10103:	1 2 
10104:	1 
10107:	1 
10108:	1 
10109:	1 
1011:	4 
10110:	1 
10111:	1 
10113:	2 
10114:	3 
10117:	2 
1012:	1 1 
10120:	2 
10127:	1 1 
10128:	1 
1013:	1 
10130:	1 
10135:	1 
10137:	1 1 
10138:	3 
1014:	1 
10143:	3 
10144:	1 
10150:	2 
10151:	1 
10152:	2 
10156:	3 
10162:	1 2 2 
10168:	1 
10169:	1 2 2 
10172:	2 
10176:	2 
10177:	1 
10178:	2 2 1 
1018:	3 
10180:	1 
10185:	2 1 
10186:	2 
10187:	1 
10188:	1 
10189:	1 1 2 
10190:	1 1 
10193:	1 
10195:	1 
10196:	1 
10197:	2 
10198:	3 
10206:	1 1 
10207:	1 
1021:	1 
10212:	1 
10213:	1 1 
10215:	2 
10216:	2 
10217:	1 2 
1022:	2 
10225:	2 
10226:	2 
10227:	1 1 
10228:	1 
10229:	1 
10231:	1 
10238:	1 
10239:	1 
1024:	1 
10240:	1 
10241:	1 
10244:	1 
10247:	1 
10248:	1 
10249:	1 
10251:	1 
10252:	1 
10253:	1 
10255:	1 
10258:	1 
10261:	1 
10262:	1 
10264:	1 1 
10265:	1 
10266:	1 1 
10267:	1 
10268:	1 1 
10269:	2 
1027:	1 1 
10272:	2 
10274:	1 1 1 
10275:	1 
10277:	1 2 
10279:	1 
1028:	3 
10281:	1 
10282:	1 
10284:	1 
10285:	1 
10286:	1 
10288:	1 
10292:	3 
10295:	1 
10296:	1 
10297:	2 
10298:	1 2 1 
10299:	2 
10302:	3 
10307:	3 2 
10308:	1 
10309:	2 
1031:	2 
10312:	1 
10313:	3 1 
10314:	2 
10315:	4 
1032:	1 
10322:	2 
10323:	1 
10325:	3 2 1 
10326:	5 
10328:	1 
10329:	1 
10334:	1 
10335:	1 
10337:	1 
10338:	1 
1034:	1 1 
10342:	2 2 
10347:	1 
10354:	1 
10355:	1 1 
10356:	1 
10357:	1 
10358:	2 
10359:	1 1 
10360:	1 
10363:	1 
10367:	1 
1037:	1 
10370:	1 
10371:	1 
10372:	1 1 
10377:	1 
10379:	1 
1038:	1 
10380:	1 
10384:	2 
10385:	1 
10386:	1 
10388:	2 2 1 
10389:	1 
1039:	1 
10390:	1 1 
10391:	1 
10392:	1 1 
10393:	2 
10395:	1 
10398:	2 
10399:	2 
1040:	2 
10400:	1 
10403:	3 2 
10405:	4 
10406:	1 
10408:	1 
1041:	1 
10413:	1 2 
10414:	1 
10415:	2 
10416:	1 
10417:	1 
10419:	2 
10421:	1 
10422:	2 1 
10423:	1 
10424:	1 
10425:	1 2 
