=== non-contiguous nft : chains ===
Found 729 chain interruption in 4056 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10003:	4 
10004:	1 
10005:	1 
10006:	3 3 
10011:	2 
10012:	2 
10013:	1 
10014:	2 
10015:	1 
10016:	1 
10017:	1 
10019:	1 
10020:	1 
10021:	1 
10023:	1 
10024:	1 
10025:	1 1 
10026:	1 
10027:	1 
10029:	1 
10032:	3 
10033:	1 
10034:	4 
10037:	1 
10038:	1 
10040:	3 3 
10041:	2 
10042:	1 1 3 1 
10043:	1 
10045:	1 
10046:	1 
10047:	1 
10050:	3 
10052:	2 
10057:	1 
10058:	1 
10062:	1 
10063:	2 
10064:	1 
10066:	1 
10067:	1 
10068:	1 
10071:	1 
10073:	1 
10074:	1 
10075:	1 
10076:	1 
10077:	1 1 
10078:	1 
10079:	4 1 
10080:	3 
10081:	1 
10086:	1 
10087:	1 
10090:	1 
10094:	1 
10095:	1 
10096:	1 
10097:	3 
10103:	1 1 1 
10104:	2 
10105:	2 
10109:	1 2 1 
10111:	1 
10115:	1 
10120:	1 1 
10125:	3 
10127:	1 
10128:	2 
10130:	3 
10131:	2 
10133:	2 1 
10134:	2 
10136:	1 1 2 
10137:	2 
10140:	1 
10142:	1 
10144:	1 
10145:	1 
10146:	1 
10150:	2 
10151:	1 
10156:	1 
10157:	1 1 
10164:	2 
10165:	2 
10166:	2 
10170:	1 
10178:	2 2 
10182:	1 
10183:	1 
10184:	1 
10186:	1 
10188:	2 
10191:	1 
10194:	1 
10195:	1 
10197:	1 
10204:	1 3 
10206:	1 
10207:	1 
10208:	1 
10209:	2 1 
10210:	1 
10214:	2 
10218:	4 
10220:	3 
10224:	2 
10233:	1 
10234:	1 
10235:	1 
10239:	2 
10242:	1 
10243:	2 2 
10244:	1 
10245:	2 
10246:	1 
10247:	2 
10248:	3 
10249:	3 
10250:	2 
10251:	2 2 1 
10253:	1 
10256:	1 2 1 
10258:	1 3 
10259:	1 
10260:	1 
10261:	2 
10262:	1 
10263:	1 
10264:	1 
10265:	1 1 
10267:	1 1 
10268:	1 
10269:	1 
10270:	1 
10271:	1 
10272:	1 
10273:	1 
10274:	1 
10275:	1 
10276:	1 1 
10278:	1 2 
10279:	2 1 
10280:	2 1 
10286:	1 
10287:	1 
10296:	1 
10304:	1 
10305:	1 
10306:	1 
10307:	2 
10308:	2 
10309:	1 1 
10312:	1 
10314:	1 
10316:	1 
10323:	1 
10324:	2 
10325:	2 
10327:	1 
10328:	3 
10329:	1 
10334:	1 
10335:	1 
10336:	2 
10342:	1 
10343:	1 
10351:	2 
10352:	1 
10354:	2 
10355:	1 
10356:	1 
10357:	1 
10358:	1 
10359:	1 1 
10361:	2 
10362:	1 
10363:	3 
10364:	1 
10367:	1 
10373:	1 2 
10376:	1 
10404:	2 
10406:	2 
10407:	1 
10408:	1 3 1 
10411:	1 
10414:	1 
10417:	1 
10418:	1 1 1 2 
10420:	1 
10423:	2 
10427:	1 
10428:	1 1 
10433:	2 
10434:	2 
10435:	2 
10438:	1 
10439:	1 
10440:	1 
10443:	2 
10445:	1 
10446:	1 
10447:	1 
10448:	1 
10449:	2 
10450:	1 
10451:	1 
10452:	1 
10453:	3 
10455:	1 
10456:	1 
10457:	1 3 
10458:	1 
10463:	1 
10464:	1 
10465:	1 
10467:	1 
10470:	1 
10471:	2 
10472:	3 
10474:	1 
10476:	1 2 1 1 
10483:	1 
10486:	1 
10488:	1 1 1 
10489:	1 
10494:	3 
10497:	4 2 2 
10499:	1 
10501:	2 
10502:	1 
10503:	1 1 
10505:	1 
10506:	1 
10509:	1 
10510:	2 
10511:	1 
10512:	1 
10513:	2 
10514:	3 
10517:	1 
10518:	2 
10519:	1 
10520:	4 
10521:	1 
10522:	1 
10523:	1 1 
10524:	1 
10528:	2 
10529:	2 
10530:	1 
10532:	1 
10533:	2 
10534:	1 
10535:	1 
10539:	2 
10540:	2 
10546:	2 
10547:	3 
10549:	1 
10552:	1 
10560:	1 2 1 
10569:	1 
10570:	2 
10572:	2 
10574:	1 
10576:	2 
10580:	1 
10581:	1 
10582:	8 
10585:	1 
10586:	1 
10587:	1 
10588:	1 
10589:	1 
10590:	3 
10591:	1 
10592:	1 
10593:	1 
10594:	1 
10595:	1 
10596:	1 
10597:	2 
10606:	1 
10609:	1 
10615:	3 
