=== non-contiguous nft : chains ===
Found 1167 chain interruption in 8941 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 1 
1000:	1 
10000:	2 
10001:	1 
10002:	1 
10003:	3 2 
10004:	1 1 
10006:	2 
1001:	1 
10010:	2 
10011:	4 
10012:	5 
10013:	1 
10014:	2 2 
10015:	3 
10016:	4 
10017:	3 
10018:	1 
10019:	1 
1002:	1 1 
10020:	2 
10021:	3 
10022:	2 
10023:	4 
10024:	1 
10025:	3 
10026:	1 
10027:	1 
10028:	3 
10029:	3 
1003:	1 
10030:	3 
10031:	3 
10032:	3 
10033:	7 
10034:	1 
10035:	2 
10036:	1 
10037:	1 
10038:	4 
10039:	1 
1004:	4 1 
10040:	1 
10041:	3 1 
10042:	3 
10043:	3 
10044:	1 
10045:	1 
10046:	4 
10047:	2 
10049:	2 
1005:	1 
10050:	1 
10051:	2 
10052:	3 
10053:	1 
10054:	1 
10055:	2 
10056:	2 
10057:	2 
10058:	2 
1006:	1 1 1 
10063:	2 1 
10065:	2 
10066:	2 
10067:	2 
10069:	1 
1007:	2 
10070:	3 
10071:	2 
10072:	1 
10073:	4 
10074:	1 2 
10075:	1 
10076:	2 
10077:	2 
10078:	1 1 1 
10079:	2 
1008:	2 
10080:	1 
10081:	2 
10082:	2 
10083:	3 
10084:	3 1 
10085:	2 
10086:	1 
10087:	3 
10088:	1 
10089:	3 
1009:	1 
10090:	2 
10091:	3 
10093:	2 
10094:	1 
10095:	1 
10096:	1 
10097:	2 
10098:	1 
10099:	4 
101:	2 
1010:	1 
10100:	3 
1011:	1 
1012:	1 
1013:	1 
1014:	2 
1015:	2 
1016:	3 
1017:	1 
1018:	2 
102:	1 
1020:	3 
1021:	1 
1022:	1 
1023:	7 1 
1024:	1 2 
1025:	1 
1026:	4 
1027:	2 
1028:	1 
1029:	3 
1031:	1 
1032:	6 1 
1033:	3 
1034:	1 
1035:	1 1 1 
1036:	3 
1037:	4 
1038:	2 
1039:	2 
1040:	1 
1042:	1 
1043:	2 
1045:	1 
1046:	1 2 1 
1047:	2 
1048:	1 
1049:	2 
105:	1 
1050:	1 
1051:	3 
1052:	3 
1054:	2 
1055:	1 
1056:	1 1 3 
1057:	2 
1058:	3 
1059:	1 
106:	1 
1060:	4 
1062:	3 
1063:	1 
1064:	2 
1065:	2 1 
1066:	1 
1067:	2 
1069:	1 
107:	1 
1070:	3 
1071:	3 
1072:	5 
1074:	3 
1075:	4 
1076:	2 
1077:	2 
1078:	2 
1079:	2 
108:	2 
1080:	2 
1081:	3 
1082:	2 
1083:	1 
1084:	1 
1085:	3 1 
1086:	1 
1088:	2 1 
109:	5 
1090:	1 
1091:	1 
1092:	1 
1093:	1 
1094:	2 
1095:	3 
1096:	1 
1097:	3 
1098:	1 
1099:	1 
11:	1 
110:	1 
1100:	1 
1101:	1 1 
1102:	1 
1103:	1 
1104:	1 
1105:	1 
1106:	1 
1107:	2 
1108:	3 
1109:	2 
111:	1 
1110:	1 
1111:	2 
1112:	3 
1113:	6 
1114:	7 
1115:	1 
1116:	5 
1119:	1 
112:	3 
1120:	2 
1122:	2 
1123:	1 
1124:	2 
1125:	4 
1126:	1 
1128:	1 
1129:	1 
113:	2 1 
1130:	2 
1131:	3 
1132:	4 
1133:	1 
1134:	2 
1135:	2 
1136:	1 
1137:	1 2 
1138:	3 
1139:	1 
114:	1 
1140:	5 
1141:	3 
1142:	1 
1143:	3 
1144:	1 
1145:	1 1 
1146:	1 
1147:	3 
1148:	2 
1149:	1 
115:	1 1 
1150:	1 
1151:	1 
1152:	2 
1153:	1 
1154:	2 
1155:	3 
1157:	4 1 
1158:	1 
1159:	1 
116:	1 
1160:	1 
1161:	1 
1162:	1 
1163:	2 
1164:	1 1 
1165:	1 1 
1167:	1 
1168:	1 
1169:	1 2 
117:	3 
1170:	3 
