=== non-contiguous nft : chains ===
Found 2092 chain interruption in 8251 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 1 1 
1000:	2 1 
1001:	2 
1002:	3 
1003:	3 2 1 
1004:	2 1 
1005:	1 
1006:	2 
1007:	1 
1008:	2 
1009:	1 
1010:	2 
1011:	1 
1012:	1 
1013:	1 
1014:	5 
1015:	3 
1016:	2 
1017:	1 
1018:	4 
1019:	1 
1020:	1 3 
1022:	4 
1023:	2 
1024:	1 1 
1026:	3 
1027:	2 2 
1028:	4 
1029:	5 
1030:	3 1 
1031:	1 2 
1032:	2 
1033:	2 
1034:	2 
1035:	4 
1036:	1 
1037:	4 1 
1038:	3 
1039:	2 
1040:	1 
1041:	3 
1042:	4 
1043:	3 1 
1044:	2 
1047:	5 
1048:	1 
1049:	1 
1050:	2 
1052:	2 1 
1054:	1 
1055:	3 
1056:	1 
1057:	5 1 
1058:	2 
1059:	1 
1061:	2 
1062:	2 4 
1063:	2 
1064:	2 4 
1065:	2 
1066:	2 2 
1069:	2 
1070:	3 
1071:	4 1 
1072:	2 
1073:	2 
1074:	2 1 1 
1075:	1 
1076:	2 1 
1077:	1 
1078:	3 
1079:	1 
1080:	2 
1081:	1 3 1 
1082:	3 1 
1083:	1 
1084:	1 
1085:	3 
1086:	1 
1087:	1 
1088:	2 
1089:	1 
1090:	2 
1091:	2 
1093:	2 
1094:	4 
1095:	2 
1096:	3 
1097:	1 
1098:	1 
1099:	1 
1100:	1 
1101:	1 
1103:	2 
1104:	3 
1105:	1 
1106:	2 1 
1107:	4 
1108:	2 
1109:	1 2 
1110:	1 1 
1111:	1 
1112:	1 
1113:	1 
1114:	2 
1115:	4 
1116:	3 
1117:	4 
1118:	4 
1119:	2 
1120:	3 
1121:	3 
1122:	1 
1123:	4 
1124:	2 
1125:	1 
1126:	3 
1127:	4 
1128:	2 
1129:	3 
1132:	1 
1133:	2 1 
1134:	3 
1135:	2 
1136:	1 
1137:	1 1 
1138:	3 
1139:	1 
114:	2 1 
1140:	1 
1141:	2 
1142:	1 
1146:	2 
1147:	4 
1148:	1 
1149:	1 
1150:	1 
1151:	2 
1152:	3 
1153:	2 
1154:	3 
1155:	2 
1156:	2 2 
1157:	2 
1158:	1 
1159:	2 1 
1160:	1 
1161:	4 2 3 
1162:	2 
1163:	2 
1164:	1 1 
1165:	1 1 
1166:	2 
1167:	3 1 
1168:	2 
1169:	5 
1170:	1 
1179:	4 
1180:	4 
1181:	2 
1182:	1 
1183:	1 1 
1184:	2 
1185:	5 
1186:	2 1 
1187:	1 
1188:	1 
1189:	1 
1190:	2 
1191:	5 
1193:	1 
1194:	2 
1195:	1 
1196:	1 1 
1197:	1 
1198:	1 
1199:	3 
12:	3 
1200:	4 
1201:	1 
1202:	1 
1203:	1 
1204:	2 
1205:	2 3 
1206:	2 
1207:	3 
1208:	1 
1209:	1 
1210:	1 
1211:	3 
1212:	2 
1213:	4 
1214:	2 
1215:	2 
1216:	2 
1219:	1 
1221:	1 
1222:	2 1 
1223:	2 
1224:	3 
1225:	4 
1226:	1 3 
1227:	1 
1228:	1 
1229:	2 
1230:	1 
1231:	3 1 
1232:	3 2 
1233:	3 1 
1234:	3 1 
1235:	1 1 
1236:	1 
1237:	3 
1238:	2 
1239:	3 
1240:	3 
1241:	2 
1242:	4 
1243:	2 2 
1244:	2 
1245:	2 
1246:	3 
1247:	2 
1249:	1 
1250:	3 1 
1251:	1 
1253:	4 
1255:	1 
1256:	1 1 
1257:	2 
1258:	1 1 1 
1259:	3 
1260:	3 
1261:	3 
1262:	2 
1263:	2 
1264:	1 4 
1265:	1 
1269:	5 1 
1270:	1 
1271:	4 
1275:	4 
1276:	3 
