=== non-contiguous nft : chains ===
Found 7459 chain interruption in 25416 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10010003:	1 2 
10010005:	1 
10010006:	1 1 
10010007:	1 2 
10010009:	2 
10010010:	1 
10010012:	3 
10010013:	1 2 
10010014:	3 
10010017:	2 
10010018:	1 
10010019:	1 1 
10010020:	1 
10010021:	1 
10010022:	1 1 
10010023:	1 
10010024:	1 
10010025:	1 1 1 2 
10010026:	1 
10010028:	1 1 
10010029:	2 1 
10010030:	1 1 
10010036:	1 
10010040:	1 1 
10010042:	1 1 1 
10010043:	1 
10010047:	2 
10010051:	1 1 
10010055:	1 
10010058:	3 1 
10010060:	1 
10010061:	1 
10010062:	1 
10010065:	1 1 
10010066:	2 1 
10010075:	2 
10010076:	1 
10010079:	1 
10010080:	1 
10010085:	1 
10010086:	1 
10010087:	1 1 
10010088:	4 
10010089:	2 
10010093:	1 
10010096:	1 
10010101:	1 
10010102:	1 1 
10010104:	1 2 
10010113:	1 
10010114:	1 
10010115:	1 
10010116:	1 
10010118:	1 
10010120:	3 
10010122:	1 1 
10010123:	1 
10010127:	1 
10010128:	1 
10010129:	1 
10010131:	1 
10010142:	1 
10010145:	1 
10010146:	1 
10010150:	1 
10010157:	1 
10010159:	1 1 
10010160:	1 2 
10010161:	1 1 1 1 
10010162:	1 1 
10010163:	1 
10010164:	1 1 1 2 
10010165:	1 
10010166:	1 1 
10010167:	1 1 
10010173:	1 
10010176:	1 
10010179:	1 
10010180:	1 
10010181:	1 
10010184:	2 1 
10010190:	1 
10010201:	1 
10010203:	1 
10010205:	1 
10010206:	1 
10010207:	1 
10010212:	1 
10010215:	1 
10010216:	1 
10010219:	1 
10010220:	1 
10010222:	1 
10010225:	2 
10010227:	1 
10010230:	1 
10010233:	1 
10010235:	1 
10010239:	1 
10010252:	1 
10010253:	1 
10010254:	1 
10010257:	2 
10010258:	2 
10010268:	1 
10010270:	1 1 
10010273:	1 
10010274:	1 
10010275:	1 
10010276:	1 
10010279:	1 
10010280:	1 
10010281:	1 1 
10010283:	1 
10010284:	1 1 
10010288:	1 
10010289:	2 
10010296:	1 
10010300:	1 
10010307:	2 1 
10010308:	1 
10010313:	1 
10010314:	1 
10010315:	2 
10010316:	2 
10010318:	1 
10010319:	1 
10010320:	1 
10010323:	1 
10010324:	1 
10010325:	1 
10010327:	1 
10010331:	1 
10010334:	1 
10010339:	1 
10010341:	1 
10010343:	1 
10010347:	2 
10010351:	2 
10010352:	1 
10010355:	1 
10010358:	2 1 
10010363:	1 
10010366:	1 
10010369:	2 
10010372:	1 
10010379:	2 1 
10010381:	1 
10010382:	1 1 1 
10010383:	1 
10010387:	1 1 
10010389:	1 
10010395:	1 
10010396:	1 
10010397:	1 
10010398:	1 1 
10010399:	1 
10010401:	1 
10010408:	1 1 
10010415:	1 
10010419:	1 
10010420:	1 
10010421:	1 
10010425:	1 
10010427:	1 
10010435:	1 1 
10010436:	1 
10010442:	1 
10010444:	1 1 
10010445:	1 
10010446:	1 
10010450:	1 
10010452:	1 
10010458:	1 
10010463:	1 
10010469:	2 1 
10010470:	1 
10010477:	1 
10010479:	1 
10010482:	1 1 
10010483:	1 
10010487:	1 
10010494:	1 
10010498:	1 
10010505:	1 1 
10010512:	1 1 1 
10010519:	1 
10010526:	1 
10010531:	1 1 1 
10010532:	1 1 1 
10010533:	1 
10010534:	2 
10010535:	1 
10010536:	1 1 1 
10010545:	2 
10010548:	1 
10010550:	1 
10010551:	1 1 
10010553:	1 
10010554:	1 
10010556:	2 1 
10010569:	2 
10010580:	1 2 
10010583:	1 
10010589:	1 
10010590:	1 
10010596:	1 
10010602:	1 
10010607:	1 1 
10010610:	1 
10010612:	1 
10010617:	1 
10010622:	1 
10010635:	1 
10010636:	2 
10010639:	2 
10010640:	1 
10010641:	1 
10010642:	1 
10010643:	2 
10010645:	1 
10010646:	1 
10010647:	1 
10010649:	1 
10010650:	1 1 
10010651:	1 
10010652:	1 
10010654:	1 
10010655:	2 
10010656:	1 
10010657:	1 
10010659:	1 
10010660:	1 
10010662:	1 
10010665:	1 
10010666:	1 
10010670:	1 
10010680:	1 2 
10010684:	1 
10010686:	1 
10010689:	1 
10010690:	1 
10010691:	1 
10010694:	1 
10010700:	1 
10010701:	1 
10010702:	1 1 
10010703:	1 
10010710:	1 
10010711:	1 
10010712:	1 
10010713:	1 
10010716:	1 1 
10010717:	1 
10010726:	1 
10010729:	1 
10010731:	1 
10010735:	1 
10010740:	1 
10010755:	1 
10010756:	1 
10010757:	1 1 
10010763:	1 
10010764:	1 
10010768:	1 
10010769:	1 
10010771:	1 
10010773:	1 
10010778:	1 
10010784:	1 
10010785:	1 
10010789:	2 
10010791:	1 
10010808:	1 
10010810:	2 
10010812:	1 
10010814:	1 
10010822:	1 
10010823:	1 
10010825:	1 
10010826:	1 
10010838:	1 
10010840:	2 
10010846:	1 
10010850:	1 
10010854:	1 
10010859:	1 
10010864:	1 
10010882:	1 
10010887:	1 
10010891:	1 
10010896:	1 1 
10010897:	1 
10010898:	2 
10010902:	1 
10010904:	2 
10010905:	1 
10010907:	2 
10010909:	1 
10010914:	1 
10010917:	1 
10010918:	1 
10010925:	1 
10010932:	1 
10010943:	1 
10010945:	1 
10010953:	1 
10010958:	1 
10010959:	1 
10010960:	1 
10010969:	1 1 
10010972:	1 
10010980:	1 
10010983:	1 
10010986:	1 
10010990:	1 
10010992:	1 
10011003:	1 1 
10011014:	1 
10011020:	1 
10011022:	1 
10011026:	2 
10011035:	1 
10011036:	1 
10011039:	2 
10011053:	2 
10011057:	1 1 
10011063:	1 
10011065:	1 1 
10011070:	1 
10011074:	1 
10011075:	1 
10011080:	1 1 
10011082:	2 
10011086:	1 
10011092:	1 
10011095:	1 
10011096:	1 
10011099:	1 
10011102:	1 
10011111:	1 
10011116:	1 
10011122:	1 
10011149:	1 
10011158:	1 
10011169:	2 
10011170:	1 
10011171:	1 
10011172:	1 
10011175:	1 
10011178:	1 
10011179:	1 
10011219:	1 1 
10011220:	1 
10011227:	1 
10011235:	1 
10011238:	1 
10011239:	1 
10011245:	1 
10011254:	1 
10011272:	1 
10011279:	1 
10011283:	1 
10011307:	1 
10011324:	1 
10011338:	1 
10011340:	1 
10011348:	1 
10011366:	1 
10011367:	1 
10011371:	1 
10011384:	1 
10011385:	1 
10011388:	1 
10011398:	1 
10011406:	2 
10011407:	1 
10011412:	2 
10011425:	1 
10011436:	1 
10011467:	1 
10011482:	1 
10011493:	1 
10011498:	1 
10011515:	1 
10011530:	1 
10011544:	2 
10011545:	1 
10011547:	1 
10011549:	1 
10011555:	1 
10011560:	1 
10011561:	1 
10011577:	1 
10011583:	1 
10011599:	1 1 
10011636:	1 
10011663:	1 
10011670:	1 
10011675:	1 
10011691:	1 
10011701:	1 
10011707:	1 
10011730:	1 1 1 
10011747:	1 
10011767:	1 
10011768:	1 
10011769:	1 
10011772:	1 
10011779:	1 
10011780:	2 
10011783:	1 
10011786:	1 
10011811:	1 
10011814:	1 
10011815:	1 
10011842:	1 
10011843:	1 
10011846:	1 
10011848:	1 
10011866:	1 
10011867:	1 
10011868:	1 
10011913:	1 
10011922:	1 
10011951:	2 
10011953:	1 
10011965:	1 
10011970:	1 
10012001:	1 
10012094:	1 
10012096:	2 
10012129:	2 
10012135:	1 
10012147:	1 
10012167:	1 
10012169:	1 
10012212:	1 
10012213:	1 
10012223:	1 
10012289:	1 
10012298:	1 
10012313:	2 
10012327:	1 
10012378:	1 
10012397:	1 
10012406:	1 
10012443:	1 
10012471:	1 
10012508:	1 
10012521:	1 
10012609:	1 
10012784:	1 
10012790:	1 
10012799:	1 
10012852:	1 
10012858:	1 
10012904:	1 
10012912:	1 
10012914:	1 
10012915:	1 
10012917:	1 
10012993:	1 
10013000:	1 
10013002:	1 
10013040:	1 
10013080:	1 
10013106:	1 
10013154:	1 
10013161:	2 
10013175:	1 
10013216:	1 
10013277:	1 
10013289:	1 
10013322:	1 
10013348:	1 
10013443:	1 
10013467:	1 
10013470:	1 
10013500:	1 
10013501:	1 
10013507:	1 
10013539:	1 
10013549:	1 
10020001:	3 1 1 2 
10020002:	1 1 1 
10020003:	1 
10020004:	1 1 
10020005:	1 
10020006:	5 
10020009:	1 
10020011:	1 
10020012:	1 
10020013:	1 
10020022:	1 
10020024:	1 1 1 
10020025:	1 
10020026:	1 1 
10020027:	2 
10020031:	1 
10020036:	2 
10020043:	1 
10020048:	1 1 
10020050:	2 1 
10020051:	1 
10020052:	1 1 1 
10020053:	2 1 
10020055:	2 1 
10020056:	3 1 1 
10020060:	1 
10020061:	1 
10020062:	1 1 1 
10020063:	1 
10020064:	1 
10020066:	1 
10020068:	1 
10020069:	1 
10020070:	1 1 
10020073:	1 
10020075:	1 1 1 
10020076:	1 
10020077:	1 
10020078:	1 
10020081:	1 
10020084:	1 1 
10020089:	1 
10020097:	1 
10020098:	2 1 
10020099:	1 
10020101:	1 
10020111:	1 
10020119:	1 
10020121:	1 
10020124:	1 
10020125:	1 
10020128:	1 
10020129:	1 
10020134:	1 
10020135:	1 
10020136:	1 
10020138:	1 
10020146:	1 
10020148:	1 
10020149:	1 
10020157:	2 
10020160:	1 1 
10020161:	1 2 
10020170:	1 
10020172:	1 
10020175:	1 
10020177:	2 
10020181:	1 1 
10020186:	1 
10020190:	1 1 1 
10020193:	1 
10020194:	1 
10020195:	1 
10020199:	1 
10020202:	1 
10020203:	1 
10020207:	1 
10020208:	1 
10020210:	1 
10020212:	1 
10020214:	1 
10020218:	1 1 
10020219:	1 
10020221:	1 
10020222:	1 
10020229:	1 
10020231:	1 
10020235:	1 
10020236:	1 
10020238:	1 
10020243:	1 
10020246:	1 
10020251:	1 
10020253:	1 
10020256:	1 
10020260:	1 
10020261:	1 
10020262:	1 
10020264:	1 
10020265:	2 
10020267:	2 
10020273:	1 
10020274:	1 1 
10020275:	1 
10020278:	1 
10020279:	1 
10020287:	2 
10020288:	2 
10020290:	2 
10020292:	1 
10020294:	2 
10020296:	1 
10020297:	1 
10020299:	1 
10020302:	1 
10020308:	1 1 
10020314:	1 1 1 
10020315:	2 
10020316:	1 
10020318:	1 
10020321:	1 1 
10020323:	1 
10020329:	1 
10020332:	1 
10020334:	1 
10020335:	1 
10020336:	1 2 
10020337:	1 
10020338:	1 
10020341:	1 
10020345:	1 
10020346:	1 
10020350:	1 1 
10020353:	1 1 
10020354:	1 
10020361:	1 
10020364:	1 
10020369:	1 
10020373:	2 
10020374:	1 
10020377:	1 
10020380:	1 
10020381:	2 1 
10020382:	1 3 
10020383:	1 
10020384:	1 
10020387:	1 2 1 
10020389:	1 
10020399:	2 
10020400:	1 
10020402:	1 
10020412:	1 
10020413:	1 
10020415:	1 
10020417:	1 
10020420:	1 
10020422:	1 
10020426:	2 
10020435:	2 
10020442:	1 
10020446:	1 
10020447:	2 1 
10020451:	1 
10020460:	1 
10020466:	1 
10020468:	1 
10020474:	1 
10020477:	1 
10020478:	1 
10020480:	2 2 
10020482:	1 
10020484:	1 
10020492:	1 
10020495:	1 2 
10020497:	1 
10020498:	1 
10020505:	1 
10020507:	1 
10020508:	1 
10020516:	1 
10020518:	1 
10020519:	1 
10020521:	1 
10020524:	1 1 
10020527:	1 1 
10020530:	1 
10020531:	1 
10020532:	1 
10020537:	2 
10020541:	1 
10020550:	1 
10020552:	1 
10020560:	1 1 
10020567:	1 1 
10020569:	1 1 
10020572:	2 
10020576:	1 1 
10020577:	1 
10020581:	1 
10020584:	2 
10020588:	1 
10020590:	1 
10020595:	1 
10020597:	1 
10020599:	1 
10020606:	1 
10020607:	1 
10020608:	1 1 1 
10020609:	1 
10020611:	1 
10020613:	1 
10020614:	1 
10020619:	1 
10020622:	1 
10020627:	1 1 
10020633:	1 
10020636:	1 
10020638:	2 
10020645:	1 
10020648:	1 2 
10020649:	1 
10020652:	1 2 
10020653:	1 
10020656:	1 
10020658:	2 
10020660:	1 
10020662:	1 1 
10020665:	2 
10020668:	2 
10020669:	1 
10020671:	1 
10020672:	1 
10020678:	1 1 
10020680:	1 
10020681:	1 
10020683:	1 
10020686:	1 
10020687:	1 
10020698:	1 
10020699:	1 
10020704:	1 
10020708:	1 
10020709:	1 1 
10020712:	1 
10020714:	1 
10020719:	1 
10020720:	1 1 
10020721:	1 1 
10020727:	1 
10020728:	1 
10020733:	1 
10020735:	1 
10020737:	1 
10020738:	1 
10020746:	1 
10020756:	1 
10020763:	1 
10020764:	1 1 
10020766:	1 
10020783:	1 
10020787:	1 
10020788:	1 
10020789:	1 1 
10020799:	1 
10020807:	1 
10020811:	1 
10020816:	1 
10020822:	1 
10020825:	1 
10020826:	1 1 
10020827:	1 
10020835:	1 
10020841:	1 
10020844:	1 
10020845:	2 
10020848:	2 
10020852:	1 
10020854:	1 
10020860:	1 
10020872:	1 
10020893:	1 
10020894:	1 1 1 1 
10020895:	1 1 
10020900:	1 
10020901:	1 
10020909:	1 
10020911:	2 1 
10020914:	2 
10020915:	3 
10020918:	1 1 
10020919:	1 
10020920:	1 1 
10020922:	2 
10020923:	1 
10020927:	1 
10020932:	1 
10020933:	2 1 
10020936:	2 
10020939:	1 1 
10020940:	2 1 
10020941:	1 
10020942:	1 
10020943:	1 2 
10020944:	1 1 
10020945:	1 
10020946:	1 
10020947:	1 
10020948:	1 
10020949:	1 
10020955:	1 
10020957:	1 
10020958:	1 1 
10020959:	1 
10020972:	1 
10020977:	1 
10020986:	1 
10020989:	1 
10020990:	1 
10020992:	1 1 
10020994:	1 
10021011:	1 
10021013:	1 
10021015:	1 
10021028:	1 
10021032:	1 
10021047:	1 
10021048:	1 
10021049:	1 
10021051:	2 
10021056:	1 
10021057:	1 
10021059:	2 
10021064:	1 
10021065:	1 
10021066:	1 
10021068:	1 2 
10021073:	1 
10021074:	1 
10021075:	1 
10021076:	1 
10021078:	1 
10021088:	1 1 
10021106:	1 
10021107:	1 
10021108:	3 
10021112:	1 
10021117:	1 
10021132:	1 2 1 
10021136:	1 
10021142:	1 
10021146:	1 
10021147:	1 
10021156:	1 
10021158:	1 
10021159:	1 
10021160:	1 
10021162:	1 
10021166:	1 
10021172:	1 
10021174:	1 
10021177:	1 
10021178:	1 
10021192:	1 
10021193:	1 
10021196:	1 
10021205:	1 
10021206:	2 
10021210:	1 
10021212:	1 1 
10021231:	1 
10021238:	1 
10021246:	1 
10021250:	2 
10021251:	1 
10021252:	2 
10021254:	1 
10021255:	1 
10021256:	2 
10021257:	1 
10021265:	1 1 
10021267:	1 
10021274:	1 
10021276:	1 1 
10021281:	2 
10021282:	1 
10021283:	1 
10021286:	1 1 
10021296:	1 
10021297:	1 
10021301:	1 
10021308:	1 
10021312:	1 
10021313:	1 
10021317:	2 
10021324:	1 
10021328:	1 
10021333:	1 
10021345:	1 
10021350:	1 
10021353:	1 
10021354:	1 
10021355:	1 
10021356:	1 1 
10021364:	1 
10021365:	1 
10021366:	1 
10021368:	1 
10021388:	1 
10021389:	1 1 
10021391:	1 
10021394:	1 
10021396:	1 
10021404:	1 1 
10021405:	1 
10021406:	1 
10021413:	1 
10021414:	1 
10021415:	1 
10021422:	1 
10021423:	1 
10021431:	1 
10021436:	1 
10021440:	2 
10021449:	1 
10021453:	1 
10021454:	1 
10021456:	1 
10021459:	1 
10021461:	1 
10021467:	1 
10021468:	1 
10021477:	1 
10021484:	1 
10021487:	1 
10021503:	1 
10021512:	1 1 
10021515:	1 
10021530:	2 1 
10021554:	1 
10021568:	1 
10021570:	1 
10021571:	2 
10021572:	1 
10021597:	1 
10021605:	2 
10021606:	1 
10021613:	1 
10021620:	1 
10021631:	1 
10021647:	1 1 
10021661:	1 
10021691:	1 
10021727:	1 
10021755:	2 
10021808:	1 
10021823:	2 
10021824:	1 
10021854:	1 
10021855:	1 
10021859:	1 
10021863:	1 
10021865:	1 
10021874:	1 
10021875:	1 
10021883:	1 
10021911:	1 
10021930:	1 
10021951:	1 
10021953:	1 
10021993:	1 
10021996:	1 
10022042:	1 
10022047:	1 
10022053:	1 
10022060:	1 
10022064:	1 
10022066:	1 
10022086:	1 
10022090:	1 
10022099:	1 
10022118:	1 
10022125:	1 
10022146:	1 
10022163:	1 
10022181:	1 
10022202:	1 
10022212:	1 
10022233:	1 
10022247:	2 
10022264:	1 
10022265:	1 
10022267:	2 
10022268:	2 
