=== non-contiguous nft : chains ===
Found 3590 chain interruption in 7718 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	3 
100:	1 
1000:	3 4 
1001:	4 
1002:	3 1 
1003:	4 1 9 
1004:	3 
1005:	2 1 
1006:	3 
1007:	2 
1008:	4 
1009:	1 
101:	4 1 
1010:	4 1 
1011:	3 
1012:	2 
1013:	4 
1014:	3 
1015:	1 
1016:	13 
1017:	2 
1018:	1 1 
1019:	3 
102:	2 
1020:	1 
1021:	1 
1022:	1 
1023:	3 2 1 
1024:	2 
1025:	1 1 
1026:	2 
1028:	2 
1029:	3 1 
103:	2 
1030:	2 
1031:	3 
1032:	2 
1033:	6 
1034:	2 
1035:	1 1 1 2 1 1 
1036:	5 
1037:	2 
1038:	4 
1042:	1 
1043:	5 2 1 
1044:	3 
1045:	1 1 
1046:	2 
1047:	2 3 
1048:	1 1 
1049:	4 
105:	3 1 
1050:	1 
1051:	3 1 1 
1052:	1 
1053:	1 3 
1054:	1 2 
1055:	1 1 
1056:	1 1 3 
1057:	6 
1058:	1 3 
1059:	4 
106:	1 1 
1060:	2 1 
1061:	2 1 2 
1062:	3 
1063:	2 2 
1067:	2 4 
1068:	2 1 
1069:	2 2 
107:	1 
1070:	3 
1071:	3 
1072:	2 
1073:	2 3 
1074:	3 
1075:	3 
1076:	3 4 
1077:	1 3 
1078:	3 
1079:	2 
108:	1 3 
1080:	5 
1081:	2 3 
1082:	1 
1083:	2 1 1 
1084:	1 
1085:	3 
1086:	1 
1087:	1 
1088:	1 
1089:	1 
1090:	1 
1091:	1 
1093:	2 1 
1094:	2 
1095:	5 
1096:	1 3 
1097:	2 
1098:	1 1 
1099:	3 
11:	2 1 
1100:	1 2 3 
1101:	4 
1102:	3 
1103:	2 
1104:	2 
1105:	2 
1106:	1 2 
1109:	3 
1110:	4 3 1 
1111:	1 
1112:	5 1 
1113:	1 1 
1114:	3 2 
1115:	1 
1116:	4 
1117:	1 1 
1118:	2 
1119:	7 
112:	5 
1120:	2 1 
1121:	1 1 
1122:	1 1 
1123:	3 
1124:	1 
1125:	1 
1126:	2 3 
1127:	2 
1128:	2 
1129:	1 2 
113:	2 
1130:	1 3 
1131:	12 6 
1132:	3 
1133:	2 
1134:	1 1 1 
1135:	3 
1136:	3 
1137:	1 
1138:	10 2 
1139:	1 1 
114:	2 2 1 
1140:	2 
1143:	2 
1144:	2 
1145:	2 1 
1146:	4 
1147:	1 
1148:	3 
1149:	5 1 
115:	1 
1150:	2 
1151:	1 3 4 
1152:	2 
1153:	5 
1154:	3 2 3 
1155:	1 1 
1156:	3 2 5 
1157:	3 1 
1158:	5 2 
1159:	2 
1160:	1 
1161:	1 
1162:	3 
1163:	1 1 
1164:	1 1 
1166:	2 
1167:	3 
1168:	7 
1169:	3 
1170:	2 
1171:	6 1 
1172:	1 
1173:	3 
1174:	5 1 
1175:	2 
1176:	4 
1177:	1 
1178:	4 
1179:	8 
118:	1 2 1 
1180:	2 
1181:	5 
1182:	1 
