=== non-contiguous nft : chains ===
Found 74 chain interruption in 746 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1001:	1 
1003:	1 
1004:	2 
1007:	3 
1011:	1 
1012:	1 
1013:	3 
1015:	1 
1016:	1 1 
1018:	2 1 
102:	1 
1023:	3 
1027:	1 
1035:	1 
1038:	1 2 
1039:	3 
104:	1 
1043:	1 
1044:	1 
1046:	1 
1048:	1 
1049:	1 
105:	1 1 
1050:	1 
1051:	1 
1052:	2 
1055:	2 
1056:	1 
1060:	2 
1063:	2 
1069:	1 
1072:	1 
1073:	1 
1075:	1 
1078:	3 
1084:	1 
1086:	1 
1088:	1 
1089:	1 
1092:	1 
1094:	1 
1097:	1 
11:	1 
110:	1 
1100:	1 
1109:	1 
1115:	1 
1116:	1 
1119:	3 
1124:	1 
1126:	1 
1129:	1 
1137:	1 
1138:	1 
1139:	1 
114:	1 
1146:	1 
1147:	2 
1149:	1 
1152:	1 
1155:	1 
1157:	1 3 
1158:	2 
1161:	1 2 
1162:	2 
1164:	1 
1167:	1 
1174:	1 
118:	1 
1180:	1 1 
1183:	1 2 
1185:	1 
1187:	1 
1192:	3 
1195:	2 
1196:	1 
1201:	1 
1210:	1 
1217:	1 
1219:	2 
1226:	1 
123:	1 
1232:	2 
1234:	1 
1235:	1 
1237:	2 
1238:	1 
1246:	1 
1250:	2 
1253:	2 
1255:	1 
1256:	1 
1259:	2 
1265:	1 
1266:	1 
1267:	1 
1268:	1 
127:	1 
1272:	2 
1274:	1 
1275:	1 
1276:	1 
1279:	1 
128:	1 
1280:	1 
1283:	1 
1284:	2 
1286:	1 
1289:	1 
1290:	1 
1294:	2 
1295:	1 
1296:	1 
1298:	1 
13:	1 
130:	1 
1302:	1 1 
1304:	2 
1307:	2 
131:	1 
1310:	1 
1315:	2 
1316:	2 
1317:	2 1 
1318:	1 
1320:	1 
1321:	2 
1322:	3 
1326:	1 
1327:	1 1 
1329:	3 
1330:	1 
1332:	1 
1338:	1 
1339:	1 
1340:	1 
1341:	1 
1345:	1 1 
1353:	2 
1356:	1 
1357:	1 
1360:	1 
1361:	1 
1366:	1 
1371:	1 
1375:	2 
138:	2 
1380:	1 
1381:	1 
1383:	1 
1384:	1 
1387:	2 
1390:	2 
1392:	1 
1395:	1 
1397:	1 
1399:	1 
14:	1 
1402:	4 
1403:	1 
1406:	1 
1407:	1 
1408:	4 
141:	1 
1411:	2 
1413:	1 1 
142:	1 
1425:	2 
1426:	1 
1428:	1 
1429:	3 
143:	1 
1438:	2 
1445:	1 
1447:	2 
1448:	2 
145:	1 
1455:	1 1 
1459:	1 
1461:	3 
1462:	2 
1468:	1 
1469:	1 
1470:	1 
1472:	1 
1477:	1 
148:	1 
1483:	1 
1485:	1 
1486:	1 
1487:	1 
1490:	2 
1491:	1 
1496:	1 
1497:	2 
1498:	1 
15:	1 
150:	2 
1502:	3 
1509:	1 
151:	1 
1510:	1 
1512:	1 
1513:	2 
1514:	3 
1515:	2 
1518:	1 
1519:	1 
152:	2 
1522:	2 
1524:	2 
1529:	3 
153:	1 1 
1532:	1 
1535:	1 
1536:	1 
1537:	3 
154:	2 1 
1540:	1 
1541:	1 
1543:	2 
1544:	1 
1550:	1 
1551:	1 
1552:	1 
1555:	1 
1558:	1 
1562:	1 
157:	1 
1570:	2 
1575:	4 
1579:	1 1 
1584:	1 
1587:	1 1 
1588:	6 
1589:	1 
1593:	1 
1594:	1 
1595:	1 
1597:	1 
16:	1 
1604:	1 
1606:	1 
1609:	2 
1611:	1 
1613:	1 
1614:	1 
1617:	1 
162:	2 
1622:	2 
1624:	2 1 
1626:	1 
1627:	1 
1631:	1 
1635:	1 
1636:	1 
1638:	1 
1639:	2 
164:	4 
1646:	1 
1649:	1 3 
165:	2 
1650:	1 
1656:	1 
1657:	2 
166:	1 
1660:	1 
1665:	2 
1666:	1 
1669:	1 
1674:	1 
1675:	1 
1676:	1 
