=== non-contiguous nft : chains ===
Found 130 chain interruption in 882 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1003:	1 
1004:	1 
1006:	2 
1010:	1 
1013:	1 
1014:	1 1 
1015:	1 
1016:	2 
1018:	3 
102:	1 
1020:	1 
1023:	1 
104:	3 
1044:	1 
1047:	1 
1055:	1 
1056:	3 
1063:	1 
1068:	3 
1069:	15 
1071:	1 
1072:	1 
1073:	1 1 
1075:	1 
1077:	1 1 
1078:	1 
1084:	1 
1088:	1 
1097:	1 
1098:	1 
1101:	1 
1103:	1 
1104:	2 
1106:	1 
1107:	1 
1109:	1 
1111:	2 
1121:	1 1 
1126:	1 1 
1137:	1 
1139:	1 
1143:	1 
1147:	1 
1149:	2 
1150:	1 
1151:	2 
1153:	13 
1166:	2 
1170:	2 
1173:	3 
118:	1 
1183:	2 
1187:	1 
119:	2 
1191:	1 
1192:	1 
1195:	1 
1201:	2 
121:	1 1 
1210:	1 
1214:	1 
1223:	2 
123:	2 
1234:	2 
1237:	1 
125:	2 
1250:	1 
1253:	1 
1259:	3 
1264:	1 
1267:	1 
1269:	1 1 2 
1272:	1 
1275:	1 
1276:	1 
1277:	1 
1279:	3 
1280:	2 
1287:	1 1 
1290:	1 
1291:	2 
1302:	1 
1306:	2 
1313:	2 
1317:	1 
1318:	2 
132:	2 
1320:	1 
1321:	2 
1328:	1 
1329:	2 
1330:	1 
1331:	1 
1332:	1 
1334:	1 
1336:	1 2 
1338:	3 
1340:	1 
1341:	1 
1345:	1 
1353:	1 
1356:	3 
1357:	1 
1371:	1 1 
1372:	1 
1373:	1 
1374:	1 
1375:	2 
138:	1 
1383:	1 
1385:	1 
1386:	1 
1392:	1 
1394:	1 
1397:	2 
1399:	1 
1407:	1 
1408:	1 
1411:	2 
1413:	1 1 
1414:	1 1 
1415:	2 1 
1422:	1 
1425:	2 
1427:	1 
1436:	1 
1437:	1 
1443:	1 1 
1444:	2 
