=== non-contiguous nft : chains ===
Found 20 chain interruption in 283 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
1008:	1 
1027:	1 
1032:	1 
1044:	1 2 
1047:	1 
1070:	2 
1075:	1 
109:	1 
1093:	1 
1097:	1 
110:	1 
1104:	1 
1110:	2 
1171:	1 
1190:	1 
1222:	1 
1225:	1 
1246:	1 
126:	1 
1294:	1 
1310:	1 
1340:	1 
136:	1 
1361:	1 1 
1362:	1 1 
1367:	1 
1386:	1 
1393:	1 
1394:	1 
1404:	1 
1412:	1 
1449:	1 
1461:	1 
1463:	1 
1472:	1 
1487:	1 
1492:	2 
150:	1 
1507:	1 
1512:	1 1 
1513:	1 
152:	1 
1522:	1 
1540:	1 
1543:	1 
1547:	1 
1570:	2 
1571:	1 
1575:	1 
1582:	1 
1596:	1 
1598:	1 
1607:	1 
1608:	2 
1616:	2 
162:	1 
1626:	1 
1631:	1 1 
1636:	1 
1652:	1 
1660:	2 
1665:	1 
1668:	2 
1675:	1 
169:	1 
1695:	1 
1698:	1 
170:	1 
1720:	1 
1739:	1 
1751:	1 
1752:	1 
1762:	1 
1772:	1 
1773:	1 
1782:	1 1 
1790:	1 
1793:	2 
1804:	1 
183:	1 
1856:	2 
1878:	1 
1903:	1 
1916:	1 
1922:	1 
1944:	2 
1945:	1 
1997:	2 
2004:	1 
2047:	1 
2055:	2 
2057:	1 
2061:	1 
2069:	1 
2071:	1 
2073:	1 
2080:	4 
2087:	1 
2088:	2 
2089:	1 
2098:	1 
21:	1 
210:	1 
2110:	1 
2116:	1 1 
2120:	2 
2121:	1 
2122:	1 1 
2125:	1 
2127:	2 
2135:	1 
2153:	3 
2156:	1 
2160:	1 
2164:	2 
2167:	1 
2168:	1 
2170:	1 
218:	1 
2187:	1 
220:	1 
2201:	1 
2211:	1 
2214:	1 
222:	1 
2230:	1 
2236:	1 
2238:	2 
2244:	1 
2254:	2 
2259:	3 
226:	1 1 
2268:	1 
2269:	1 
2270:	1 
2279:	2 
2280:	2 
2282:	1 
2297:	1 
2304:	1 
2313:	1 
2319:	1 
2324:	1 
2334:	1 
234:	1 1 
2343:	1 
2352:	1 
2370:	2 
2372:	1 
2376:	1 
2383:	2 
2386:	1 
239:	1 1 
240:	1 1 
2402:	2 
2406:	1 
2463:	1 
2481:	1 
2492:	1 
250:	1 
2502:	1 
2503:	1 
2505:	3 1 
2506:	1 
2507:	1 
2508:	1 
2509:	1 
2511:	1 
2512:	1 
2513:	2 
2517:	1 
2518:	2 
2523:	1 
2524:	2 
2526:	1 
2527:	1 
2534:	1 
2535:	1 
2536:	1 
2537:	1 
2539:	1 
254:	1 
2540:	1 
2541:	1 
2544:	1 
2545:	1 
2546:	1 
2553:	1 
2558:	1 
256:	1 
2562:	1 
2563:	1 
2564:	1 
2565:	1 
2566:	1 
2567:	1 
2570:	1 
2571:	1 
2572:	1 
2573:	1 
2574:	1 
2575:	1 1 
2579:	2 
2580:	1 
2583:	2 
2584:	1 1 
2589:	1 
2592:	1 
2593:	1 
2595:	1 
2597:	1 1 
2598:	1 
2599:	1 
2617:	1 
2618:	1 
2631:	1 
264:	1 
2642:	1 
267:	1 
27:	1 
282:	2 
287:	2 
288:	1 
289:	1 
32:	1 
348:	1 
349:	1 
36:	1 
369:	1 
38:	1 
395:	1 
400:	1 
41:	2 
425:	1 
427:	2 
430:	1 
456:	1 
46:	1 1 
465:	1 
47:	1 
477:	1 
480:	2 
496:	4 
499:	1 
515:	1 
520:	1 
559:	2 
588:	1 
6:	1 
602:	1 
61:	1 
621:	1 
632:	1 
642:	1 1 
663:	2 
665:	1 
702:	1 
714:	2 
730:	1 
755:	2 
762:	1 
776:	1 
794:	1 
80:	1 
814:	2 
829:	1 
833:	1 
834:	1 
837:	1 
873:	1 1 
88:	1 
881:	1 
890:	1 
907:	1 
91:	1 
911:	1 
915:	1 
919:	1 
965:	1 
977:	1 
980:	1 
992:	1 1 
