=== non-contiguous nft : chains ===
Found 139 chain interruption in 354 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 
101:	3 1 
102:	2 
103:	1 2 2 
104:	1 
105:	5 
106:	1 2 
107:	1 
108:	3 1 
109:	1 3 
110:	1 1 
111:	2 
112:	2 1 1 
113:	1 4 
114:	3 
115:	1 
116:	2 
117:	2 1 1 
118:	1 
119:	5 
120:	1 2 
121:	1 
122:	1 1 
123:	3 
124:	1 1 
125:	1 1 
126:	1 
127:	3 1 
128:	3 1 
129:	2 2 1 
130:	4 
131:	1 
132:	1 
135:	2 1 
136:	2 1 
137:	2 
138:	2 
139:	2 1 1 
14:	1 
140:	1 
141:	4 
142:	3 1 3 
143:	2 
144:	2 
145:	1 
146:	10 
147:	2 
148:	2 1 1 
149:	1 
15:	1 
150:	2 
151:	2 3 
152:	2 
153:	2 
154:	1 
155:	1 
156:	1 2 
157:	1 
159:	2 
160:	4 
161:	3 
162:	1 
163:	1 1 
165:	1 
167:	2 
168:	1 
169:	1 1 
17:	2 
170:	4 
171:	1 4 
172:	1 
173:	2 
174:	1 1 
175:	4 
176:	2 
177:	3 1 
178:	1 1 1 1 
179:	5 
18:	1 
180:	1 
181:	3 
182:	2 1 
183:	1 1 
184:	4 
185:	1 
186:	1 
187:	1 
188:	1 4 
189:	2 1 
19:	1 3 
190:	3 
191:	2 
192:	3 1 
193:	1 1 
194:	2 1 
195:	1 
197:	1 5 
198:	3 
199:	1 
20:	2 
200:	5 
201:	1 
202:	1 1 2 
203:	3 
204:	1 
205:	4 
206:	1 
207:	2 1 
208:	3 
209:	2 1 
21:	1 
210:	3 
211:	2 1 
213:	1 
214:	2 
215:	2 1 
217:	2 
219:	1 1 
22:	1 2 1 
220:	3 
221:	3 
222:	2 
224:	2 1 
225:	4 
226:	3 
227:	1 
228:	1 
229:	1 1 
23:	1 
230:	1 
231:	1 
233:	1 
234:	2 
235:	2 
237:	1 1 
238:	4 
24:	1 
240:	2 
241:	1 
242:	1 1 
243:	2 
245:	2 
246:	1 
247:	3 
249:	1 1 1 
25:	1 2 
250:	1 
251:	2 
252:	1 
253:	1 
254:	2 
255:	3 
256:	1 
257:	3 
258:	3 
259:	5 
26:	2 
262:	3 
263:	4 
264:	1 
265:	2 
266:	2 
268:	3 1 
269:	1 
27:	2 
270:	2 
271:	2 1 1 1 
272:	2 
273:	4 
274:	2 1 
275:	1 
276:	3 1 1 
277:	3 
278:	2 
279:	1 
280:	1 
282:	1 
283:	2 
284:	2 
287:	2 2 
288:	1 
289:	1 
29:	1 
291:	5 
292:	3 1 
294:	1 
298:	1 
3:	2 
30:	1 2 
302:	1 1 
303:	2 1 
304:	1 
305:	3 
306:	2 1 
307:	1 
308:	1 
309:	3 
310:	3 
311:	3 2 
312:	2 
313:	3 1 
314:	1 
315:	1 
317:	1 
319:	3 
32:	1 
320:	2 1 
321:	2 
322:	1 2 1 
323:	4 
324:	2 
325:	5 
326:	1 1 4 
327:	2 2 1 1 1 
328:	3 
329:	2 
330:	1 3 
331:	4 1 
332:	1 
333:	1 
334:	2 
336:	1 2 1 
337:	1 1 
338:	1 
339:	1 
34:	1 
340:	1 
341:	1 
342:	1 3 
343:	2 
345:	1 
346:	2 1 
347:	1 
35:	7 1 
350:	1 
351:	3 1 
354:	1 2 
355:	2 
359:	1 
360:	3 
361:	1 
362:	2 
363:	1 
364:	1 
365:	2 
366:	2 
368:	1 1 
369:	2 1 
37:	1 
370:	2 
371:	3 
372:	1 
373:	2 2 
374:	5 1 
375:	3 
376:	1 
377:	1 
378:	1 2 
379:	3 1 
38:	1 
380:	1 1 
382:	1 
383:	1 
385:	1 
386:	3 
387:	1 
389:	1 1 1 
39:	1 
390:	1 
391:	3 
394:	2 
395:	4 1 2 
396:	1 
397:	1 
398:	1 
399:	1 
4:	2 
40:	2 
400:	4 
401:	1 
402:	1 1 
403:	1 4 
404:	1 
405:	1 
406:	1 
408:	2 
409:	1 2 
41:	3 
410:	1 1 
411:	2 1 
412:	2 1 1 
413:	3 
414:	2 1 1 
415:	2 2 
416:	1 1 1 1 
417:	3 
418:	2 1 
419:	6 
42:	1 
420:	1 
43:	1 1 
44:	3 
45:	1 
46:	2 1 
47:	1 
48:	1 
49:	1 
50:	2 
51:	1 
53:	3 
54:	2 
55:	2 1 
58:	6 
59:	1 
6:	1 1 
60:	2 1 
61:	4 1 
62:	2 
64:	1 1 
65:	2 
66:	1 
66474791890773085952505005329892589456848648365243907542197147776338295259137:	3 
67:	2 
68:	1 
70:	1 
71:	2 
72:	1 
73:	2 
74:	1 
75:	1 2 1 
76:	1 3 
77:	1 
78:	1 1 
79:	2 
8:	1 1 
80:	1 
81:	2 
82:	1 3 
83:	2 
84:	1 
85:	1 
86:	5 
88:	3 
89:	2 
9:	1 
90:	2 
91:	1 
92:	1 1 
93:	1 2 
94:	1 1 
95:	3 
97:	1 1 
98:	2 
