=== non-contiguous nft : chains ===
Found 1811 chain interruption in 7621 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 
1002:	5 
1004:	2 
1006:	1 
1007:	2 
1009:	2 
101:	2 
1010:	1 
1013:	1 
1015:	1 
1017:	1 
1018:	1 
1019:	1 
102:	1 1 
1020:	1 
1021:	3 
1022:	1 1 
1023:	1 
1024:	1 1 
1025:	3 
1026:	4 
1027:	2 
1028:	3 
1029:	2 
1030:	2 
1031:	1 
1032:	2 
1033:	2 
1034:	1 
1035:	1 
1036:	2 2 
1037:	1 
1038:	1 1 
1039:	2 
104:	1 
1040:	1 
1041:	1 
1042:	1 
1043:	1 
1044:	1 
1045:	4 
1047:	1 
1048:	3 
1049:	1 
1050:	1 
1051:	2 
1053:	2 1 2 
1054:	1 
1055:	4 
1057:	1 1 1 
1058:	1 
1059:	1 
1060:	1 
1063:	1 
1064:	1 
1065:	1 
1067:	1 
1068:	1 
1070:	2 
1072:	1 
1073:	1 3 
1074:	1 
1076:	1 
1078:	1 
1080:	5 
1081:	1 
1083:	1 
1084:	1 1 
1085:	2 
1086:	1 1 
1088:	3 
1092:	1 
1095:	2 
1096:	1 
1098:	3 1 
1099:	1 
1101:	1 
1102:	3 
1103:	2 
1104:	1 1 
1105:	5 2 
1106:	2 
1107:	1 1 1 
1108:	1 
1109:	1 
111:	2 
1110:	3 
1112:	1 
1115:	1 
1116:	1 
1117:	1 
1118:	1 1 
112:	2 
1122:	1 2 
1123:	3 
1124:	1 
1126:	3 
1129:	2 
113:	2 
1130:	1 
1131:	1 
1132:	1 
1134:	1 
1135:	4 1 
1136:	1 
1138:	1 
1140:	1 
1141:	4 
1142:	3 
1143:	1 
1145:	1 
1147:	4 
1149:	1 
115:	4 
1150:	2 
1151:	3 
1152:	1 
1153:	2 
1154:	1 
1155:	1 
1156:	3 
1157:	1 
1160:	2 
1163:	1 
1164:	2 
1165:	2 
1166:	3 
1167:	1 
1168:	1 
117:	3 1 2 
1170:	3 
1171:	1 
1172:	2 
1174:	2 
1176:	1 
1177:	1 
1178:	1 
1179:	2 
1182:	4 
1183:	6 
1185:	2 
1187:	1 2 4 
1188:	1 
1189:	2 2 1 
1190:	1 1 
1191:	2 
1192:	1 
1193:	1 
1194:	1 1 1 
1195:	2 
1197:	2 5 
1199:	2 2 
12:	2 
1200:	1 
1201:	2 
1202:	1 
1204:	3 
1205:	2 1 
1206:	2 
1207:	2 
1208:	4 3 
1209:	2 
121:	2 
1210:	2 
1211:	1 2 
1212:	1 1 
1217:	1 2 
122:	2 
1222:	1 
1223:	1 
1224:	1 
1225:	3 2 
1226:	4 
1228:	1 
1230:	1 
1231:	3 
1232:	1 
1234:	1 
1236:	2 
1237:	1 
1239:	2 
1243:	1 
125:	2 
1253:	1 
1254:	1 
1256:	1 
1258:	3 
1259:	1 1 
1260:	1 1 
1261:	2 
1262:	1 
1264:	3 
1266:	1 
127:	3 
1272:	1 
1273:	2 1 
1274:	2 1 
1275:	1 
1276:	1 
1277:	2 1 
1278:	2 
1279:	3 
1280:	1 1 
1282:	1 
1283:	1 
1284:	1 2 
1287:	3 
1289:	1 
1290:	4 
1291:	1 1 
1292:	1 
1293:	1 
1294:	3 
1295:	1 
1296:	1 
13:	2 
1301:	1 
1304:	3 
1306:	1 
1307:	2 
1308:	3 
131:	1 
1310:	1 2 1 
1311:	1 
1312:	2 
1313:	1 
1314:	3 
1315:	3 
1316:	2 
1317:	3 
1319:	2 
1323:	1 2 
1324:	1 
1326:	3 
1327:	1 
1330:	1 
1334:	1 
1335:	1 
1336:	2 
1338:	1 
1339:	1 
1340:	1 
1341:	1 
1343:	1 
1344:	2 
1346:	2 
1351:	1 
1352:	2 
1353:	1 
1354:	3 
1355:	2 
1356:	3 1 
1357:	1 
1359:	4 
1360:	2 
1361:	1 
1363:	2 1 4 
1364:	1 
1365:	3 
1366:	2 
1367:	5 
137:	1 3 
1370:	2 
1371:	1 
1372:	2 
1373:	1 2 1 
1375:	2 
1376:	1 
1379:	2 
138:	3 
1380:	2 1 
1381:	4 
1382:	1 
1383:	1 
1384:	1 2 
1385:	1 
1387:	1 2 
1388:	3 
1389:	1 
1390:	3 
1391:	2 
1393:	2 
1394:	4 
1395:	1 1 
1396:	1 2 
1397:	2 
1398:	1 4 2 
1399:	2 
14:	3 
140:	1 
1400:	4 
1401:	1 
1403:	1 
1405:	1 
1406:	2 
1407:	1 
1408:	5 
1409:	1 
1410:	3 
1412:	1 
1414:	2 1 
1416:	1 
1417:	3 
142:	5 
1423:	2 
1424:	1 
1428:	1 
1430:	2 
1432:	2 
1433:	4 
1434:	1 
1435:	5 
1440:	2 
1441:	1 
1443:	2 
1445:	3 
1448:	2 
145:	1 
1451:	2 
1452:	4 
1453:	3 
1454:	2 
1457:	4 
1458:	1 
146:	1 
1460:	1 
1462:	1 1 
1463:	1 1 
1465:	1 
1466:	2 1 
1467:	1 
1468:	4 
1469:	1 
1470:	1 
1471:	1 
1473:	1 
1474:	1 
1475:	2 
1476:	4 
1478:	2 
1479:	3 
1482:	1 
1483:	3 
1484:	1 
1485:	1 
1486:	1 
1487:	2 
1488:	4 
1489:	1 1 
1490:	1 1 
1491:	1 
1494:	1 
1496:	2 
1500:	1 
1503:	2 
1508:	3 2 
1509:	2 
151:	1 
1511:	1 
1517:	2 
1519:	1 1 
1521:	2 
1522:	3 1 
1524:	1 1 
1525:	2 
1526:	2 
1528:	2 
1530:	1 
1532:	1 
1533:	3 1 1 1 
1534:	1 
1535:	2 
1536:	1 
1537:	3 
1538:	2 
154:	1 
1540:	1 
1541:	1 
1542:	4 
1544:	3 
1546:	6 
1547:	2 
1548:	1 
1549:	2 
1550:	1 
1553:	1 1 
1554:	1 
1555:	2 
1556:	4 
1558:	1 
1559:	2 
1560:	1 
1562:	1 
1563:	1 
1564:	2 
1565:	3 
1566:	1 
1567:	1 
1568:	1 
1569:	1 
157:	2 
1570:	6 
1572:	1 1 
1573:	1 
1574:	1 
1575:	2 
1577:	1 
1578:	1 
1579:	2 
1580:	1 
1581:	1 
1582:	1 
1584:	3 
1585:	2 
1586:	3 
1587:	1 
1588:	1 
1589:	3 
1590:	1 
1591:	3 
1592:	1 
1593:	1 
1594:	4 
1595:	2 
1596:	6 
1597:	3 2 
1599:	4 
16:	1 
1600:	1 1 
1601:	4 
1603:	4 2 
1604:	5 
1605:	2 
1606:	1 
1608:	1 
1609:	2 
1610:	1 
1611:	1 
1612:	1 
1614:	4 
1615:	1 3 
1616:	1 1 
1617:	2 1 
1618:	1 
1619:	3 
1621:	3 
1622:	3 
1625:	4 
1627:	2 
1628:	1 
1629:	2 
1630:	3 1 
1632:	2 
1633:	1 1 1 
1634:	1 
1636:	1 
1637:	4 
1638:	2 1 
1639:	1 
164:	3 
1640:	2 1 
1641:	1 
1642:	2 
1643:	2 
1644:	6 
1645:	4 2 2 
1646:	3 
1647:	2 
1648:	1 
1649:	2 
1650:	1 
1651:	1 
1652:	1 
1653:	3 
1655:	1 
1656:	2 
1657:	1 
1659:	3 
166:	2 
1660:	1 3 
1661:	1 
