=== non-contiguous nft : chains ===
Found 834 chain interruption in 5987 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	2 
1001:	2 
1002:	1 
1003:	1 
1008:	3 2 
101:	1 
1011:	1 
1012:	1 
1013:	2 
1014:	1 1 
1015:	1 
1016:	1 
1019:	1 1 
1020:	1 
1024:	3 
1025:	1 1 
1026:	1 1 
1027:	2 2 1 
1028:	1 
1029:	1 
103:	1 
1030:	1 
1031:	1 
1032:	1 
1033:	2 
1034:	2 
104:	1 
1040:	1 2 
1041:	1 
1042:	1 1 
1043:	2 
1044:	1 1 
1045:	2 
1046:	1 
1047:	1 
1048:	1 
1049:	2 
1050:	2 
1051:	1 
1052:	1 
1053:	2 
1054:	1 
1055:	1 1 
1056:	1 
1057:	1 
1058:	1 
1059:	1 
106:	2 
1060:	4 
1061:	3 3 1 1 
1062:	1 
1063:	1 
1064:	1 
1065:	3 
1066:	1 
1068:	1 
1069:	1 1 
1072:	3 
1073:	1 
1074:	1 
1075:	1 
1079:	2 
108:	2 
1082:	2 
1083:	1 
1084:	1 
1085:	1 
1086:	2 
1087:	1 
1088:	2 
1089:	1 
109:	1 
1093:	2 
1094:	3 
1095:	1 
1097:	2 
110:	3 
1102:	3 
1104:	2 
1105:	1 2 
1106:	2 
1107:	1 
1108:	5 
1109:	1 2 
1110:	2 2 
1112:	2 
1113:	3 
1114:	2 1 
1116:	2 
1117:	1 1 
1118:	1 
1119:	3 
1122:	1 1 
1123:	1 
1124:	1 1 
1126:	3 
1138:	2 
1140:	2 
1141:	1 
1142:	1 
1143:	3 
1144:	1 1 
1145:	1 
1146:	1 
1147:	2 
1149:	1 
1153:	1 
1154:	1 
1155:	1 
1158:	3 
116:	2 
1162:	2 
1164:	1 
117:	3 1 2 
1170:	1 
1177:	1 1 
118:	2 
1180:	2 1 
1181:	1 
1182:	1 1 
1184:	1 
1185:	1 
1186:	1 
1187:	1 
119:	2 
1195:	1 2 
120:	1 1 
1205:	2 
1206:	2 
1207:	2 
1208:	2 
1209:	1 1 
121:	2 
1210:	2 
1211:	2 
1212:	1 
1213:	1 
1215:	1 
1217:	3 
1218:	1 
1219:	1 
122:	2 
1220:	1 
1221:	1 
1224:	3 
1226:	1 
1227:	1 
1228:	1 
1229:	1 
123:	2 
1231:	3 
1232:	1 
1233:	2 
1239:	1 1 
124:	1 
1240:	1 
1241:	6 
1242:	3 
1246:	1 1 
1247:	1 
1249:	1 
1250:	1 
1251:	3 
1264:	1 
1265:	1 1 2 
1267:	1 
1268:	2 
1269:	1 
1271:	2 
1273:	2 2 1 
1277:	1 
1278:	2 
1280:	2 
1282:	1 2 
1285:	1 
1286:	1 2 
1287:	2 
1288:	1 
1289:	3 
129:	1 
1294:	1 
1295:	1 
1296:	1 
1297:	1 1 
1298:	1 
1300:	1 1 
1303:	3 1 
1304:	4 
1305:	1 1 
1308:	2 
1318:	1 2 
1327:	1 
1332:	1 1 
1333:	1 
1335:	2 
1336:	3 
1337:	2 
1344:	1 
1345:	1 
1346:	1 
1349:	1 
135:	1 
1350:	1 
1351:	2 1 
1354:	2 
1356:	1 
1357:	2 
1367:	2 
1369:	1 
1370:	1 1 
1371:	2 
1374:	1 
1377:	1 
138:	1 
1383:	2 
1384:	2 
1389:	1 
1390:	2 
1392:	3 
1394:	3 
1398:	1 4 2 
1403:	1 
1405:	3 
1410:	2 
1411:	2 
1412:	2 3 
1413:	7 
1414:	5 
1415:	2 
1445:	1 
1447:	1 2 
1449:	2 
1450:	2 
1451:	1 
1453:	2 
1454:	2 
1472:	3 
1473:	2 
1474:	2 
1476:	2 
1479:	1 
1480:	2 
1483:	1 
1484:	1 
1485:	3 
1494:	2 
1495:	1 
1496:	2 
1499:	5 3 
15:	4 
1500:	2 
1501:	2 
1503:	2 
1505:	2 
1506:	1 
1509:	1 
1510:	1 
1511:	2 
1512:	4 
1513:	1 
1515:	1 
1517:	3 
1518:	2 
1519:	1 
1520:	1 
1528:	1 
1529:	2 
1530:	4 
1531:	1 
1532:	1 1 
1536:	2 1 1 
1538:	1 
1542:	1 
1543:	1 1 
1544:	1 
1549:	1 
1550:	1 
1551:	4 1 
1553:	2 
1567:	1 
16:	2 1 
1616:	2 
1617:	1 
1621:	1 
1622:	1 
1623:	1 
1624:	4 
1625:	1 
1626:	2 
1627:	1 
1628:	3 
1629:	3 
1630:	2 
1635:	1 2 
1643:	2 
1644:	2 
1645:	2 
165:	1 1 
1653:	3 
1654:	2 
1655:	2 
1656:	2 
166:	3 2 
1660:	2 
1661:	1 
1662:	1 2 
1663:	1 
1668:	1 
1669:	1 
1670:	1 
1671:	1 
168:	1 
1681:	3 2 
1686:	1 
1687:	2 2 1 
1689:	1 
169:	1 
1690:	2 
1691:	2 
1692:	1 
1693:	1 2 
1694:	2 
1695:	2 
1696:	1 
1697:	2 
1699:	1 
17:	1 
170:	2 
1702:	1 
1703:	3 
1707:	3 
1708:	4 
1709:	2 
1710:	2 
1711:	2 
1712:	1 
1713:	1 
1714:	1 
1715:	2 
1717:	1 
1718:	2 
1720:	1 
1722:	1 
1724:	1 
1729:	5 
1730:	1 
1731:	2 
1732:	1 
1733:	1 
1737:	1 
1738:	1 
1739:	1 
174:	1 
1740:	2 
1742:	2 
175:	1 
177:	1 3 
1775:	3 
1780:	1 
1781:	1 
1782:	1 
179:	1 
1791:	1 1 
1792:	1 
1793:	2 
1794:	2 
1795:	1 
1796:	1 2 
1797:	1 
1798:	2 
1799:	2 
18:	1 1 
1808:	1 
1809:	1 
181:	2 
1810:	1 
1811:	1 
1813:	1 
182:	2 
1820:	2 
1823:	2 
1824:	1 
1825:	1 
1826:	3 
1827:	1 
1828:	1 1 
1829:	2 
183:	1 1 
1830:	2 
1838:	1 
1839:	1 
184:	1 
1840:	1 
1842:	1 
185:	1 
1850:	1 
1851:	1 
1852:	1 
1853:	1 
186:	1 
1860:	3 
1862:	2 1 
1863:	1 
1864:	2 
1865:	2 
1866:	1 
1867:	1 
1868:	1 
187:	3 
1872:	1 
1875:	2 
1876:	3 
1877:	1 1 2 1 
1878:	6 
1879:	1 
188:	3 
1880:	2 2 
1881:	1 
1882:	1 
1884:	1 
1888:	1 
1889:	1 
189:	1 
1890:	2 
1891:	1 
1892:	1 1 
1893:	1 2 
1894:	1 
1899:	1 
19:	1 
190:	2 
1902:	1 
1905:	1 1 
1907:	2 
1908:	3 
1909:	2 
191:	2 
1911:	1 1 
1913:	1 
1914:	1 
1915:	3 
1916:	2 
1917:	2 
1918:	2 
1919:	4 
192:	1 
1920:	3 
1923:	1 
1924:	1 
1925:	4 
1926:	1 1 
1927:	1 
1928:	2 1 
1929:	1 
193:	2 
1930:	1 
1931:	4 
1936:	1 
1939:	1 1 
194:	1 
1940:	2 
1942:	1 
1943:	1 
1944:	1 
1945:	2 1 
1946:	1 
1947:	1 
1948:	1 
1949:	3 
195:	1 1 
1951:	1 
1952:	1 
196:	1 
1963:	5 
1964:	2 
197:	1 
1972:	4 
1973:	2 
1974:	2 1 
1975:	1 
1976:	5 
1978:	2 
198:	1 
1983:	2 
1985:	2 
1987:	1 
1988:	1 
1989:	1 
199:	1 
1990:	5 
1991:	2 
1992:	3 
1993:	2 
1997:	2 
1999:	2 
2:	1 
200:	1 
2000:	1 
201:	1 
2018:	1 
2019:	1 
202:	3 
2020:	1 
2022:	1 
2023:	1 
2024:	2 
2025:	1 
2026:	1 
2027:	1 
2028:	2 
