=== non-contiguous nft : chains ===
Found 1464 chain interruption in 9589 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
10002:	1 
10004:	2 
10009:	1 
10011:	3 
10012:	3 
10019:	3 
10044:	1 
1005:	1 
10051:	1 1 
10053:	1 1 
10058:	1 
10065:	1 
10067:	1 
10079:	2 
10127:	1 
10128:	1 
10142:	2 1 
10144:	2 
10160:	1 
10162:	6 
10166:	1 
10182:	2 
10186:	1 
10202:	1 3 2 
10203:	1 1 1 
1021:	1 
10214:	1 
10217:	1 
10223:	1 
10227:	1 2 
10230:	1 
10232:	1 
10256:	2 
1026:	2 
10263:	1 
10269:	1 2 
10281:	1 
10282:	1 
10289:	1 1 1 
10300:	2 
10301:	1 1 
10309:	1 
10312:	1 
10313:	2 
10325:	4 
10332:	3 
10333:	1 
10347:	3 
10370:	2 
10372:	1 
10386:	2 
10389:	2 
10391:	1 
10406:	1 1 
10412:	1 
10414:	2 
10416:	1 
10418:	1 
10419:	1 
10426:	3 
10432:	1 4 
10440:	1 1 
10443:	1 1 
10446:	3 
10449:	2 
10452:	1 1 1 
10460:	1 
10477:	1 
10480:	1 
10484:	1 
10490:	3 
10496:	2 
10498:	2 
10500:	1 
10501:	2 
10505:	1 
10506:	2 
10507:	3 
10509:	1 
10510:	1 
10517:	1 
10521:	1 
10523:	2 
10536:	2 
10545:	1 
1055:	1 1 
10552:	1 
10559:	1 
10564:	1 
10583:	1 
10587:	1 
10595:	2 
1060:	2 
10606:	1 
10624:	1 
10625:	2 
10633:	1 
10634:	1 
10635:	2 
10642:	1 
10653:	1 
10654:	2 
10656:	2 
10684:	1 
10687:	2 
10707:	1 
10720:	1 
10723:	1 1 
10726:	5 
10730:	4 1 
10731:	1 
10732:	1 
10735:	1 
10737:	1 
10740:	1 
10755:	1 
10762:	1 
10780:	2 
10782:	3 
10789:	1 
10791:	2 
10814:	1 
10816:	1 
1086:	3 
10870:	2 
10876:	3 
