=== non-contiguous nft : chains ===
Found 303 chain interruption in 1571 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1009:	6 
101:	1 
1018:	2 
103:	1 
1032:	1 
1059:	1 
1061:	1 1 1 1 
1064:	1 
1090:	1 
1092:	2 1 
1093:	1 1 
1102:	1 
111:	2 
1115:	1 
1116:	2 2 
1120:	2 
1127:	2 
1137:	1 
1138:	1 
1151:	3 
1154:	1 
1162:	2 1 
1167:	2 
1169:	1 
1175:	1 
1176:	1 
1177:	1 
1179:	2 
118:	1 
1180:	1 
119:	1 
1191:	3 
1197:	1 2 
1201:	2 
1209:	1 
1211:	1 
1215:	1 
1229:	1 
1232:	2 
1234:	2 
1236:	1 2 
1237:	2 1 
1242:	2 
1244:	1 
1247:	1 
1259:	1 
1265:	5 
1268:	2 
1271:	1 
1272:	1 
1280:	3 1 
1285:	1 
129:	2 
1296:	3 
130:	1 
1304:	2 
1310:	3 
1311:	1 
132:	1 
1326:	1 
1330:	2 
1341:	2 
1342:	3 
1364:	1 1 
1365:	3 
1367:	1 
137:	1 1 1 
1370:	2 
1386:	1 
1387:	1 2 
1392:	2 
1394:	1 
140:	1 
1408:	1 
141:	4 2 
1415:	1 
142:	1 
1424:	1 1 
1431:	1 
144:	1 
1454:	1 
1457:	2 
1462:	1 2 
1469:	1 
147:	2 
1470:	6 
1471:	1 
1473:	1 6 
1479:	2 1 
1488:	1 
1501:	1 
1507:	3 
152:	1 
1525:	1 
153:	1 
1531:	3 
1533:	2 
1538:	1 
1541:	2 
1543:	1 
1545:	1 
1550:	1 
1552:	2 
1556:	1 
1570:	1 
1579:	2 
1587:	1 
1591:	2 
1598:	1 3 
1603:	1 
1604:	1 
1607:	1 
161:	2 
1615:	1 
1628:	1 
1629:	1 
1641:	2 
1644:	1 1 
1648:	2 
1660:	2 
1661:	2 
1670:	3 
1671:	1 
1672:	1 
168:	1 
1683:	2 
1687:	1 
169:	1 
1691:	1 1 
1693:	1 
1695:	1 
1702:	1 
1703:	2 
1704:	1 
1722:	1 
173:	3 
1741:	1 1 2 
1744:	1 
1749:	1 
1760:	3 
1762:	2 1 
1763:	1 1 
1771:	1 1 
1783:	1 
1790:	2 
1795:	1 
1804:	1 
1813:	1 
1816:	1 
1829:	1 
183:	1 
1831:	1 
1835:	1 
184:	1 
1863:	1 
1867:	1 1 
1869:	1 
1877:	2 
1898:	1 
19:	1 
191:	2 
1933:	1 
1944:	1 
1948:	1 
1955:	1 
1957:	1 
1968:	2 1 
198:	3 
1983:	1 
1989:	1 
2000:	2 
2004:	1 
2016:	3 
2037:	1 
2040:	2 
2044:	1 
2050:	1 5 
206:	4 
2063:	2 
2067:	1 2 
2070:	2 2 
2082:	2 1 
210:	1 
2104:	1 
2108:	1 
2117:	4 
212:	2 
2121:	2 1 
2122:	1 
213:	3 
2131:	2 
2138:	1 
2139:	4 
2142:	1 
2144:	4 
2171:	2 
2175:	1 
2176:	1 
2177:	3 
2185:	1 
2188:	1 
2195:	1 
2211:	2 
2212:	1 2 
222:	1 
2222:	1 
2227:	2 
2236:	1 2 
2240:	2 
2244:	2 
2247:	1 
2253:	1 2 1 
2258:	1 
2270:	1 
2272:	2 
2274:	1 
2278:	1 
2279:	3 
2280:	1 
2287:	1 
2290:	2 1 
2303:	2 
2306:	5 
2311:	2 
2312:	3 
2317:	2 
233:	1 
2348:	1 1 
2355:	1 3 
2358:	2 
2359:	3 
2374:	1 
2376:	1 
2381:	2 
2383:	1 
2385:	1 1 
2388:	2 
239:	1 
2391:	2 
24:	2 
2400:	4 
2406:	1 
2411:	2 
2427:	2 
243:	4 1 
2436:	1 
2437:	1 
2453:	4 
2458:	1 
2464:	1 
247:	1 
2474:	2 
248:	1 1 
2484:	2 
2492:	1 
2496:	2 
2499:	1 
2501:	2 
2504:	1 
2506:	2 
2509:	3 1 1 
2520:	2 2 2 
2526:	1 
2527:	1 
253:	2 
2539:	3 
2548:	1 3 
2551:	1 2 
2555:	1 
2562:	1 
257:	3 
2571:	1 
2575:	1 
2583:	2 
2587:	2 
2598:	2 
26:	1 
2606:	2 
2609:	1 
2613:	1 
2616:	1 
2617:	1 
2619:	1 1 3 
2624:	1 
2635:	1 2 
2638:	1 
2641:	6 
2650:	4 2 
2652:	1 
2657:	3 
2660:	1 
2661:	3 
2665:	1 2 
2670:	2 
2673:	2 
2676:	2 
2679:	1 
2682:	3 
2694:	3 
2697:	1 1 
2705:	1 
2712:	2 
2720:	2 
2721:	1 
2733:	2 
2735:	1 
2738:	1 
2744:	4 
2750:	2 
2755:	2 
2774:	3 
2776:	1 
2788:	1 
279:	1 
2794:	1 
28:	2 
2804:	3 
2806:	2 1 
2807:	1 
2810:	2 
2829:	1 
2832:	2 
2840:	1 
2848:	1 
2852:	2 
2857:	1 
2858:	2 
2859:	1 
2860:	2 
2863:	1 
2873:	1 
2875:	2 
2879:	1 
2886:	1 
2887:	1 
2889:	2 
2891:	1 
2893:	1 
2898:	1 1 
2905:	1 
2924:	2 3 
2932:	1 
2933:	1 
2947:	1 
2956:	1 1 
2964:	1 
2970:	1 1 
2979:	1 
2985:	1 
2990:	1 
2995:	1 1 2 
2998:	1 
3002:	2 
3005:	1 
3009:	1 
3010:	1 
3019:	2 
3036:	1 
3040:	1 
3045:	1 
3050:	2 
3064:	2 
3067:	3 
3072:	1 
3080:	3 
3082:	2 
3085:	1 
3086:	3 
3098:	2 
3116:	1 
3126:	1 
313:	1 
3130:	3 
3140:	5 
3153:	2 2 
3160:	3 1 
3163:	1 
3164:	1 
3165:	1 
317:	1 
3187:	1 
3190:	1 
3214:	1 
3221:	2 
3230:	2 
3249:	1 2 
3252:	2 
3259:	5 
3263:	1 
3265:	1 
3271:	5 
3275:	1 
3279:	2 
328:	2 
3291:	3 1 
3301:	1 
3311:	1 
3313:	2 
3338:	1 
3347:	5 
3356:	1 
3360:	2 
