=== non-contiguous nft : chains ===
Found 173 chain interruption in 2686 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	1 1 
1000:	1 2 
1002:	2 
1003:	1 
1004:	1 
1005:	1 
1008:	1 1 
1009:	1 
101:	3 
1010:	1 2 
1011:	2 
1012:	1 
1014:	1 
1015:	1 
1019:	1 
102:	4 
1020:	1 
1021:	2 
1023:	2 
1024:	1 
1025:	3 
1026:	1 
1028:	1 
1029:	2 
103:	3 
1030:	1 
1031:	1 
1032:	1 
1033:	1 
1034:	2 
1035:	3 
1036:	2 
104:	2 
1040:	1 1 
1041:	1 
1043:	2 
1045:	1 
1047:	1 
1049:	1 
105:	1 1 
1050:	3 
1052:	1 
1053:	1 
1056:	1 
1057:	2 
106:	1 
1062:	2 
1065:	1 3 
1067:	1 
1068:	1 
1069:	3 
1070:	1 
1071:	4 
1072:	3 
1073:	1 
1074:	2 
1075:	1 
1077:	2 
1078:	1 
1082:	2 2 
1083:	2 
1085:	1 
1086:	2 
1087:	1 
1089:	1 
1090:	2 
1091:	2 
1092:	2 
1093:	2 
1094:	4 
1095:	1 3 
1096:	2 
1097:	1 1 
1099:	1 
11:	1 
1101:	1 
1102:	2 
1103:	2 
1105:	2 
1108:	2 1 
111:	1 
1110:	1 2 
1111:	1 
1112:	3 
1113:	2 
1115:	1 
1116:	1 
1117:	1 
1118:	1 
1119:	1 
1120:	1 
1121:	1 
1122:	1 
1123:	1 
1124:	1 
1126:	2 
1127:	1 
1128:	2 
1129:	3 
1131:	1 
1132:	1 
1133:	1 
1134:	1 
1136:	1 
1137:	2 
1138:	4 
1139:	3 
1140:	1 
1141:	1 
1142:	2 2 
1143:	1 
1146:	2 1 
1147:	1 
1150:	4 
1151:	1 
1154:	1 
1157:	2 2 
1159:	1 
1160:	7 
1161:	1 
1162:	2 
1163:	1 
1164:	3 
1165:	2 
1166:	1 
1167:	1 
1168:	2 
1169:	1 
1173:	1 
1174:	1 
1175:	1 
1176:	1 
1177:	2 1 
1178:	2 
1183:	1 
1184:	1 2 
1185:	2 
1187:	3 
1189:	1 
1190:	1 
1194:	1 
1196:	3 
1197:	2 
1199:	1 
12:	2 
1200:	2 
1204:	3 
1205:	2 
1207:	2 
1208:	1 2 
1209:	1 
121:	1 
1210:	1 1 
1212:	1 
1213:	1 
1215:	1 
1216:	3 
1218:	3 
1219:	1 
122:	1 
1220:	2 
1221:	1 
1223:	1 
1224:	1 
1225:	2 
1229:	1 
123:	1 
1234:	1 
1235:	2 
1238:	1 1 
1239:	1 
1240:	2 
1244:	1 
1246:	1 
1247:	1 
1248:	1 
1249:	2 
125:	2 
1251:	1 
1253:	2 1 
1254:	1 
1255:	1 
1256:	5 
1257:	3 
1259:	2 
126:	1 
1260:	1 
1261:	3 
1262:	1 
1265:	1 
1266:	1 
1267:	1 
1268:	1 
1269:	1 
1273:	3 
1276:	1 
1277:	1 2 
1278:	1 
1279:	2 
128:	1 
1281:	1 1 
1282:	2 
1286:	1 
1287:	4 
1290:	2 
1291:	1 
1294:	2 
1296:	2 
1297:	1 
1299:	3 
13:	1 
1300:	1 
1301:	3 
1302:	1 
1303:	2 
1304:	3 
1305:	1 
1306:	1 
1307:	4 
1308:	1 
1309:	2 
131:	1 4 
1310:	1 
1312:	1 2 
1316:	1 
1317:	1 
1319:	2 
132:	1 
1322:	1 
1325:	1 
1327:	2 
133:	1 
1330:	2 
1331:	1 
1337:	1 
1338:	1 
134:	1 
1340:	1 
1341:	1 
1342:	1 
1344:	1 
1345:	1 
1346:	1 
1348:	2 
1349:	1 
135:	1 2 
1350:	1 
1352:	1 
1353:	2 
