=== non-contiguous nft : chains ===
Found 869 chain interruption in 7191 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 3 
100:	1 1 
1000:	1 
1001:	1 
1002:	1 
1005:	1 
1006:	1 
1007:	3 
1008:	4 
1009:	2 
1010:	2 1 
1011:	3 
1012:	2 
1013:	3 
1015:	2 
1016:	2 
1017:	3 
1019:	2 
102:	2 1 
1020:	1 
1021:	2 
1022:	1 
1023:	3 
1024:	1 
1025:	2 1 
1026:	4 1 1 
1027:	1 
1028:	1 
1029:	1 
103:	2 
1030:	3 
1031:	1 
1032:	2 
1033:	3 
1034:	2 
1035:	4 
1036:	1 
1037:	2 
1038:	1 
1039:	3 
104:	2 
1040:	1 
1041:	2 
1042:	2 
1043:	3 
1044:	1 
1045:	1 
1046:	1 
1047:	1 3 
1048:	3 
1049:	2 1 
105:	2 
1050:	1 
1051:	2 
1052:	1 
1053:	2 
1054:	2 
1055:	3 
1056:	1 
1057:	3 1 
1058:	2 
1059:	1 
106:	1 
1060:	1 
1061:	1 
1062:	1 
1063:	3 
1064:	1 
1065:	2 
1066:	2 
1067:	2 
1068:	2 
1069:	3 
107:	2 
1071:	2 
1072:	2 
1073:	1 
1074:	5 
1075:	4 
1076:	1 
1077:	4 
1078:	1 
1079:	3 
108:	2 
1080:	2 
1081:	1 1 
1082:	1 
1083:	3 
1084:	1 
1085:	1 
1086:	2 
1087:	3 
1088:	2 
1089:	5 
109:	1 
1090:	4 
1091:	2 
1092:	1 1 
1093:	3 
1094:	1 
1096:	3 
1097:	2 
1098:	1 
1099:	1 
11:	2 
110:	2 
1100:	3 
1101:	1 
1102:	1 
1103:	2 
1104:	3 
1106:	2 
1107:	3 
1108:	1 
1109:	2 
111:	2 
1110:	2 
1111:	4 
1112:	2 
1113:	1 
1114:	1 
1115:	1 
1116:	3 
1117:	2 
1118:	1 
1119:	2 1 
112:	2 2 
1120:	2 
1121:	1 
1122:	1 
1123:	1 1 
1124:	2 
1125:	2 
1126:	4 
1127:	3 
113:	2 
1130:	4 
1131:	4 
1132:	1 
1133:	3 
1134:	1 
1135:	2 
1136:	1 
1137:	2 
114:	1 
1143:	2 
1144:	1 
1145:	3 
1146:	1 
1147:	4 
1148:	2 
1149:	1 
115:	1 
1150:	3 
1151:	1 
1152:	2 
1153:	3 
1154:	1 1 
1155:	1 
1156:	3 
1157:	1 
1158:	5 
1159:	1 
116:	1 
1160:	1 
1161:	1 
1162:	2 
1163:	2 
1165:	3 
1166:	4 
1167:	2 
1168:	3 
1169:	1 
117:	3 
1170:	2 
1171:	2 
1172:	1 
1175:	2 
1176:	2 
1177:	2 
1178:	1 
118:	2 
1181:	2 
1182:	1 1 
1183:	1 
1184:	3 
1185:	1 
1186:	2 
1187:	2 
1188:	3 2 
1189:	1 
119:	1 
1190:	1 
1191:	3 
1193:	2 
1194:	2 
1195:	1 2 
1196:	1 
1198:	1 
1199:	1 
12:	1 
120:	1 1 
1200:	1 
1201:	3 1 1 
1202:	1 
1203:	3 
1204:	1 
1205:	1 
1206:	3 
1207:	1 
1208:	1 
121:	3 2 
1210:	3 1 
1211:	1 1 
1212:	2 
1214:	2 
1215:	1 
1216:	5 1 
1217:	2 
1218:	2 
1219:	1 
122:	1 
1220:	2 
1221:	4 
1222:	2 
1223:	3 
1224:	4 
1225:	4 
1226:	1 
1227:	1 
1228:	2 
1229:	2 
123:	1 
1231:	2 
1232:	2 
1233:	1 
1234:	2 
1235:	2 
1236:	2 
1237:	5 
1238:	3 1 
1239:	2 
124:	1 
1240:	3 
1241:	2 
1242:	1 1 
1243:	2 1 
1244:	4 
1245:	1 
1246:	2 1 
1248:	2 
1249:	2 
1250:	1 
1251:	4 
1252:	4 
1253:	1 
1254:	2 
1255:	2 
1256:	5 
1257:	1 
1258:	1 
1259:	3 
126:	1 
1260:	1 4 1 
1261:	1 
1262:	2 
1263:	1 
1264:	3 
1265:	1 
1266:	1 
1267:	1 
1268:	2 
1269:	3 
127:	1 
1271:	2 
1273:	2 
1274:	1 
1275:	1 2 
1276:	5 
1277:	2 
1278:	3 
1279:	1 
1280:	5 
1281:	4 
1282:	2 
1283:	1 
1284:	2 
1285:	2 
1286:	1 
1287:	2 
1288:	1 
1289:	2 
129:	4 
1290:	2 
1291:	1 
1292:	1 
1293:	2 
1294:	2 
1295:	3 
1296:	2 
1297:	1 2 
1298:	1 
1299:	2 
13:	1 
130:	7 
1300:	2 
1301:	1 3 
1302:	3 
1303:	3 
1304:	2 
1305:	1 
1306:	3 
1307:	1 
1308:	3 
1309:	2 
131:	3 
1310:	3 
1311:	2 
1312:	1 2 
1313:	2 
1314:	1 
1315:	1 
1316:	2 
1317:	2 
1318:	1 
1319:	1 
132:	2 
1320:	1 
1321:	1 
1322:	5 1 
1323:	1 
1324:	1 
1325:	1 
1326:	1 
1327:	6 
1328:	1 
1329:	1 
133:	2 
1330:	2 
1331:	1 
1332:	2 
1334:	1 
1335:	1 2 
1336:	1 
1337:	1 
1338:	3 
1339:	2 
134:	1 
1340:	1 
1341:	1 
1342:	1 
1343:	5 
1344:	3 
1345:	1 
1346:	3 
1347:	3 1 
1348:	1 
1349:	2 
135:	5 
1350:	2 
1351:	2 2 
1352:	3 
1353:	1 
1354:	1 
1355:	1 
1356:	1 
1357:	1 
1358:	2 
1359:	1 3 
136:	1 
1360:	3 
1361:	1 1 
1362:	1 
1363:	2 2 
1364:	1 
1365:	1 
1366:	1 
1367:	2 
1368:	2 
137:	1 
1371:	3 
1372:	1 
1373:	2 
1374:	1 
1375:	2 
1376:	2 
1377:	1 1 
1378:	1 
1379:	1 4 
138:	1 
1380:	3 
1383:	2 
1384:	4 
1385:	2 
1386:	2 
1387:	2 
1388:	1 
1389:	1 
139:	1 
1390:	3 1 
1391:	2 1 
1392:	3 
1393:	1 
1394:	1 
1395:	1 
1396:	2 
1397:	1 
1398:	2 
1399:	2 
14:	1 
140:	1 
1400:	2 
1401:	1 
1402:	3 
1403:	4 2 3 
1404:	1 
1407:	4 
1408:	2 
1409:	3 1 
141:	2 
1410:	3 
1411:	2 
1412:	1 
1413:	1 4 
1414:	2 
1415:	2 
1416:	3 
1417:	4 
142:	2 
1420:	1 
1421:	1 
1422:	2 
1424:	3 
1425:	1 
1426:	1 
1427:	2 
1428:	2 
1429:	1 
1430:	3 
1431:	1 
1432:	3 
1433:	1 
1434:	1 
1435:	2 
1437:	1 
1439:	2 
1440:	1 
1441:	3 1 1 
1442:	1 
1443:	2 2 
1444:	3 
1445:	2 
1446:	1 
1447:	3 
1448:	1 
1449:	4 1 
145:	1 1 
1450:	1 
1451:	2 
1452:	2 
1453:	2 
1454:	3 
1456:	3 
1457:	1 
1458:	3 
1459:	2 
146:	1 
1460:	3 
1461:	3 
1462:	2 
1463:	2 
1464:	1 
1465:	1 1 
1466:	1 
1467:	2 
1468:	1 
1469:	1 
147:	4 1 
1470:	1 
1471:	4 
1472:	1 
1473:	3 
1474:	1 
1475:	1 
1476:	2 
1477:	1 
1478:	1 
1479:	2 
148:	1 
1480:	1 
1481:	1 
1482:	1 
1483:	1 
1484:	1 
1485:	2 
1486:	3 
1487:	4 
1488:	1 
1489:	1 
149:	1 
1490:	1 
1491:	4 
1492:	2 
1494:	1 
1495:	1 
1496:	2 
1497:	3 
1498:	2 
1499:	1 
15:	1 
150:	2 
1500:	1 
1501:	2 
1502:	2 
1503:	2 
1504:	1 
1505:	4 
1506:	2 
1509:	1 
151:	3 
1510:	2 
1511:	4 
1513:	1 
1514:	1 
1515:	1 
1516:	1 
1517:	1 
1518:	1 
1519:	1 
152:	1 
1520:	2 
1521:	2 
1522:	2 
1523:	1 
1524:	2 
1525:	5 1 
1526:	2 
1527:	1 
1528:	1 
1529:	2 
153:	5 
1530:	2 
1531:	5 3 
1532:	2 
1533:	2 
1534:	4 
1535:	2 
1536:	3 
1538:	1 
1539:	1 1 1 2 1 
154:	1 
1540:	1 
1541:	2 
1543:	2 
1544:	2 
1545:	2 
1546:	4 
1547:	1 
1548:	1 
1549:	1 
155:	1 
1550:	4 
1551:	6 
1552:	1 
1553:	1 
1554:	1 
1555:	1 
1556:	3 
1557:	2 
1558:	3 
1559:	3 
156:	1 
1560:	4 
1561:	2 
1562:	1 
1563:	2 
1564:	3 
1565:	2 
1566:	1 
1567:	6 
1568:	1 
1569:	2 
157:	1 
