=== non-contiguous nft : chains ===
Found 617 chain interruption in 6008 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1001:	4 
1002:	1 
1003:	1 
1004:	2 
1005:	2 
1006:	3 
1007:	2 
1009:	2 
101:	3 
1010:	1 
1012:	3 
1013:	2 
1014:	2 
1015:	1 
1016:	4 
1017:	1 
1018:	2 
1019:	3 
102:	1 
1020:	1 
1022:	1 
1023:	1 
1024:	2 
1025:	4 
1026:	2 
1028:	1 
1029:	1 
1030:	2 
1031:	2 
1032:	1 
1033:	3 
1034:	2 
1035:	1 
1036:	3 
1037:	1 
104:	2 
1040:	2 
1041:	1 
1044:	2 1 2 1 
1047:	1 
1049:	4 
105:	3 
1050:	1 
1051:	1 
1052:	1 
1053:	1 
1054:	2 
1055:	1 
1056:	2 
1057:	2 
1058:	1 
1059:	1 
106:	5 
1060:	3 
1061:	1 
1062:	1 
1063:	2 
1064:	3 
1065:	2 
1066:	2 
1067:	5 
1068:	3 
1069:	6 
107:	1 
1070:	3 
1071:	5 
1072:	2 
1073:	2 
1074:	4 
1075:	1 
1076:	1 
1077:	3 
1078:	1 1 
1079:	3 2 
108:	2 
1080:	4 
1081:	2 1 
1082:	1 
1083:	1 
1084:	2 
1085:	2 
1086:	2 
1087:	1 1 
1088:	2 
1089:	3 
109:	1 
1090:	3 
1091:	2 
1092:	3 
1093:	1 1 
1094:	2 
1095:	4 
1098:	2 
1099:	3 2 
110:	2 
1100:	1 1 
1101:	1 1 1 
1105:	2 
1107:	5 
1108:	1 
111:	1 
1110:	1 
1111:	1 
1112:	4 
1113:	4 
1114:	1 
1115:	1 
1118:	1 
1119:	4 
112:	1 
1120:	2 
1121:	1 1 1 
1122:	3 
1123:	3 
1124:	2 
1125:	2 
1126:	2 
1127:	1 
1128:	2 
1129:	1 
113:	1 
1130:	1 
1131:	1 
1132:	2 
1133:	4 
1134:	1 
1135:	2 
1136:	1 
1137:	3 
1138:	3 
114:	1 
1148:	3 
1149:	2 
115:	1 
1150:	1 
1151:	2 
1152:	2 
1155:	3 
1156:	1 
1157:	1 
116:	1 
1160:	2 
1161:	1 
1162:	1 
1163:	1 
1164:	1 
1165:	3 
1166:	2 
1167:	3 
1168:	2 
1169:	1 
117:	1 
1170:	2 
1171:	4 2 
1172:	1 
1173:	2 
1174:	2 
1175:	3 
1176:	3 
1177:	2 
1178:	1 1 1 
1180:	3 
1181:	1 
1182:	1 2 
1183:	2 
1184:	2 
1185:	2 
1186:	2 
1187:	3 
1188:	4 
1189:	2 2 
1190:	2 
1191:	2 
1192:	5 
1193:	2 
1194:	6 
1196:	1 1 
1197:	2 
1198:	1 
1199:	2 
1200:	1 
1201:	3 
1202:	4 
1203:	2 
121:	1 
1210:	1 
1211:	2 
1213:	1 
1214:	4 
1215:	3 
1216:	1 
1217:	1 
1218:	1 
122:	1 
1220:	1 
1223:	1 
1224:	3 
1225:	1 
1226:	1 
1227:	1 
1228:	2 
1229:	1 
123:	2 
1230:	3 
