
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 9265 = 2h34min25s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 37504

size 2 → 16328 pattern
size 3 → 6542 pattern
size 4 → 3749 pattern
size 5 → 2375 pattern
size 6 → 1684 pattern
size 7 → 1170 pattern
size 8 → 892 pattern
size 9 → 686 pattern
size 10 → 545 pattern
size 11 → 444 pattern
size 12 → 349 pattern
size 13 → 280 pattern
size 14 → 257 pattern
size 15 → 233 pattern
size 16 → 202 pattern
size 17 → 162 pattern
size 18 → 121 pattern
size 19 → 138 pattern
size 20 → 125 pattern
size 21 → 95 pattern
size 22 → 76 pattern
size 23 → 107 pattern
size 24 → 83 pattern
size 25 → 62 pattern
size 26 → 54 pattern
size 27 → 55 pattern
size 28 → 44 pattern
size 29 → 43 pattern
size 30 → 56 pattern
size 31 → 39 pattern
size 32 → 42 pattern
size 33 → 27 pattern
size 34 → 31 pattern
size 35 → 20 pattern
size 36 → 33 pattern
size 37 → 31 pattern
size 38 → 20 pattern
size 39 → 17 pattern
size 40 → 21 pattern
size 41 → 22 pattern
size 42 → 16 pattern
size 43 → 13 pattern
size 44 → 12 pattern
size 45 → 5 pattern
size 46 → 11 pattern
size 47 → 11 pattern
size 48 → 11 pattern
size 49 → 5 pattern
size 50 → 6 pattern
size 51 → 8 pattern
size 52 → 9 pattern
size 53 → 5 pattern
size 54 → 2 pattern
size 55 → 5 pattern
size 56 → 6 pattern
size 57 → 3 pattern
size 58 → 3 pattern
size 59 → 4 pattern
size 60 → 4 pattern
size 61 → 2 pattern
size 62 → 1 pattern
size 63 → 6 pattern
size 64 → 3 pattern
size 65 → 3 pattern
size 66 → 4 pattern
size 67 → 3 pattern
size 68 → 4 pattern
size 69 → 2 pattern
size 70 → 5 pattern
size 71 → 5 pattern
size 72 → 3 pattern
size 73 → 3 pattern
size 74 → 2 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 79 → 1 pattern
size 80 → 1 pattern
size 81 → 2 pattern
size 83 → 1 pattern
size 85 → 2 pattern
size 86 → 3 pattern
size 87 → 3 pattern
size 88 → 1 pattern
size 89 → 1 pattern
size 90 → 3 pattern
size 91 → 2 pattern
size 92 → 1 pattern
size 93 → 1 pattern
size 97 → 2 pattern
size 98 → 1 pattern
size 100 → 1 pattern
size 106 → 1 pattern
size 107 → 1 pattern
size 109 → 1 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 126 → 1 pattern
size 128 → 1 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 142 → 1 pattern
size 148 → 1 pattern
size 158 → 1 pattern
size 167 → 1 pattern
size 170 → 1 pattern
size 175 → 1 pattern
size 189 → 1 pattern
size 193 → 1 pattern
size 196 → 1 pattern
size 222 → 1 pattern
size 229 → 1 pattern
size 230 → 1 pattern
size 250 → 2 pattern
size 281 → 1 pattern
size 289 → 1 pattern
size 428 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 3400

