
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 122847 = 1d10h7min27s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 33674

size 2 → 12405 pattern
size 3 → 5748 pattern
size 4 → 3456 pattern
size 5 → 2356 pattern
size 6 → 1696 pattern
size 7 → 1263 pattern
size 8 → 944 pattern
size 9 → 751 pattern
size 10 → 641 pattern
size 11 → 497 pattern
size 12 → 413 pattern
size 13 → 341 pattern
size 14 → 278 pattern
size 15 → 261 pattern
size 16 → 230 pattern
size 17 → 202 pattern
size 18 → 164 pattern
size 19 → 165 pattern
size 20 → 161 pattern
size 21 → 141 pattern
size 22 → 105 pattern
size 23 → 104 pattern
size 24 → 106 pattern
size 25 → 85 pattern
size 26 → 68 pattern
size 27 → 71 pattern
size 28 → 79 pattern
size 29 → 56 pattern
size 30 → 62 pattern
size 31 → 42 pattern
size 32 → 53 pattern
size 33 → 47 pattern
size 34 → 48 pattern
size 35 → 28 pattern
size 36 → 48 pattern
size 37 → 27 pattern
size 38 → 27 pattern
size 39 → 31 pattern
size 40 → 21 pattern
size 41 → 39 pattern
size 42 → 25 pattern
size 43 → 15 pattern
size 44 → 18 pattern
size 45 → 15 pattern
size 46 → 26 pattern
size 47 → 18 pattern
size 48 → 7 pattern
size 49 → 9 pattern
size 50 → 8 pattern
size 51 → 13 pattern
size 52 → 14 pattern
size 53 → 7 pattern
size 54 → 7 pattern
size 55 → 5 pattern
size 56 → 10 pattern
size 57 → 6 pattern
size 58 → 3 pattern
size 59 → 8 pattern
size 60 → 7 pattern
size 61 → 7 pattern
size 62 → 5 pattern
size 63 → 3 pattern
size 64 → 6 pattern
size 65 → 4 pattern
size 66 → 6 pattern
size 67 → 6 pattern
size 68 → 7 pattern
size 69 → 4 pattern
size 70 → 5 pattern
size 71 → 4 pattern
size 72 → 4 pattern
size 73 → 9 pattern
size 74 → 3 pattern
size 75 → 4 pattern
size 76 → 2 pattern
size 77 → 1 pattern
size 78 → 2 pattern
size 79 → 5 pattern
size 80 → 7 pattern
size 81 → 2 pattern
size 82 → 1 pattern
size 83 → 1 pattern
size 84 → 3 pattern
size 85 → 1 pattern
size 86 → 2 pattern
size 87 → 2 pattern
size 88 → 4 pattern
size 89 → 1 pattern
size 90 → 1 pattern
size 91 → 1 pattern
size 92 → 1 pattern
size 93 → 4 pattern
size 94 → 1 pattern
size 95 → 2 pattern
size 98 → 2 pattern
size 99 → 2 pattern
size 100 → 4 pattern
size 102 → 2 pattern
size 103 → 2 pattern
size 104 → 2 pattern
size 106 → 1 pattern
size 107 → 2 pattern
size 108 → 1 pattern
size 109 → 3 pattern
size 110 → 4 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 116 → 2 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 124 → 1 pattern
size 126 → 1 pattern
size 128 → 1 pattern
size 129 → 1 pattern
size 130 → 1 pattern
size 135 → 1 pattern
size 137 → 2 pattern
size 139 → 1 pattern
size 142 → 2 pattern
size 146 → 1 pattern
