
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 89795761 = 2y10m1w2d7h16min1s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 22527

size 2 → 7459 pattern
size 3 → 3484 pattern
size 4 → 2126 pattern
size 5 → 1419 pattern
size 6 → 1073 pattern
size 7 → 830 pattern
size 8 → 656 pattern
size 9 → 535 pattern
size 10 → 445 pattern
size 11 → 362 pattern
size 12 → 294 pattern
size 13 → 267 pattern
size 14 → 234 pattern
size 15 → 213 pattern
size 16 → 176 pattern
size 17 → 177 pattern
size 18 → 158 pattern
size 19 → 125 pattern
size 20 → 133 pattern
size 21 → 119 pattern
size 22 → 104 pattern
size 23 → 90 pattern
size 24 → 108 pattern
size 25 → 111 pattern
size 26 → 88 pattern
size 27 → 63 pattern
size 28 → 76 pattern
size 29 → 61 pattern
size 30 → 77 pattern
size 31 → 56 pattern
size 32 → 62 pattern
size 33 → 62 pattern
size 34 → 60 pattern
size 35 → 25 pattern
size 36 → 50 pattern
size 37 → 36 pattern
size 38 → 46 pattern
size 39 → 39 pattern
size 40 → 23 pattern
size 41 → 35 pattern
size 42 → 37 pattern
size 43 → 40 pattern
size 44 → 33 pattern
size 45 → 27 pattern
size 46 → 38 pattern
size 47 → 29 pattern
size 48 → 21 pattern
size 49 → 32 pattern
size 50 → 12 pattern
size 51 → 28 pattern
size 52 → 22 pattern
size 53 → 22 pattern
size 54 → 13 pattern
size 55 → 13 pattern
size 56 → 14 pattern
size 57 → 13 pattern
size 58 → 7 pattern
size 59 → 11 pattern
size 60 → 14 pattern
size 61 → 21 pattern
size 62 → 15 pattern
size 63 → 16 pattern
size 64 → 13 pattern
size 65 → 15 pattern
size 66 → 9 pattern
size 67 → 4 pattern
size 68 → 11 pattern
size 69 → 13 pattern
size 70 → 13 pattern
size 71 → 9 pattern
size 72 → 10 pattern
size 73 → 11 pattern
size 74 → 7 pattern
size 75 → 14 pattern
size 76 → 3 pattern
size 77 → 6 pattern
size 78 → 7 pattern
size 79 → 4 pattern
size 80 → 13 pattern
size 81 → 4 pattern
size 82 → 5 pattern
size 83 → 5 pattern
size 84 → 6 pattern
size 85 → 7 pattern
size 86 → 13 pattern
size 87 → 8 pattern
size 88 → 9 pattern
size 89 → 4 pattern
size 90 → 3 pattern
size 91 → 4 pattern
size 92 → 5 pattern
size 93 → 5 pattern
size 94 → 3 pattern
size 95 → 3 pattern
size 96 → 3 pattern
size 97 → 3 pattern
size 98 → 2 pattern
size 99 → 4 pattern
size 100 → 6 pattern
size 101 → 4 pattern
size 102 → 8 pattern
size 103 → 3 pattern
size 104 → 3 pattern
size 106 → 2 pattern
size 107 → 4 pattern
size 108 → 4 pattern
size 109 → 2 pattern
size 110 → 8 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 113 → 3 pattern
size 114 → 6 pattern
size 116 → 4 pattern
size 117 → 8 pattern
size 118 → 2 pattern
size 120 → 2 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 124 → 1 pattern
size 125 → 1 pattern
size 127 → 1 pattern
size 128 → 2 pattern
size 129 → 3 pattern
