=== non-contiguous nft : chains ===
Found 939 chain interruption in 5909 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1005:	1 
1006:	2 
1007:	3 2 
1008:	2 
1009:	3 
1014:	1 3 
1015:	1 
1016:	2 
1017:	1 
1019:	1 
1020:	2 
1026:	2 
1031:	1 
1033:	2 
1039:	1 
104:	1 
1042:	2 
1043:	2 
1044:	1 
1045:	1 
1049:	1 
1051:	1 
1052:	2 
1054:	1 
1055:	1 
1057:	1 
1058:	2 
1063:	2 
1064:	2 
1065:	1 
1066:	2 1 
1069:	1 
1070:	1 
1071:	1 
1075:	2 
1076:	2 3 
1077:	5 
1078:	2 
1079:	1 
1080:	3 
1081:	3 
1082:	1 
1099:	1 
1113:	3 1 
1114:	2 
1115:	4 
1116:	1 
1118:	2 
1119:	1 
1120:	1 
1121:	1 
1122:	2 
1123:	3 
1124:	1 
1125:	4 
1126:	1 
1127:	1 
1128:	1 
1129:	1 
1130:	1 
1131:	2 
1137:	2 1 
1139:	1 
1140:	1 
1141:	1 
1142:	1 
1143:	2 
1144:	1 1 
1146:	1 
1147:	1 
1148:	3 
1151:	2 
1152:	2 
1153:	4 
1154:	1 
1155:	2 
1156:	1 
1157:	2 
1158:	2 
1159:	3 
116:	2 1 
1160:	1 
1161:	1 
1162:	1 
1163:	1 
1164:	1 
1165:	1 1 
1166:	1 
1171:	2 
1172:	2 
1173:	1 
1174:	1 
1175:	3 
1176:	1 
1177:	3 
1178:	1 
1179:	2 
118:	1 
1180:	2 
1181:	1 
1188:	1 
1189:	2 
1190:	1 
1191:	1 
1192:	3 
1193:	1 
1194:	1 
1195:	1 
1196:	1 
1197:	1 
1198:	2 
1199:	3 1 
1200:	1 
1201:	2 
1202:	1 
1203:	3 1 
1204:	1 
1205:	4 
1206:	3 
1207:	2 
1208:	4 
1209:	2 
1211:	1 
1215:	2 
1216:	1 
1217:	1 
1218:	1 
1219:	1 1 
1220:	3 
1222:	1 2 
1223:	1 
1224:	1 
1225:	2 
1226:	2 
1227:	2 
1228:	2 
1229:	2 
1230:	2 1 
1231:	2 1 
1232:	1 1 
1233:	2 
1234:	1 
1235:	2 
1236:	3 1 1 
1237:	1 
1238:	1 
1239:	1 
1240:	1 
1241:	2 
1242:	1 2 
1243:	2 
1244:	1 
1245:	1 
1246:	3 
1247:	2 
1248:	1 
1249:	1 
1250:	3 
1251:	2 
1252:	3 
1253:	1 
1254:	4 
1256:	4 4 
1257:	3 
1258:	1 
1259:	1 
1260:	2 
1261:	2 
1262:	2 
1264:	1 1 
1265:	1 
1266:	1 1 
1268:	2 
1275:	2 1 
1278:	2 
1279:	1 
1280:	3 
1281:	2 
1284:	3 
1285:	2 
1286:	1 
1287:	1 
1288:	1 
1289:	1 
1290:	1 
1291:	1 
1292:	1 
1293:	1 
1294:	1 
1295:	1 
1296:	1 
1297:	1 
1299:	1 
1300:	1 
1301:	1 
1302:	1 
1303:	1 
1304:	1 
1305:	1 
1306:	1 1 
1307:	1 
1308:	1 
1309:	1 
1310:	1 
1311:	2 
1312:	1 
1314:	2 
1317:	1 
1318:	1 
1319:	1 
1320:	1 
1322:	3 
1323:	2 
1324:	1 
1325:	2 
1326:	2 
1327:	2 
1328:	2 
1329:	1 1 
1330:	3 
1331:	1 
1332:	1 
1333:	1 
1334:	1 
1335:	1 
1336:	1 
1339:	2 
1350:	2 
1351:	2 
1352:	3 
1355:	1 1 
1356:	1 
1357:	2 
1358:	1 
1359:	1 
1361:	1 
1362:	1 
1363:	1 1 
1364:	3 
1366:	1 2 
1368:	2 
1369:	4 
1370:	2 
1371:	2 
1378:	3 
1379:	1 
1380:	6 
1382:	2 
1383:	2 
1384:	2 
1385:	2 1 
1386:	3 
1387:	1 
1388:	1 
1389:	1 1 
1392:	1 
1393:	4 
1394:	2 
1395:	2 
1396:	2 
1397:	4 
1398:	1 
1399:	2 
1402:	2 
1403:	2 
1404:	3 
1405:	1 3 
1406:	2 
1407:	2 
1408:	3 1 
1409:	1 
1410:	1 
1411:	1 
1412:	3 1 
1413:	2 
1414:	1 
1416:	1 
1417:	2 
1419:	1 
1420:	3 
1421:	4 
1422:	1 
1423:	3 
1424:	2 
1428:	2 
1429:	4 
1432:	2 
1434:	1 
1435:	1 2 
1436:	2 
1437:	2 
1438:	3 
1439:	1 
1440:	1 
1441:	2 
1442:	2 
1445:	1 3 
1446:	1 
1447:	1 1 
1448:	2 
1449:	2 
1452:	3 
1453:	1 2 
1454:	5 
1455:	1 1 
1456:	4 2 
1457:	1 1 
1458:	1 
1459:	1 
1461:	1 
1462:	3 
1463:	1 
1464:	2 
1465:	3 
1466:	2 
1467:	1 
1468:	3 
1470:	3 
1471:	1 
1472:	3 
1473:	3 
1475:	1 
1476:	1 
1477:	2 
1478:	1 
1479:	3 
1480:	1 
1481:	3 
1482:	6 
1483:	4 
1484:	1 
1485:	1 
1486:	1 
1487:	2 
1489:	2 1 
1490:	2 
1491:	1 
1492:	2 1 
1493:	1 
1494:	3 
1495:	1 
1496:	2 
1497:	1 
1498:	1 
1499:	2 
1500:	2 
1501:	3 
1502:	1 
1504:	1 
1505:	1 
1506:	1 
1507:	2 
1508:	2 
1509:	3 
1510:	1 
1511:	3 
1512:	1 
1513:	2 
1514:	2 
1516:	1 
1517:	1 
1518:	5 
1519:	1 
1520:	2 
1529:	1 
1530:	3 
1531:	1 
1532:	2 
1533:	1 2 
1534:	2 
1535:	1 
1536:	1 
1537:	2 1 
1538:	1 
1539:	1 
1540:	2 
1541:	3 
1542:	5 
1543:	1 
1544:	4 1 
1545:	1 
1546:	2 
1548:	2 
1549:	2 
1550:	2 
1551:	1 
1552:	3 
1553:	3 
1555:	1 
1556:	1 
1557:	1 
1558:	1 
1562:	1 
1563:	1 1 
1564:	2 
1565:	1 
1567:	3 
1571:	1 
1572:	4 
1576:	1 
1577:	1 
1578:	1 2 
1584:	1 1 1 
1585:	2 3 
1586:	3 
1587:	1 
1588:	1 
1591:	1 
1593:	1 
1594:	1 1 
1596:	2 
1597:	2 
1598:	3 
1599:	1 
1600:	1 
1601:	1 
1607:	1 
1608:	1 
1609:	2 1 
1610:	1 
1612:	1 
1613:	1 
1615:	1 
1616:	1 
1622:	1 
1623:	2 
1624:	3 
1625:	1 
1626:	1 
1629:	1 
1630:	1 
1631:	1 
1632:	3 
1643:	1 
1644:	1 
1645:	1 
1646:	1 
1647:	2 
1655:	2 
1656:	2 1 1 
1657:	2 
1658:	1 1 
1659:	2 2 2 2 
1662:	1 
1663:	3 
1664:	1 1 
1665:	2 
1666:	2 
1667:	1 
1668:	1 
1670:	2 
1671:	1 
1672:	1 
1673:	2 
1674:	3 
1675:	1 1 1 
1676:	1 
1677:	2 
1678:	2 
1679:	2 
1681:	4 
1683:	1 
1685:	2 
1686:	2 
1689:	2 
1690:	1 
1691:	1 1 
1694:	1 
1695:	1 1 
1697:	1 1 
1698:	1 1 
1699:	1 
1705:	1 
1706:	1 
1707:	1 
1733:	2 
1734:	2 
1736:	1 
1742:	1 
1744:	1 
1745:	4 
1747:	1 
1748:	2 
1749:	2 
1750:	2 
1751:	1 1 
1752:	1 1 
1754:	2 
1755:	2 
1756:	1 
1757:	1 
1758:	1 
1759:	1 
1760:	1 
1761:	1 
1762:	3 
1763:	1 
1764:	2 
1767:	2 1 
1768:	1 
1770:	3 
1771:	4 
1772:	2 
1773:	3 2 
1774:	2 
1775:	2 
1776:	1 
1777:	1 
1778:	1 
1779:	1 
1780:	1 
1781:	2 
1782:	2 
1783:	2 1 
1784:	1 1 
1785:	2 
1786:	2 
1787:	1 
1788:	2 
1796:	1 
1797:	1 
1798:	2 
1799:	1 
1800:	3 1 
1801:	2 
1802:	1 
1803:	1 
1804:	1 
1805:	2 
1807:	1 
1808:	1 
1809:	1 
1810:	2 
1811:	2 
1812:	1 
1813:	2 
1814:	1 
1815:	1 
1816:	1 
1817:	2 
1818:	2 
1819:	3 
1820:	2 
1822:	1 
1824:	2 
1826:	1 
1828:	2 
1830:	1 
1840:	1 1 1 
1841:	1 1 1 1 
1842:	1 
1843:	1 1 2 
1844:	2 2 
1845:	1 1 
1846:	1 1 
1847:	3 
1848:	1 
1849:	1 
1850:	1 
1851:	1 
1852:	1 
1853:	1 
1855:	3 
1856:	1 
1857:	1 
1858:	1 
1859:	1 
1860:	1 
1863:	1 
1865:	1 2 
1866:	2 
1873:	1 
1876:	5 
1877:	1 
1878:	2 
1881:	2 
1882:	2 
1885:	1 
1887:	1 
1888:	1 
1889:	1 
1905:	1 
1906:	1 
1907:	1 
1908:	2 
1909:	2 
1910:	1 
1912:	1 
1913:	1 
1917:	1 1 
1920:	3 
1944:	2 
1945:	2 
1946:	2 
1947:	2 
1948:	1 
1949:	1 
1950:	3 2 
1951:	2 
1953:	1 1 
1956:	1 
1957:	2 1 
1958:	2 
1963:	1 
1964:	1 
1965:	1 
1966:	1 
1967:	1 
1968:	1 
1969:	1 1 
1970:	5 
1971:	2 
1972:	1 
1973:	2 
1976:	1 
1977:	3 
1978:	1 
1979:	2 
1980:	1 
1981:	1 
1982:	2 
1983:	1 
1984:	4 
1985:	1 
1987:	2 
1988:	2 
1990:	1 
1991:	1 
2025:	1 3 1 
2026:	1 3 1 
2027:	3 1 1 3 
2028:	1 3 
2029:	4 
2030:	2 
2031:	1 
2032:	3 
2033:	3 
2034:	3 
2036:	2 
2037:	2 
2039:	2 
2041:	3 
2042:	2 1 
2043:	1 
2044:	2 
2045:	1 
2046:	2 
2047:	1 
2048:	3 
2049:	1 1 
2050:	1 
2051:	3 
2065:	1 
2066:	2 
2067:	3 1 
2068:	1 
2069:	2 
2070:	1 1 
2073:	2 
2076:	2 
2077:	2 1 
2078:	2 
2079:	3 
2080:	3 
2081:	1 
2082:	1 1 1 
2083:	2 
2084:	3 
2085:	2 
2094:	2 1 
2104:	2 
2106:	2 1 
2107:	1 
2118:	2 
2120:	1 
2121:	2 
2122:	1 
2123:	2 
2124:	2 
2153:	1 
2154:	1 
2155:	3 
2156:	2 
2157:	1 
2158:	2 1 
2169:	3 1 
2170:	2 
2171:	2 
2172:	1 1 
2173:	2 
2175:	2 
2176:	2 
2177:	1 
2181:	1 
2184:	2 
2185:	3 
2186:	1 
2189:	1 
2190:	1 
2191:	2 
2193:	2 1 
2194:	1 
2195:	1 1 
2196:	1 1 
2197:	1 2 
2198:	1 
2199:	1 
2200:	1 
2201:	1 
2202:	1 
2203:	1 
2204:	3 
2207:	2 
2208:	2 
2209:	2 1 
2210:	2 
2212:	2 
2213:	2 
2214:	2 
2215:	2 1 
2216:	1 
2256:	1 
2257:	2 
2263:	2 
2269:	1 
2271:	3 
2273:	1 
2274:	2 
2275:	1 
2283:	2 
2284:	2 
2285:	1 
2293:	1 
2294:	1 
2295:	1 
2297:	1 
2301:	2 
2304:	2 
2305:	6 
2306:	3 
2307:	2 1 
2310:	3 2 
2311:	2 
2312:	1 
2313:	2 
2314:	2 1 
2319:	1 
2320:	3 
2321:	1 
2337:	2 
2339:	3 1 
2350:	2 
2351:	1 
2353:	2 
2360:	1 
2361:	2 
2362:	1 
2363:	2 
2368:	1 
2369:	3 
2370:	2 
2371:	1 1 
2372:	1 
2373:	2 
2374:	1 
2377:	1 
2378:	2 
2380:	2 
2383:	1 
2385:	2 
2388:	1 
2389:	1 
2392:	2 
2393:	1 1 1 
2394:	1 
2395:	2 
2396:	1 
2401:	1 
2404:	2 
2406:	1 
2407:	2 
2408:	3 
2409:	1 1 
2410:	2 
2411:	3 
2413:	2 
2414:	2 3 
2417:	1 
2423:	1 
2424:	1 
2425:	3 
2426:	1 
2427:	1 
2428:	1 
2430:	1 
2431:	1 1 
2432:	1 
2436:	1 
2437:	1 
2438:	1 
2439:	1 
2441:	1 
2442:	1 
2445:	3 
2461:	2 
2463:	2 
2465:	1 
2467:	2 2 
2468:	1 
2469:	3 
2470:	3 
2471:	2 1 
2472:	3 
2473:	1 
2474:	1 
2475:	2 
2476:	1 
2477:	3 1 
2478:	2 
2479:	1 
2480:	1 
2481:	3 
2482:	1 
2483:	4 
2487:	2 
2488:	2 
2496:	3 
2497:	1 
2498:	2 
2499:	1 
2500:	1 
2501:	1 
2504:	2 3 
2505:	1 
2506:	2 
2507:	1 1 
2509:	2 
2510:	2 
2511:	1 1 
2512:	1 
2513:	1 
2514:	1 
2515:	1 
2516:	2 
2517:	1 
2518:	1 
2519:	2 
2521:	3 
2525:	1 
2527:	1 
2528:	2 
2529:	1 
2530:	2 
2531:	3 
2532:	2 
2533:	1 
2534:	1 
2535:	4 
2536:	2 1 
2538:	1 
2539:	2 
2540:	1 1 
2541:	1 
2542:	1 
2543:	2 
2544:	1 
2545:	1 
2547:	1 
2548:	1 
2549:	1 
2552:	1 
2553:	1 
2554:	1 
2555:	1 
2556:	1 
2557:	1 
2558:	1 1 
2559:	1 1 
2570:	2 
2571:	1 
2572:	1 
2573:	2 1 
2574:	3 
2575:	1 
2576:	1 
2577:	2 
2578:	3 
2579:	2 
2580:	5 
2581:	1 
2582:	1 
2584:	1 1 
2585:	1 1 
2586:	1 
2587:	1 
2588:	1 
2589:	1 
2590:	1 
2591:	2 
2592:	2 
2593:	1 
2595:	1 
2597:	1 
2598:	2 
2599:	2 
2600:	2 
2623:	3 
2635:	1 
2656:	3 1 2 1 
2657:	2 
2659:	1 
2660:	1 
2661:	2 
2663:	2 1 
2664:	1 
2665:	3 
2666:	1 
2667:	1 
2668:	1 
2669:	2 
2670:	2 
2671:	2 
2672:	1 
2673:	2 
2674:	2 
2675:	2 1 
2676:	2 
2677:	1 1 
2678:	2 
2679:	1 
2683:	2 1 1 
2684:	1 
2685:	1 
2686:	2 
2687:	1 
2688:	4 
2689:	1 
2690:	2 
2691:	1 1 
2692:	1 
2693:	1 
2695:	1 
2696:	2 
2697:	3 
2699:	4 
2700:	1 
2701:	2 
2710:	1 
2715:	3 
2716:	1 
2720:	2 
2724:	2 1 
2725:	2 
2726:	2 
2727:	1 
2728:	1 
2732:	1 
2736:	1 
2747:	3 
2752:	1 
2753:	2 
2757:	1 
2758:	1 
2759:	1 1 
2760:	1 
2762:	1 
2770:	2 1 
2771:	1 
2772:	4 
2773:	1 
2774:	2 
2775:	2 
2776:	1 
2777:	4 
2778:	1 
2779:	1 
2780:	1 
2781:	2 
2782:	3 1 
2785:	1 
2788:	4 1 
2789:	2 
2791:	2 
2792:	2 2 
2793:	2 
2794:	5 
2795:	2 
2796:	3 
2797:	4 
2798:	1 
2799:	1 
2800:	1 
2801:	2 
2802:	2 
2803:	1 2 
2804:	3 
2805:	2 
2806:	1 1 
2807:	1 
2808:	1 
2810:	1 
2811:	1 
2812:	2 
2813:	1 
2814:	1 
2815:	2 
2816:	1 
2817:	1 
2818:	1 
2819:	1 
2820:	1 
2821:	1 
2822:	1 
2824:	2 
2825:	2 
2826:	4 
2827:	2 
2828:	2 3 
2829:	3 
2830:	2 
2831:	2 3 
2832:	1 
2833:	1 
2834:	4 
2835:	1 1 
2836:	3 
2837:	2 
2838:	2 
2839:	1 2 2 1 
2840:	1 
2841:	4 
2842:	1 2 
2843:	2 
2844:	5 
2845:	1 
2846:	2 
2847:	2 
2848:	2 
2849:	1 
2850:	1 
2851:	3 
2852:	2 
2853:	3 
2854:	1 2 
2855:	3 
2856:	2 
2857:	2 
