=== non-contiguous nft : chains ===
Found 73 chain interruption in 1824 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10005:	1 
10023:	1 
10024:	1 
10025:	1 
10026:	1 
10027:	1 
10055:	1 
1006:	1 
1007:	2 
1008:	1 
10148:	1 
1018:	1 
10180:	1 
10185:	1 
10186:	1 
10187:	4 
10204:	2 
10207:	2 
10208:	1 
10212:	1 
10262:	1 
10263:	1 
10264:	1 
10265:	1 
10266:	1 
10275:	1 
10277:	1 
10297:	1 
10300:	2 
10306:	2 
10310:	2 
10311:	2 
10312:	1 
10313:	2 
10314:	1 
10338:	1 
10339:	1 
10340:	1 
10347:	1 
10350:	1 
10360:	1 
10380:	1 
10381:	1 
10382:	1 
10383:	1 
10384:	1 
10385:	2 
10386:	1 
10387:	1 
10388:	2 
10389:	1 
10390:	1 
10391:	1 
10392:	1 
10428:	1 
10429:	1 
10458:	1 
10459:	1 
10540:	1 
10541:	1 
10542:	1 
10543:	1 
10544:	1 
10545:	1 
10546:	1 2 
10552:	1 
10553:	1 
10554:	1 
10559:	1 
10583:	1 
10584:	1 
10585:	1 
10586:	1 
10587:	2 
10590:	1 
10591:	1 
10594:	1 
10595:	1 
10596:	1 
10602:	1 
10713:	1 
10764:	1 
10776:	1 
10842:	1 
10843:	1 
10844:	2 
10845:	1 
10848:	1 
10884:	1 1 
10885:	1 1 
10886:	2 
10887:	1 
10888:	1 
10889:	1 
10890:	1 
10891:	1 
10892:	1 
10893:	1 
10894:	1 
10902:	2 
10903:	1 
10907:	1 
10910:	1 
10911:	2 
10922:	1 
10933:	1 
10934:	1 
10935:	1 
10936:	1 
10937:	1 
10938:	1 
10942:	1 
10959:	1 
10960:	1 
10961:	1 
11031:	1 
11037:	1 
11055:	1 
11071:	1 
11113:	1 
11114:	1 
11116:	1 
11117:	1 
11118:	1 
11119:	1 
11120:	1 
11131:	1 
11139:	1 
11182:	2 
11188:	2 
11192:	2 
11194:	1 
11222:	1 
11223:	2 
11225:	3 1 
11228:	3 1 
11229:	2 
11239:	1 
11240:	1 
11241:	1 
11242:	1 
11287:	1 
11292:	1 
11294:	1 
