=== non-contiguous nft : chains ===
Found 2796 chain interruption in 8288 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	3 
100:	1 2 
1000:	5 
1001:	2 
1002:	1 
1003:	2 
1004:	1 
1005:	2 
1006:	2 2 
1007:	2 2 
1008:	1 
1009:	3 
101:	2 2 
1010:	3 1 
1011:	2 
1012:	2 
1013:	2 
1014:	5 
1015:	2 2 
1016:	3 1 
1017:	1 
1018:	2 
1019:	1 
102:	2 
1020:	3 
1021:	1 
1022:	3 
1023:	2 
1024:	3 
1025:	1 
1026:	3 
1027:	1 
1028:	1 1 
1029:	3 
103:	2 
1030:	2 1 3 
1031:	4 
1032:	2 
1034:	4 
1035:	2 
1036:	2 
1037:	4 
104:	2 
1040:	3 1 
1041:	5 
1042:	1 
1043:	1 
1044:	3 1 
1045:	3 
1046:	4 2 
1047:	3 
1048:	2 
1049:	1 
105:	1 
1050:	2 
1051:	2 1 
1052:	3 
1053:	2 
1054:	2 
1055:	1 
1056:	1 2 1 
1057:	3 
1058:	3 1 
1059:	4 1 
106:	1 
1060:	2 
1061:	2 
1062:	3 1 1 
1063:	1 2 
1064:	3 
1065:	3 2 1 
1066:	5 
1067:	5 1 
1068:	1 
1069:	3 
1070:	1 1 
1071:	1 6 
1072:	4 
1073:	2 2 
1074:	2 
1075:	2 
1076:	1 
1077:	1 
1078:	4 
1079:	1 
108:	2 
1080:	2 
1081:	2 3 
1082:	2 1 
1083:	2 
1084:	1 1 
1085:	3 2 
1086:	1 2 
1087:	1 3 2 2 
1088:	1 
1089:	1 1 1 
109:	1 
1090:	1 
1091:	1 
1092:	2 
1093:	1 
1094:	2 3 
1095:	2 
1096:	2 1 
1097:	3 1 
1098:	1 1 
1099:	1 
11:	7 
110:	2 
1100:	4 1 2 
1101:	5 
1102:	3 
1103:	2 
1104:	1 
1105:	1 3 
1106:	1 
1107:	1 3 
1108:	2 
1109:	3 
111:	3 1 
1110:	1 2 1 
1113:	2 
1114:	3 1 
1115:	3 
1116:	2 1 
1117:	7 
1118:	4 
1119:	2 1 
112:	5 
1120:	3 
1121:	3 3 
1122:	2 2 
1123:	2 
1124:	4 
1125:	4 
1126:	2 
1127:	2 
1128:	4 
1129:	2 1 2 1 
113:	6 
1130:	2 
1131:	3 2 
1132:	2 
1133:	2 
1134:	1 
1135:	1 2 
1136:	1 1 
1137:	2 
1138:	4 1 
1139:	1 
114:	2 
1140:	2 1 
1141:	2 
1142:	1 
1143:	5 
1144:	3 
1145:	3 1 
1146:	1 
1147:	1 1 
1148:	3 
1149:	2 
115:	1 
1150:	2 
1151:	2 
1152:	4 
1153:	3 2 
1154:	3 
1156:	1 
1157:	1 
1158:	1 
1159:	3 
116:	3 2 
1160:	2 1 
1161:	1 1 
1162:	1 2 
1163:	1 
1164:	1 
1165:	2 5 3 
1166:	4 
1167:	3 3 
1168:	2 
1169:	1 1 4 
117:	1 
1170:	3 
1171:	2 
1172:	6 
1173:	2 2 
1174:	2 
1175:	1 
1176:	1 
