
=== GRAPH INFO ===
Nodi: 14816
Archi: 33502
Duration (sec): 62394958 = 1y in interval [1644257161, 1706652119]
Delta (sec): 62394958 = 1y11m3w6d3h55min58s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 5023

size 2 → 2503 pattern
size 3 → 927 pattern
size 4 → 472 pattern
size 5 → 272 pattern
size 6 → 202 pattern
size 7 → 115 pattern
size 8 → 87 pattern
size 9 → 63 pattern
size 10 → 52 pattern
size 11 → 46 pattern
size 12 → 30 pattern
size 13 → 29 pattern
size 14 → 24 pattern
size 15 → 10 pattern
size 16 → 23 pattern
size 17 → 14 pattern
size 18 → 12 pattern
size 19 → 3 pattern
size 20 → 8 pattern
size 21 → 7 pattern
size 22 → 13 pattern
size 23 → 12 pattern
size 24 → 7 pattern
size 25 → 5 pattern
size 26 → 2 pattern
size 27 → 6 pattern
size 28 → 1 pattern
size 29 → 3 pattern
size 30 → 4 pattern
size 31 → 3 pattern
size 33 → 1 pattern
size 34 → 4 pattern
size 36 → 6 pattern
size 37 → 1 pattern
size 39 → 2 pattern
size 40 → 4 pattern
size 41 → 1 pattern
size 42 → 1 pattern
size 43 → 2 pattern
size 44 → 1 pattern
size 46 → 1 pattern
size 47 → 1 pattern
size 48 → 1 pattern
size 49 → 1 pattern
size 50 → 2 pattern
size 52 → 3 pattern
size 54 → 2 pattern
size 55 → 1 pattern
size 57 → 1 pattern
size 58 → 1 pattern
size 59 → 1 pattern
size 60 → 1 pattern
size 62 → 1 pattern
size 63 → 2 pattern
size 66 → 1 pattern
size 69 → 2 pattern
size 70 → 1 pattern
size 71 → 2 pattern
size 78 → 1 pattern
size 81 → 1 pattern
size 84 → 3 pattern
size 86 → 1 pattern
size 88 → 1 pattern
size 92 → 1 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 108 → 1 pattern
size 111 → 1 pattern
size 115 → 1 pattern
size 120 → 1 pattern
size 122 → 1 pattern
size 126 → 1 pattern
size 127 → 1 pattern
size 162 → 1 pattern
size 164 → 1 pattern
size 171 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 2981

size 2 → 2245 pattern
size 4 → 447 pattern
size 6 → 148 pattern
size 8 → 68 pattern
size 10 → 27 pattern
size 12 → 17 pattern
size 14 → 9 pattern
size 16 → 6 pattern
size 18 → 5 pattern
size 20 → 2 pattern
size 22 → 2 pattern
size 26 → 1 pattern
size 28 → 1 pattern
size 30 → 2 pattern
size 34 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 7559

size 2 → 6466 pattern
size 4 → 744 pattern
size 6 → 183 pattern
size 8 → 82 pattern
size 10 → 30 pattern
size 12 → 20 pattern
size 14 → 13 pattern
size 16 → 7 pattern
size 18 → 4 pattern
size 20 → 3 pattern
size 22 → 2 pattern
size 24 → 1 pattern
size 26 → 1 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 34 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 6110

size 2 → 5219 pattern
size 4 → 588 pattern
size 6 → 160 pattern
size 8 → 68 pattern
size 10 → 26 pattern
size 12 → 16 pattern
size 14 → 15 pattern
size 16 → 4 pattern
size 18 → 4 pattern
size 20 → 4 pattern
size 22 → 1 pattern
size 24 → 1 pattern
size 26 → 1 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 34 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 8745
Archi: 33502
Delta (sec): 62394958


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 6919

size 2 → 1697 pattern
size 3 → 1461 pattern
size 4 → 1131 pattern
size 5 → 814 pattern
size 6 → 554 pattern
size 7 → 378 pattern
size 8 → 257 pattern
size 9 → 166 pattern
size 10 → 139 pattern
size 11 → 84 pattern
size 12 → 62 pattern
size 13 → 51 pattern
size 14 → 33 pattern
size 15 → 29 pattern
size 16 → 15 pattern
size 17 → 14 pattern
size 18 → 11 pattern
size 19 → 6 pattern
size 20 → 6 pattern
size 21 → 3 pattern
size 22 → 2 pattern
size 23 → 1 pattern
size 24 → 1 pattern
size 25 → 3 pattern
size 28 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 7999

size 2 → 3111 pattern
size 3 → 1948 pattern
size 4 → 1169 pattern
size 5 → 703 pattern
size 6 → 413 pattern
size 7 → 226 pattern
size 8 → 155 pattern
size 9 → 102 pattern
size 10 → 53 pattern
size 11 → 36 pattern
size 12 → 26 pattern
size 13 → 21 pattern
size 14 → 16 pattern
size 15 → 8 pattern
size 16 → 4 pattern
size 17 → 1 pattern
size 18 → 1 pattern
size 20 → 3 pattern
size 21 → 2 pattern
size 24 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 258

size 2 → 150 pattern
size 3 → 54 pattern
size 4 → 24 pattern
size 5 → 10 pattern
size 6 → 10 pattern
size 7 → 5 pattern
size 8 → 4 pattern
size 9 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 203

size 2 → 109 pattern
size 3 → 52 pattern
size 4 → 22 pattern
size 5 → 7 pattern
size 6 → 8 pattern
size 7 → 3 pattern
size 8 → 1 pattern
size 9 → 1 pattern
