=== non-contiguous nft : chains ===
Found 4201 chain interruption in 8745 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 3 
1000:	2 2 
10000:	3 
10001:	2 
10002:	2 
1001:	4 1 
1002:	4 1 
1003:	1 1 1 
1004:	2 1 
10044:	3 
1005:	1 
10051:	1 
1006:	3 
10063:	1 
1007:	3 6 
1008:	5 
1009:	5 
10099:	1 
101:	2 
1010:	1 
10100:	1 
10107:	1 
1011:	1 1 
10111:	1 
10112:	1 
10114:	3 
1012:	4 
10122:	1 
1013:	2 
10134:	1 
10135:	1 1 
10136:	1 
1014:	3 
10140:	1 
10145:	1 
1015:	5 
1016:	3 1 
1017:	2 
1018:	1 1 
10180:	4 1 
1019:	1 
1020:	2 2 
10200:	1 
1021:	1 
1022:	4 
10232:	1 
1024:	2 
10243:	1 
1025:	3 3 3 
10264:	1 
1027:	2 
10273:	2 
1028:	1 2 1 
103:	4 
1031:	2 1 
1033:	1 1 
10330:	1 1 
10337:	1 
10340:	3 
10342:	1 1 
1035:	3 
1036:	2 
10375:	1 
10376:	2 
10377:	1 
1039:	1 
1040:	3 
1042:	1 
1043:	1 
10436:	1 
1044:	7 
1045:	2 1 
1046:	8 1 
10467:	1 
10469:	1 
1047:	5 
10470:	1 
10475:	1 
10476:	1 
1049:	2 
10491:	1 
1050:	1 2 
10505:	1 
10506:	1 
10508:	1 
1051:	2 7 2 
10511:	1 
10514:	1 
10518:	1 
1052:	5 1 
10520:	1 
10521:	2 
10529:	2 2 
1054:	2 5 
1056:	4 
10562:	1 
10566:	2 
1057:	9 
10570:	1 
10571:	2 
10573:	1 
1058:	2 
1059:	2 3 
10601:	5 1 
10602:	1 
1061:	1 
1062:	2 
1063:	2 
1064:	1 
10644:	1 
1065:	3 
10650:	1 
10653:	1 
1066:	7 3 
1067:	1 1 1 
1068:	2 
10680:	1 
1069:	1 
10702:	1 
1071:	1 
1072:	2 2 
1073:	5 
10730:	1 
10737:	3 
1074:	3 
1077:	1 5 
10778:	1 
