=== non-contiguous nft : chains ===
Found 151 chain interruption in 1298 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

57896044618658097711785492504343953926975274699741220483192166611388333042863:	2 
57896044618658097711785492504343953926975274699741220483192166611388333043258:	2 2 
57896044618658097711785492504343953926975274699741220483192166611388333048300:	4 
57896044618658097711785492504343953926975274699741220483192166611388333049010:	5 
57896044618658097711785492504343953926975274699741220483192166611388333049408:	1 
57896044618658097711785492504343953926975274699741220483192166611388333058556:	1 
57896044618658097711785492504343953926975274699741220483192166611388333058671:	4 
57896044618658097711785492504343953926975274699741220483192166611388333059240:	1 
57896044618658097711785492504343953926975274699741220483192166611388333059433:	3 
57896044618658097711785492504343953926975274699741220483192166611388333061249:	3 
57896044618658097711785492504343953926975274699741220483192166611388333062196:	1 
57896044618658097711785492504343953926975274699741220483192166611388333062207:	1 
57896044618658097711785492504343953926975274699741220483192166611388333064198:	1 
57896044618658097711785492504343953926975274699741220483192166611388333065552:	1 
57896044618658097711785492504343953926975274699741220483192166611388333065897:	2 
57896044618658097711785492504343953926975274699741220483192166611388333069277:	2 1 
57896044618658097711785492504343953926975274699741220483192166611388333069983:	1 
57896044618658097711785492504343953926975274699741220483192166611388333072911:	2 
57896044618658097711785492504343953926975274699741220483192166611388333074127:	1 
57896044618658097711785492504343953926975274699741220483192166611388333080428:	3 
57896044618658097711785492504343953926975274699741220483192166611388333083783:	3 
57896044618658097711785492504343953927315557066662158946655541218820101243992:	10 
57896044618658097711785492504343953927315557066662158946655541218820101248965:	1 2 
57896044618658097711785492504343953927315557066662158946655541218820101259187:	1 
57896044618658097711785492504343953927315557066662158946655541218820101259819:	1 
57896044618658097711785492504343953927315557066662158946655541218820101267730:	10 
57896044618658097711785492504343953927315557066662158946655541218820101267968:	1 
57896044618658097711785492504343953927315557066662158946655541218820101268256:	3 
57896044618658097711785492504343953927315557066662158946655541218820101269780:	1 
57896044618658097711785492504343953927315557066662158946655541218820101269828:	8 
57896044618658097711785492504343953927315557066662158946655541218820101271038:	1 
57896044618658097711785492504343953927315557066662158946655541218820101271911:	1 
57896044618658097711785492504343953927315557066662158946655541218820101271912:	1 
57896044618658097711785492504343953927315557066662158946655541218820101273837:	2 
57896044618658097711785492504343953927315557066662158946655541218820101273854:	1 
57896044618658097711785492504343953927315557066662158946655541218820101273855:	1 
57896044618658097711785492504343953927315557066662158946655541218820101274397:	7 
57896044618658097711785492504343953927315557066662158946655541218820101274477:	12 
57896044618658097711785492504343953927315557066662158946655541218820101274553:	6 
57896044618658097711785492504343953927315557066662158946655541218820101275443:	2 
57896044618658097711785492504343953927315557066662158946655541218820101276107:	1 
57896044618658097711785492504343953927315557066662158946655541218820101276536:	1 
57896044618658097711785492504343953927315557066662158946655541218820101277065:	4 
57896044618658097711785492504343953927315557066662158946655541218820101277512:	1 
57896044618658097711785492504343953927315557066662158946655541218820101277518:	1 
57896044618658097711785492504343953927315557066662158946655541218820101277565:	1 
57896044618658097711785492504343953927315557066662158946655541218820101281071:	1 
57896044618658097711785492504343953927315557066662158946655541218820101281107:	1 
57896044618658097711785492504343953927315557066662158946655541218820101281128:	4 
57896044618658097711785492504343953927315557066662158946655541218820101281814:	2 
57896044618658097711785492504343953927315557066662158946655541218820101283083:	6 
57896044618658097711785492504343953927315557066662158946655541218820101283366:	1 
57896044618658097711785492504343953927315557066662158946655541218820101284731:	4 
57896044618658097711785492504343953927315557066662158946655541218820101284961:	4 
57896044618658097711785492504343953927315557066662158946655541218820101285262:	7 
57896044618658097711785492504343953927315557066662158946655541218820101285378:	7 
57896044618658097711785492504343953927315557066662158946655541218820101285822:	1 
57896044618658097711785492504343953927315557066662158946655541218820101295858:	1 
57896044618658097711785492504343953927655839433583097410118915826251869470381:	1 
57896044618658097711785492504343953927655839433583097410118915826251869470722:	1 
57896044618658097711785492504343953927655839433583097410118915826251869472180:	1 2 
57896044618658097711785492504343953927655839433583097410118915826251869477920:	4 
57896044618658097711785492504343953927655839433583097410118915826251869480661:	1 
57896044618658097711785492504343953927655839433583097410118915826251869481010:	4 
57896044618658097711785492504343953927655839433583097410118915826251869481362:	1 3 
57896044618658097711785492504343953927655839433583097410118915826251869481371:	1 3 
57896044618658097711785492504343953927655839433583097410118915826251869481593:	4 
57896044618658097711785492504343953927655839433583097410118915826251869481822:	11 
57896044618658097711785492504343953927655839433583097410118915826251869483139:	1 
57896044618658097711785492504343953927655839433583097410118915826251869484856:	1 
57896044618658097711785492504343953927655839433583097410118915826251869484922:	5 
57896044618658097711785492504343953927655839433583097410118915826251869484933:	1 
57896044618658097711785492504343953927655839433583097410118915826251869485537:	6 
57896044618658097711785492504343953927655839433583097410118915826251869486566:	1 
57896044618658097711785492504343953927655839433583097410118915826251869487417:	6 
57896044618658097711785492504343953927655839433583097410118915826251869488101:	1 
57896044618658097711785492504343953927655839433583097410118915826251869488564:	7 
57896044618658097711785492504343953927655839433583097410118915826251869488568:	1 
57896044618658097711785492504343953927655839433583097410118915826251869488569:	1 
57896044618658097711785492504343953927655839433583097410118915826251869488570:	9 
57896044618658097711785492504343953927655839433583097410118915826251869488603:	1 
57896044618658097711785492504343953927655839433583097410118915826251869492077:	1 
57896044618658097711785492504343953927655839433583097410118915826251869492104:	1 
57896044618658097711785492504343953927655839433583097410118915826251869492126:	1 
57896044618658097711785492504343953927655839433583097410118915826251869495582:	1 4 2 
57896044618658097711785492504343953927655839433583097410118915826251869503016:	1 
57896044618658097711785492504343953927655839433583097410118915826251869506830:	1 
57896044618658097711785492504343953927655839433583097410118915826251869508805:	1 
57896044618658097711785492504343953927655839433583097410118915826251869508959:	9 
57896044618658097711785492504343953927996121800504035873582290433683637671397:	3 
57896044618658097711785492504343953927996121800504035873582290433683637678723:	1 
57896044618658097711785492504343953927996121800504035873582290433683637681187:	3 
57896044618658097711785492504343953927996121800504035873582290433683637688202:	1 
57896044618658097711785492504343953927996121800504035873582290433683637689184:	1 
57896044618658097711785492504343953927996121800504035873582290433683637689628:	3 
57896044618658097711785492504343953927996121800504035873582290433683637690015:	3 
57896044618658097711785492504343953927996121800504035873582290433683637690523:	1 
57896044618658097711785492504343953927996121800504035873582290433683637690701:	1 
57896044618658097711785492504343953927996121800504035873582290433683637690758:	1 
57896044618658097711785492504343953927996121800504035873582290433683637691406:	6 1 
57896044618658097711785492504343953927996121800504035873582290433683637691754:	4 
57896044618658097711785492504343953927996121800504035873582290433683637693447:	4 
57896044618658097711785492504343953927996121800504035873582290433683637693951:	2 
57896044618658097711785492504343953927996121800504035873582290433683637694499:	1 
57896044618658097711785492504343953927996121800504035873582290433683637694703:	1 
57896044618658097711785492504343953927996121800504035873582290433683637696525:	1 
57896044618658097711785492504343953927996121800504035873582290433683637696535:	1 
57896044618658097711785492504343953927996121800504035873582290433683637697069:	1 
57896044618658097711785492504343953927996121800504035873582290433683637698126:	4 
57896044618658097711785492504343953927996121800504035873582290433683637698672:	1 
57896044618658097711785492504343953927996121800504035873582290433683637699560:	1 
57896044618658097711785492504343953927996121800504035873582290433683637700146:	1 
57896044618658097711785492504343953927996121800504035873582290433683637700177:	1 2 1 
57896044618658097711785492504343953927996121800504035873582290433683637702966:	1 
57896044618658097711785492504343953927996121800504035873582290433683637703779:	1 
57896044618658097711785492504343953927996121800504035873582290433683637704270:	1 
57896044618658097711785492504343953927996121800504035873582290433683637706959:	1 
57896044618658097711785492504343953927996121800504035873582290433683637714020:	5 
57896044618658097711785492504343953927996121800504035873582290433683637714024:	5 
57896044618658097711785492504343953927996121800504035873582290433683637716592:	1 
57896044618658097711785492504343953927996121800504035873582290433683637720730:	6 
57896044618658097711785492504343953927996121800504035873582290433683637723400:	1 
57896044618658097711785492504343953928336404167424974337045665041115405891243:	3 
57896044618658097711785492504343953928336404167424974337045665041115405893193:	7 
57896044618658097711785492504343953928336404167424974337045665041115405894275:	9 
57896044618658097711785492504343953928336404167424974337045665041115405894668:	3 
57896044618658097711785492504343953928336404167424974337045665041115405901141:	1 
57896044618658097711785492504343953928336404167424974337045665041115405901770:	1 
57896044618658097711785492504343953928336404167424974337045665041115405901831:	3 
57896044618658097711785492504343953928336404167424974337045665041115405901970:	4 
57896044618658097711785492504343953928336404167424974337045665041115405902139:	1 
57896044618658097711785492504343953928336404167424974337045665041115405902164:	1 
57896044618658097711785492504343953928336404167424974337045665041115405902370:	1 
57896044618658097711785492504343953928336404167424974337045665041115405903085:	3 
57896044618658097711785492504343953928336404167424974337045665041115405904169:	9 
57896044618658097711785492504343953928336404167424974337045665041115405904622:	5 
57896044618658097711785492504343953928336404167424974337045665041115405905236:	8 1 
57896044618658097711785492504343953928336404167424974337045665041115405905247:	1 
57896044618658097711785492504343953928336404167424974337045665041115405906144:	1 
57896044618658097711785492504343953928336404167424974337045665041115405906145:	1 
57896044618658097711785492504343953928336404167424974337045665041115405907993:	1 
57896044618658097711785492504343953928336404167424974337045665041115405907994:	1 1 1 1 1 
57896044618658097711785492504343953928336404167424974337045665041115405907995:	1 
57896044618658097711785492504343953928336404167424974337045665041115405909274:	1 
57896044618658097711785492504343953928336404167424974337045665041115405909521:	1 
57896044618658097711785492504343953928336404167424974337045665041115405911409:	5 
57896044618658097711785492504343953928336404167424974337045665041115405911646:	1 
57896044618658097711785492504343953928336404167424974337045665041115405911652:	1 
57896044618658097711785492504343953928336404167424974337045665041115405911653:	1 
57896044618658097711785492504343953928336404167424974337045665041115405914879:	6 
57896044618658097711785492504343953928336404167424974337045665041115405916202:	3 
57896044618658097711785492504343953928336404167424974337045665041115405925440:	4 
57896044618658097711785492504343953928336404167424974337045665041115405929010:	7 1 
57896044618658097711785492504343953928336404167424974337045665041115405930297:	1 6 
57896044618658097711785492504343953928676686534345912800509039648547174090713:	1 2 
57896044618658097711785492504343953928676686534345912800509039648547174094505:	1 
57896044618658097711785492504343953928676686534345912800509039648547174104215:	1 
57896044618658097711785492504343953928676686534345912800509039648547174104674:	1 
57896044618658097711785492504343953928676686534345912800509039648547174105684:	1 
57896044618658097711785492504343953928676686534345912800509039648547174106181:	9 2 
57896044618658097711785492504343953928676686534345912800509039648547174107080:	5 
57896044618658097711785492504343953928676686534345912800509039648547174107157:	1 
57896044618658097711785492504343953928676686534345912800509039648547174111458:	1 
57896044618658097711785492504343953928676686534345912800509039648547174111506:	6 
57896044618658097711785492504343953928676686534345912800509039648547174112175:	2 
57896044618658097711785492504343953928676686534345912800509039648547174113771:	3 
57896044618658097711785492504343953928676686534345912800509039648547174113838:	1 
57896044618658097711785492504343953928676686534345912800509039648547174113928:	1 
57896044618658097711785492504343953928676686534345912800509039648547174113958:	1 
57896044618658097711785492504343953928676686534345912800509039648547174113959:	1 
57896044618658097711785492504343953928676686534345912800509039648547174114071:	7 
57896044618658097711785492504343953928676686534345912800509039648547174114272:	2 
57896044618658097711785492504343953928676686534345912800509039648547174114885:	1 
57896044618658097711785492504343953928676686534345912800509039648547174114901:	1 
57896044618658097711785492504343953928676686534345912800509039648547174115312:	1 
57896044618658097711785492504343953928676686534345912800509039648547174116224:	9 
57896044618658097711785492504343953928676686534345912800509039648547174117744:	1 
57896044618658097711785492504343953928676686534345912800509039648547174117745:	5 
57896044618658097711785492504343953928676686534345912800509039648547174117746:	5 
57896044618658097711785492504343953928676686534345912800509039648547174117774:	1 
57896044618658097711785492504343953928676686534345912800509039648547174117955:	1 
57896044618658097711785492504343953928676686534345912800509039648547174117956:	1 
57896044618658097711785492504343953928676686534345912800509039648547174119786:	1 
57896044618658097711785492504343953928676686534345912800509039648547174119787:	1 
57896044618658097711785492504343953928676686534345912800509039648547174119834:	1 
57896044618658097711785492504343953928676686534345912800509039648547174119899:	1 
57896044618658097711785492504343953928676686534345912800509039648547174120608:	5 2 
57896044618658097711785492504343953928676686534345912800509039648547174121278:	1 
57896044618658097711785492504343953928676686534345912800509039648547174121469:	2 1 1 
57896044618658097711785492504343953928676686534345912800509039648547174121518:	1 
57896044618658097711785492504343953928676686534345912800509039648547174122009:	1 
57896044618658097711785492504343953928676686534345912800509039648547174122517:	1 
57896044618658097711785492504343953928676686534345912800509039648547174123054:	1 
57896044618658097711785492504343953928676686534345912800509039648547174123065:	1 
57896044618658097711785492504343953928676686534345912800509039648547174123083:	5 
57896044618658097711785492504343953928676686534345912800509039648547174123339:	1 
57896044618658097711785492504343953928676686534345912800509039648547174123345:	1 
57896044618658097711785492504343953928676686534345912800509039648547174123869:	1 
57896044618658097711785492504343953928676686534345912800509039648547174126731:	1 
57896044618658097711785492504343953928676686534345912800509039648547174127554:	1 3 
57896044618658097711785492504343953928676686534345912800509039648547174129619:	2 
57896044618658097711785492504343953928676686534345912800509039648547174130490:	1 
57896044618658097711785492504343953928676686534345912800509039648547174141726:	1 1 1 
57896044618658097711785492504343953928676686534345912800509039648547174142032:	1 
57896044618658097711785492504343953928676686534345912800509039648547174164797:	2 
57896044618658097711785492504343953929016968901266851263972414255978942309282:	10 
57896044618658097711785492504343953929016968901266851263972414255978942313705:	4 
57896044618658097711785492504343953929016968901266851263972414255978942315491:	1 
57896044618658097711785492504343953929016968901266851263972414255978942323509:	6 
57896044618658097711785492504343953929016968901266851263972414255978942323653:	5 2 
57896044618658097711785492504343953929016968901266851263972414255978942324350:	1 2 
57896044618658097711785492504343953929016968901266851263972414255978942326132:	4 
57896044618658097711785492504343953929016968901266851263972414255978942326483:	7 
57896044618658097711785492504343953929016968901266851263972414255978942327091:	2 
57896044618658097711785492504343953929016968901266851263972414255978942327132:	3 
57896044618658097711785492504343953929016968901266851263972414255978942327344:	4 
57896044618658097711785492504343953929016968901266851263972414255978942329138:	3 
57896044618658097711785492504343953929016968901266851263972414255978942329344:	3 
57896044618658097711785492504343953929016968901266851263972414255978942329903:	2 2 3 1 
57896044618658097711785492504343953929016968901266851263972414255978942330030:	3 
57896044618658097711785492504343953929016968901266851263972414255978942330899:	1 
57896044618658097711785492504343953929016968901266851263972414255978942331045:	1 2 
57896044618658097711785492504343953929016968901266851263972414255978942332193:	4 
57896044618658097711785492504343953929016968901266851263972414255978942332512:	1 2 
57896044618658097711785492504343953929016968901266851263972414255978942332523:	1 
57896044618658097711785492504343953929016968901266851263972414255978942332830:	1 
57896044618658097711785492504343953929016968901266851263972414255978942332964:	1 
57896044618658097711785492504343953929016968901266851263972414255978942333087:	5 
57896044618658097711785492504343953929016968901266851263972414255978942333397:	1 
57896044618658097711785492504343953929016968901266851263972414255978942333682:	1 
57896044618658097711785492504343953929016968901266851263972414255978942334154:	1 
57896044618658097711785492504343953929016968901266851263972414255978942334502:	1 
57896044618658097711785492504343953929016968901266851263972414255978942334571:	1 
57896044618658097711785492504343953929016968901266851263972414255978942334578:	4 
57896044618658097711785492504343953929016968901266851263972414255978942335853:	3 2 
57896044618658097711785492504343953929016968901266851263972414255978942336364:	3 
57896044618658097711785492504343953929016968901266851263972414255978942337770:	4 1 
57896044618658097711785492504343953929016968901266851263972414255978942338602:	1 
57896044618658097711785492504343953929016968901266851263972414255978942338604:	1 
57896044618658097711785492504343953929016968901266851263972414255978942338781:	1 1 
57896044618658097711785492504343953929016968901266851263972414255978942338981:	5 2 
57896044618658097711785492504343953929016968901266851263972414255978942348305:	2 
57896044618658097711785492504343953929016968901266851263972414255978942352165:	2 3 
57896044618658097711785492504343953929016968901266851263972414255978942354977:	1 
57896044618658097711785492504343953929016968901266851263972414255978942357261:	6 
57896044618658097711785492504343953929357251268187789727435788863410710511664:	1 
57896044618658097711785492504343953929357251268187789727435788863410710511874:	2 
57896044618658097711785492504343953929357251268187789727435788863410710511877:	3 
57896044618658097711785492504343953929357251268187789727435788863410710511913:	1 
57896044618658097711785492504343953929357251268187789727435788863410710511930:	1 
57896044618658097711785492504343953929357251268187789727435788863410710511988:	4 
57896044618658097711785492504343953929357251268187789727435788863410710511998:	2 
57896044618658097711785492504343953929357251268187789727435788863410710512193:	2 1 
57896044618658097711785492504343953929357251268187789727435788863410710512195:	1 
57896044618658097711785492504343953929357251268187789727435788863410710512212:	1 
57896044618658097711785492504343953929357251268187789727435788863410710512230:	1 
57896044618658097711785492504343953929357251268187789727435788863410710512307:	2 
57896044618658097711785492504343953929357251268187789727435788863410710512332:	2 
57896044618658097711785492504343953929357251268187789727435788863410710512370:	1 
57896044618658097711785492504343953929357251268187789727435788863410710512796:	1 
57896044618658097711785492504343953929357251268187789727435788863410710512798:	3 
57896044618658097711785492504343953929357251268187789727435788863410710512932:	4 
57896044618658097711785492504343953929357251268187789727435788863410710512943:	2 
57896044618658097711785492504343953929357251268187789727435788863410710512953:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513129:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513233:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513243:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513244:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513245:	3 1 
57896044618658097711785492504343953929357251268187789727435788863410710513554:	1 1 
57896044618658097711785492504343953929357251268187789727435788863410710513555:	4 
57896044618658097711785492504343953929357251268187789727435788863410710513557:	1 2 
57896044618658097711785492504343953929357251268187789727435788863410710513558:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513559:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513560:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513561:	4 
57896044618658097711785492504343953929357251268187789727435788863410710513564:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513565:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513567:	2 1 
57896044618658097711785492504343953929357251268187789727435788863410710513568:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513569:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513570:	1 
57896044618658097711785492504343953929357251268187789727435788863410710513573:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513574:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513576:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513578:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513581:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513590:	4 3 
57896044618658097711785492504343953929357251268187789727435788863410710513650:	4 
57896044618658097711785492504343953929357251268187789727435788863410710513653:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513661:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513668:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513670:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513671:	4 1 
57896044618658097711785492504343953929357251268187789727435788863410710513672:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513674:	4 
57896044618658097711785492504343953929357251268187789727435788863410710513675:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513678:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513679:	3 
57896044618658097711785492504343953929357251268187789727435788863410710513680:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513681:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513683:	2 
57896044618658097711785492504343953929357251268187789727435788863410710513684:	2 
57896044618658097711785492504343953929357251268187789727435788863410710514082:	5 
57896044618658097711785492504343953929357251268187789727435788863410710514084:	2 
57896044618658097711785492504343953929357251268187789727435788863410710514085:	1 
57896044618658097711785492504343953929357251268187789727435788863410710514087:	2 
57896044618658097711785492504343953929357251268187789727435788863410710514089:	4 1 
57896044618658097711785492504343953929357251268187789727435788863410710514090:	1 
57896044618658097711785492504343953929357251268187789727435788863410710514091:	3 
57896044618658097711785492504343953929357251268187789727435788863410710514092:	1 
57896044618658097711785492504343953929357251268187789727435788863410710514094:	2 
