=== non-contiguous nft : chains ===
Found 168 chain interruption in 7887 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000000000003:	1 
1000000000004:	1 
1000000000005:	1 1 
1000000000007:	1 
1000000000009:	1 
1000000000010:	1 
1000000000011:	2 
1000000000017:	1 
1000000000018:	1 
1000000000019:	1 
1000000000020:	1 
1000000000021:	2 
1000000000027:	1 
1000000000028:	1 
1000000000029:	1 
1000000000037:	1 
1000000000038:	1 1 
1000000000041:	1 
1000000000042:	2 
1000000000043:	1 
1000000000045:	3 
1000000000046:	1 
1000000000048:	1 
1000000000049:	1 1 
1000000000050:	1 
1000000000051:	1 
1000000000052:	1 
1000000000053:	1 
1000000000054:	1 
1000000000056:	1 
1000000000058:	1 
1000000000061:	2 
1000000000066:	2 
1000000000068:	1 
1000000000069:	1 
1000000000071:	2 
1000000000075:	1 
1000000000078:	1 
1000000000080:	1 
1000000000083:	1 
1000000000085:	1 
1000000000086:	1 
1000000000089:	1 
1000000000092:	1 
1000000000101:	1 
1000000000103:	1 
1000000000125:	1 
1000000000129:	1 
1000000000137:	1 1 
1000000010:	4 
1000000011:	1 
1000000012:	2 
1000000016:	1 
1000000017:	1 
1000000018:	2 
1000000019:	3 
1000000020:	1 
1000000021:	3 
1000000022:	2 
1000000023:	1 
1000000024:	3 
1000000025:	2 
1000000026:	2 
1000000027:	1 
1000000037:	3 
1000000038:	1 
1000000039:	1 
1000000043:	2 
1000000044:	1 
1000000045:	2 
1000000046:	1 
1000000047:	2 
1000000061:	1 
1000000062:	1 
1000000063:	2 
1000000076:	1 
1000000106:	1 
1000000109:	2 
1000000110:	3 
1000000111:	2 
1000000113:	2 
1000000114:	1 
1000000115:	1 
1000000118:	1 
1000000119:	1 
1000000120:	2 
1000000122:	1 
1000000123:	2 
1000000124:	1 
1000000125:	1 
1000000126:	1 
1000000127:	1 
1000000128:	2 
1000000129:	1 
1000000130:	1 
1000000131:	1 
1000000132:	1 
1000000133:	2 
1000000134:	1 
1000000135:	1 
1000000139:	1 
1000000140:	2 
1000000141:	1 
1000000208:	1 
1000000209:	1 
1000000210:	2 
1000000215:	1 
1000000217:	1 
1000000223:	1 
1000000224:	4 
1000000225:	3 
1000000226:	1 
1000000227:	1 
1000000228:	2 
1000000230:	1 
1000000231:	1 
1000000232:	1 
1000000233:	1 
1000000234:	1 
1000000236:	2 
1000000237:	1 
1000000241:	3 
1000000242:	2 
1000000244:	1 
1000000245:	1 
1000000246:	1 
1000000248:	2 
1000000251:	1 
1000000252:	1 
1000000256:	1 
1000000257:	2 
1000000258:	1 
1000000259:	2 
1000000260:	1 
1000000261:	1 
1000000262:	1 
1000000263:	1 
1000000264:	1 
1000000265:	3 
1000000268:	2 
1000000269:	2 
1000000271:	4 
1000000272:	1 
1000000273:	2 
1000000274:	1 
1000000275:	2 
1000000276:	2 
1000000278:	1 
1000000280:	2 
1000000282:	2 
1000000283:	1 
1000000289:	1 
1000000299:	1 
1000000308:	2 
1000000310:	1 
1000000313:	2 
1000000321:	1 
1000000334:	1 
1000000335:	1 
1000000336:	1 
1000000337:	2 
1000000338:	1 
1000000339:	1 
1000000340:	2 
1000000343:	1 
1000000345:	1 
1000000347:	1 
1000000348:	1 
1000000350:	1 
1000000351:	1 
1000000352:	1 
1000000353:	2 
1000000355:	1 
1000000356:	1 
1000000357:	1 
1000000358:	1 
1000000359:	1 
1000000361:	1 
1000000362:	1 
1000000363:	1 
1000000365:	1 
1000000386:	1 
1000000401:	1 
1000000447:	1 
1000000457:	1 
1000000458:	1 
1000000459:	1 
1000000461:	1 
1000000483:	1 
1000000485:	1 
1000000489:	1 
1000000490:	1 
1000000491:	1 
1000000492:	1 
1000000494:	1 
1000000499:	1 
1000000502:	1 
1000000503:	1 
1000000504:	1 
1000000508:	2 
1000000513:	1 
1000000516:	1 
1000000518:	1 
1000000519:	1 
1000000535:	2 
1000000536:	2 
1000000537:	2 
1000000538:	1 
1000000539:	2 
1000000540:	1 
1000000541:	1 
1000000542:	2 
1000000543:	1 
1000000544:	1 
1000000547:	1 
1000000581:	1 
1000000582:	2 
1000000599:	1 
1000000604:	1 
1000000605:	1 
1000000606:	1 
1000000616:	1 
1000000617:	1 
1000000618:	1 
1000000619:	1 1 
1000000620:	1 
1000000621:	1 
1000000652:	2 
1000000653:	2 
1000000654:	2 
1000000655:	2 
1000000656:	1 
1000000657:	1 
1000000667:	1 
1000000668:	2 
1000000669:	1 
1000000670:	1 
1000000671:	1 
1000000672:	1 
1000000676:	1 
1000000677:	1 
