=== non-contiguous nft : chains ===
Found 1162 chain interruption in 5626 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	3 
100:	1 
1001:	2 
1002:	1 
1005:	2 
1006:	3 
1009:	1 1 
1010:	4 1 
1011:	2 
1012:	1 1 
1014:	1 
1015:	2 
1016:	2 
1017:	3 
1018:	1 
1019:	1 
1020:	1 
1025:	1 
1026:	3 
1027:	3 2 
1028:	2 
1029:	2 2 
1031:	1 
1032:	1 
1033:	2 
1034:	2 
1036:	2 
1037:	1 2 
1039:	1 
1042:	4 
1043:	1 
1045:	1 1 
1046:	1 
1047:	3 
1051:	2 
1054:	2 
1061:	2 1 
1062:	1 
1063:	1 1 1 
1064:	1 
1065:	1 
1066:	2 
1068:	1 
1069:	2 1 
107:	1 
1070:	1 
1071:	1 
1072:	1 
1073:	1 3 
1074:	2 
1075:	1 
1076:	1 
1078:	2 1 2 
1080:	1 
1082:	1 1 
1083:	1 
1085:	2 
1087:	1 
109:	1 
1090:	2 
1091:	1 
1093:	3 
1094:	2 
1097:	1 
11:	3 
110:	1 
1100:	1 
1101:	1 
1102:	4 
1103:	2 
1106:	3 
1107:	1 1 
1108:	1 
1109:	2 
1112:	2 
1113:	1 3 
1114:	1 
1115:	3 1 
1118:	1 
112:	1 
1120:	1 
1122:	2 
1124:	2 
1127:	1 
1128:	2 1 
113:	2 
1131:	1 
1136:	1 
1137:	3 
1139:	1 
114:	1 
1140:	1 
1143:	1 
1145:	2 
1146:	3 
115:	2 
1150:	1 
1151:	1 
1152:	1 
1155:	2 
1156:	1 
1158:	1 
1159:	4 
1161:	1 
1163:	1 
1165:	1 3 
1167:	3 
1169:	4 
117:	1 
1170:	2 
1172:	1 
1173:	1 
1174:	3 
1175:	1 2 
1176:	2 
1177:	1 
1179:	1 
118:	4 
1181:	2 
1185:	1 
1186:	1 
1188:	1 
1189:	1 
1190:	2 
1191:	1 
1192:	1 
1195:	1 
1196:	1 
1197:	2 
1199:	1 1 
12:	1 
1200:	2 
1201:	1 2 
1202:	1 
1203:	2 
1205:	1 2 
1206:	3 
1208:	2 
1209:	3 1 
1210:	1 
1211:	2 
1212:	1 
1213:	3 
1214:	3 
1215:	5 
1216:	2 
1218:	1 
1219:	2 
1221:	1 
1222:	2 1 
1223:	1 
1224:	1 1 1 
1225:	1 
1227:	1 2 
123:	4 
1232:	1 3 
1233:	1 
1234:	1 
1235:	1 
1236:	1 
1237:	1 
1238:	2 
1239:	2 
124:	1 2 
1241:	1 
1242:	2 
1243:	2 
1245:	4 
1248:	1 
125:	1 
1250:	1 
1251:	1 1 
1252:	3 
1253:	1 
1255:	4 
1259:	2 
1260:	1 
1261:	1 
1262:	4 
1263:	1 
1264:	2 
1265:	2 
1266:	1 
1267:	3 
1268:	1 
1271:	1 
1273:	4 
1274:	2 
1276:	1 
1277:	1 
128:	2 
1281:	1 
1282:	1 1 
1284:	1 
1285:	1 
1288:	1 
1289:	4 
1291:	1 
1292:	1 
1294:	1 
1295:	1 
