=== non-contiguous nft : chains ===
Found 1372 chain interruption in 7197 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	2 
1001:	5 
1002:	1 
1003:	2 
1004:	2 
1005:	3 
1006:	1 
1007:	1 3 
1008:	1 
1009:	4 
1010:	3 
1011:	3 
1012:	1 
1013:	2 
1014:	2 
1015:	2 
1016:	3 
1017:	1 
1018:	1 
1019:	1 
1020:	1 
1021:	2 
1022:	4 
1024:	1 
1025:	1 
1026:	3 
1027:	4 1 
1028:	3 
1029:	3 
103:	3 
1030:	3 
1031:	2 
1032:	3 
1033:	3 1 
1034:	2 
1035:	1 
1038:	1 
1039:	1 
1040:	1 1 
1041:	1 
1042:	3 
1043:	2 1 
1044:	1 
1045:	3 
1046:	3 2 
1047:	3 
1048:	1 
1054:	2 
106:	1 
1061:	2 
1062:	1 
1063:	2 
1064:	3 
1065:	1 
1066:	2 
1067:	1 
1068:	2 
1069:	2 
107:	1 1 
1070:	3 1 
1071:	1 
1072:	3 1 
1073:	2 
1074:	1 
1075:	2 1 1 
1080:	1 
109:	1 
1091:	2 2 
1094:	3 
1095:	3 
1096:	3 
1097:	3 
1098:	2 
1099:	1 
110:	2 
1100:	3 
1101:	3 
1102:	1 
1103:	3 
1104:	2 
1105:	1 
1106:	1 
1108:	1 
1109:	3 
111:	2 
1111:	3 
1112:	1 
1113:	2 
1114:	3 
1115:	3 1 
112:	1 
1121:	2 
1122:	2 
1123:	1 
1125:	1 
1126:	2 
1128:	1 
1129:	3 
113:	2 
1135:	4 
1136:	1 
1137:	1 
1138:	3 
1139:	1 
114:	1 4 2 2 1 
1140:	2 
1141:	1 
1142:	1 
1149:	1 1 
115:	1 
1150:	1 
1151:	1 
1152:	1 
1153:	1 
1154:	1 
1156:	1 
1157:	3 1 2 
1158:	1 
116:	1 
1161:	2 
1162:	2 
1163:	1 
1164:	4 
1165:	4 
1166:	2 1 1 
1167:	2 
1168:	1 
1169:	2 
117:	5 
1170:	2 
1171:	1 
1172:	1 
1173:	1 
1174:	2 
1175:	1 
1176:	1 1 1 2 1 
1177:	1 
118:	2 
1181:	1 
1182:	3 
1183:	2 
119:	1 
1194:	4 
1195:	2 
120:	2 1 1 3 1 
1207:	1 
1209:	1 
121:	3 
1210:	1 
1214:	1 
1215:	1 
122:	1 
1223:	1 
1224:	2 
1225:	2 
1226:	1 
1227:	2 
1228:	1 3 
1229:	4 
123:	2 
1230:	3 
1231:	1 
1233:	2 
1235:	1 
1236:	6 
1238:	3 
1239:	1 2 
124:	2 
1240:	4 
1241:	2 2 
1242:	4 
1243:	2 
1244:	2 
1245:	3 1 
1246:	1 
1247:	2 
1248:	2 
1249:	1 
1250:	3 
1252:	1 
1253:	1 
1254:	1 
1255:	2 1 
1256:	1 
1257:	2 1 
1258:	4 
1259:	2 
126:	1 
1260:	3 
1261:	3 
1262:	2 
1263:	4 1 
1264:	2 
1265:	3 
1266:	5 
1267:	1 
1268:	1 1 
1269:	2 
127:	1 
1270:	3 
1271:	3 
1272:	1 1 
1274:	1 
1275:	2 
1276:	2 
1277:	1 
1278:	3 
1279:	4 
128:	2 
1280:	2 
1281:	3 1 
1282:	3 1 
1283:	2 
1284:	4 
1285:	2 
1286:	1 
1287:	2 
1288:	2 
1289:	3 
129:	2 
1290:	2 
1291:	1 
1297:	2 
130:	1 
1300:	3 
1301:	1 
1302:	1 
1303:	1 
1304:	1 
1305:	1 
1306:	3 2 
1308:	1 
1309:	2 
131:	3 
1310:	2 2 1 1 
1311:	3 2 
1312:	2 2 1 1 
1313:	4 1 
1314:	1 
1315:	2 
1316:	2 
1319:	5 2 
132:	7 
1320:	3 
1321:	1 
1322:	2 
1323:	3 
1324:	2 
1325:	2 
1326:	3 
1327:	5 
1328:	4 
1329:	1 
133:	1 
1330:	3 
1331:	2 
1332:	2 
1333:	3 
1334:	2 
1335:	2 
1336:	1 
1337:	1 
1338:	3 1 
1339:	1 
134:	3 
1340:	2 
1341:	2 
1342:	2 
1343:	1 
1344:	3 
1346:	2 
1347:	3 
1348:	5 
1349:	3 
135:	1 
1351:	2 
1352:	1 
1353:	2 1 
1354:	1 
1355:	3 
1356:	4 
1357:	3 
136:	3 
1360:	1 3 
1361:	4 3 
1362:	3 
1363:	2 
1364:	1 
1365:	1 
1376:	1 
1377:	3 
1378:	2 1 1 
1379:	2 
1383:	1 
1384:	3 
1385:	3 
1386:	4 
1387:	2 1 
1388:	4 
1389:	2 
139:	3 
1390:	2 
1391:	3 1 
1392:	1 
1393:	2 
1397:	1 
1398:	1 1 
140:	1 
1400:	1 
1402:	2 1 
1406:	1 
1408:	1 
1409:	1 2 
141:	5 1 
1410:	1 2 
1412:	1 1 1 
1413:	3 
1416:	2 
1417:	2 
1419:	3 
1420:	1 
1421:	2 
1422:	2 
1423:	1 
1424:	3 
1425:	1 
1426:	1 
1427:	1 
1428:	1 
1429:	4 
1431:	3 4 
1432:	3 
1433:	1 
1434:	3 2 
1435:	2 
1436:	1 
1437:	2 
1438:	2 1 
1439:	1 
1440:	4 
1441:	2 
1442:	3 
1443:	2 2 
1445:	1 
1446:	1 
1447:	3 
1448:	2 
1449:	1 
1450:	3 
1451:	3 7 
1452:	1 
1453:	1 
1454:	3 
1458:	1 
1459:	1 
1461:	2 
1462:	1 
1463:	1 1 
1465:	2 
1466:	3 
1469:	1 
147:	1 
1472:	1 
1473:	1 
1474:	2 
1475:	1 3 
1476:	5 
1477:	1 
1478:	3 
1479:	2 
1480:	2 
1482:	2 
1484:	1 
1485:	1 
1486:	2 
1487:	1 
1489:	1 1 
1490:	1 
1491:	1 
1492:	1 
1493:	5 
1494:	1 
1496:	1 
1498:	1 
1499:	3 
150:	1 2 
1502:	2 
1504:	1 
1506:	1 
1508:	3 2 
1509:	1 
1511:	1 
1513:	2 
1517:	1 
1519:	2 
152:	1 
1520:	2 1 
1521:	1 
1527:	4 
1528:	1 
1529:	2 
1530:	1 2 
1532:	1 2 1 
1533:	1 
1535:	1 
1536:	1 
1538:	1 
1539:	1 3 
154:	2 
1540:	1 
1542:	1 
1543:	4 
1544:	1 
1545:	2 
1546:	1 1 1 1 
1547:	1 
1549:	1 2 
155:	2 
1551:	2 2 
1553:	1 
1554:	1 
1556:	4 
1557:	12 1 
156:	1 
1561:	1 
1562:	1 
1567:	1 
1568:	1 
1569:	2 
157:	1 
1570:	2 
1571:	1 
1572:	1 1 
1573:	2 1 3 2 2 
1574:	1 
158:	2 
1581:	4 
1585:	2 
1586:	1 
1588:	4 1 1 
1589:	3 
159:	1 
1590:	2 
1591:	2 
1592:	4 
1593:	3 
1595:	2 
1596:	2 2 
1597:	3 
1598:	5 
1599:	1 1 
16:	5 
160:	1 
1600:	1 
1601:	1 
1602:	1 1 
1603:	4 
1604:	2 
1605:	4 
1606:	1 
1607:	1 
1608:	1 
1609:	1 
161:	1 1 
1610:	3 
1613:	2 
1614:	1 
1615:	3 
1616:	3 1 
1617:	2 
1618:	3 3 1 
1624:	1 
1626:	3 
1627:	2 
1628:	2 
1629:	1 
1631:	4 
1632:	2 
1633:	1 
1638:	5 
1640:	1 1 
1641:	1 
1642:	3 
1643:	2 2 
1644:	2 1 1 
1645:	3 
1646:	2 1 
1647:	4 
1648:	2 1 
1649:	3 
1661:	2 3 
1662:	1 
1663:	2 5 
1664:	1 1 
1665:	5 
1666:	2 
1667:	1 2 
1668:	1 
1669:	3 
1670:	1 
1671:	4 
