=== non-contiguous nft : chains ===
Found 11238 chain interruption in 4335 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1002:	4 
1003:	1 
1008:	2 
1009:	1 
1010:	1 
1011:	1 
1012:	1 
1013:	1 
1014:	1 
1015:	1 
1016:	1 
1017:	1 
1018:	1 
1019:	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
102:	1 
1021:	1 
103:	2 
1030:	1 
1031:	2 
1032:	1 
1033:	1 
1034:	1 
1035:	1 
1036:	1 
1037:	1 
1038:	1 
1039:	2 
1041:	1 
1042:	2 
1043:	2 
1044:	3 
1049:	1 
105:	3 
1053:	3 
1055:	3 
1059:	1 1 
1060:	1 1 11 
1064:	2 
1065:	1 
1066:	1 
1067:	2 
107:	1 
1071:	1 
1072:	1 
1073:	1 
108:	1 
1082:	1 
1083:	1 1 
1084:	1 
1085:	1 
1086:	1 
1087:	2 1 
1088:	2 
1089:	1 
109:	1 
1090:	2 
1091:	1 
1092:	4 
1093:	1 
1094:	1 
1095:	1 
1096:	1 2 
1097:	2 
110:	1 
1100:	3 
1101:	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1102:	2 
111:	3 4 
112:	1 
1123:	1 
1125:	3 
1126:	2 
1127:	3 
1128:	1 
113:	1 
1130:	1 
1131:	1 
1132:	1 
1133:	2 7 22 8 
1134:	1 
1135:	2 28 11 
1136:	33 11 
1137:	2 
114:	1 
1140:	1 
1141:	11 8 
1142:	1 
1143:	1 
1144:	11 10 11 
1145:	1 
1146:	1 
1147:	1 
1148:	3 
1161:	1 
1174:	1 1 
1175:	1 
1179:	2 
118:	1 
1180:	1 
1185:	1 
1186:	3 
1187:	1 
1189:	2 
1190:	1 
1191:	1 
1193:	1 
1194:	1 
1195:	1 
1196:	1 
1197:	1 
120:	2 
1206:	2 
1222:	1 
1225:	1 
1227:	2 
1228:	1 
1232:	3 
1233:	1 
1234:	1 
1237:	1 
1238:	1 
1239:	1 
1241:	1 
1242:	1 
1243:	2 1 1 1 1 1 1 1 1 1 
1244:	1 
1246:	2 1 
1247:	1 
1248:	1 
1249:	1 
1250:	1 
1251:	1 
1253:	2 
1254:	1 
1255:	1 
1257:	1 
1258:	2 
1259:	1 
1262:	1 
1264:	2 
1265:	4 
1266:	5 2 1 
1267:	1 
1268:	2 
1269:	1 
1270:	2 
1271:	6 
1272:	1 
1273:	1 
1284:	1 
1294:	2 1 
13:	1 
1313:	1 
1314:	1 3 
1321:	2 
1337:	1 
1339:	1 
134:	1 
1340:	1 
1343:	1 
1344:	2 
1345:	1 
1346:	2 
1349:	1 
135:	1 
1350:	2 
1353:	1 
1354:	1 
1359:	1 
136:	1 
1360:	1 
1361:	3 
1369:	1 
138:	1 1 
1382:	1 
1383:	1 1 
1387:	2 
139:	1 
1393:	1 
1396:	1 
1397:	3 
1398:	2 
1399:	1 
140:	1 
1400:	1 
1401:	1 1 
1402:	2 
1403:	1 
1404:	1 1 
1405:	1 
1406:	1 
1409:	1 1 
141:	1 2 
1416:	1 
1419:	5 
1421:	3 1 
1422:	2 
1424:	2 
1426:	1 
1429:	1 
143:	1 
1430:	1 
1431:	1 
1432:	1 
1433:	1 1 
1434:	1 
1435:	1 
1436:	1 
1437:	4 
1438:	4 
1439:	1 
144:	1 
1440:	1 
1442:	1 
1443:	2 
1444:	2 
1445:	2 
1446:	3 
1447:	2 
1448:	1 
1449:	5 
145:	1 
1450:	2 
1451:	1 1 
1452:	4 
146:	1 
1465:	1 
1469:	1 1 
147:	1 
1473:	2 
1474:	1 
1478:	2 1 
148:	1 
1482:	1 
1483:	1 
1484:	2 
1485:	1 
1487:	1 
149:	1 
1491:	1 2 
1494:	1 
1497:	2 
150:	1 
1506:	1 
1507:	1 
1508:	1 
151:	1 
1511:	1 
1513:	2 
1515:	1 
152:	2 
1521:	1 
1529:	1 
153:	1 1 
1531:	1 
154:	1 
1545:	1 
1548:	1 
1550:	1 
157:	1 
1571:	3 
1572:	2 
1573:	1 
1574:	2 
1575:	1 
1576:	1 
1577:	1 
1578:	3 
1579:	1 
1580:	1 
1581:	1 
1582:	1 
1583:	1 
1584:	1 
1585:	1 
1586:	2 
1587:	2 
1588:	1 
1589:	1 1 
159:	1 
1590:	1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1591:	1 
1592:	1 
1594:	1 
1595:	1 
1597:	1 
1599:	1 
16:	1 
160:	1 1 
1601:	1 
1603:	1 
1604:	1 
1605:	2 1 
1606:	1 
1607:	1 
1608:	1 
1609:	1 
1610:	1 
1611:	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1612:	1 
1615:	1 1 1 
1616:	1 
162:	1 
1624:	2 
163:	1 
1635:	4 
1636:	1 
1637:	1 
1638:	1 
1639:	1 
164:	1 
1640:	2 
1641:	1 
1642:	1 
1644:	1 
165:	10 
1655:	3 
1656:	1 
1662:	1 
1663:	2 
1664:	1 
167:	1 
1675:	2 1 
168:	1 
1680:	1 
1682:	1 
1685:	1 
1687:	3 
1688:	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1689:	1 
169:	1 
1690:	1 
1691:	1 
1692:	2 1 
1694:	1 
1695:	1 
1698:	1 
170:	1 
1701:	1 
1712:	1 
1715:	3 
1716:	1 
1717:	1 
1718:	4 
173:	1 
174:	1 
1740:	1 
1742:	1 
1743:	1 
1744:	1 
1745:	1 
1746:	1 
1747:	1 
1748:	2 2 
1749:	1 
175:	1 
1750:	2 
1751:	1 
1752:	3 
1753:	1 
1754:	1 
1755:	1 
1756:	1 
1757:	1 
1758:	1 
1759:	2 
176:	1 
1760:	1 
1761:	3 
1762:	1 
1763:	1 1 
1765:	1 
1767:	1 2 
177:	1 1 
1770:	1 
1771:	1 
178:	1 
1789:	3 
179:	1 
1791:	3 
1793:	1 
1794:	2 
1795:	1 
1797:	1 
18:	1 
1800:	1 
1802:	1 
1813:	2 
1814:	3 
1815:	1 
1816:	2 
1817:	2 
1818:	1 
1819:	4 
1820:	1 
1821:	2 
1822:	2 1 
1824:	1 
1825:	1 
1826:	1 
1827:	1 
1828:	1 
1829:	1 
1830:	1 
1831:	1 
1832:	1 
1833:	1 
1834:	1 
1835:	1 
1836:	1 
1837:	1 
1838:	1 1 1 
1839:	1 
1840:	1 
1841:	1 
1842:	1 
1843:	1 
1845:	1 1 
1850:	3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1851:	1 
1856:	1 
1857:	1 
1858:	2 
1859:	2 
1860:	1 
1861:	2 
1862:	1 
1863:	1 
1864:	1 
1865:	1 
1866:	2 
1870:	1 
1874:	1 
1880:	1 
1881:	1 
1884:	1 
1885:	1 
1886:	1 
1889:	2 
1890:	8 
1892:	1 
1893:	1 1 
1894:	1 1 
190:	2 
1902:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
