=== non-contiguous nft : chains ===
Found 1855 chain interruption in 6384 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1009:	1 
101:	2 
1010:	1 2 1 1 
1011:	2 
102:	2 
103:	2 
1035:	2 
1036:	3 
1037:	1 
1038:	2 
104:	1 
1040:	2 4 
1043:	1 
1045:	2 
1047:	3 
1048:	6 
1049:	2 
105:	1 
1050:	2 
1051:	1 
1052:	1 
1053:	2 
1054:	4 3 
1055:	2 
1056:	1 
1057:	2 
1058:	2 
1059:	1 
106:	2 
1063:	2 1 2 
1067:	2 4 1 
107:	2 1 
1078:	1 
1079:	2 1 
108:	2 
1080:	5 
1081:	1 
1082:	2 
1083:	2 
1084:	6 
109:	1 
1096:	2 
110:	3 
1104:	1 
1105:	3 
1109:	1 
111:	2 
1110:	1 
1112:	2 1 3 
1114:	2 
1115:	2 
1116:	3 1 
1117:	2 1 
1118:	2 
1119:	3 
1120:	2 1 1 
1121:	1 
1122:	2 
1123:	4 
1125:	1 
1126:	2 
1127:	3 
1128:	2 1 
1129:	2 
113:	4 
1132:	2 
1133:	1 
1134:	2 
1136:	2 1 
1138:	5 
1139:	1 2 
114:	1 
1142:	1 
1143:	2 
1144:	2 
1145:	3 1 
1146:	1 
1147:	2 
1148:	1 1 
1149:	2 
1150:	3 
1151:	7 
1159:	3 2 
116:	6 3 
1164:	5 
117:	3 1 
1170:	1 1 
1172:	3 
1173:	2 
1174:	2 
1175:	2 
1176:	2 1 
1177:	1 
1178:	2 
1179:	2 
118:	1 
1180:	1 
1181:	1 
1182:	4 
1183:	1 1 
1184:	1 
1185:	4 
1186:	3 
1187:	5 
1188:	1 
1189:	2 2 
1190:	1 1 
1191:	2 
1192:	1 
1193:	3 
1194:	1 
1197:	2 
1198:	1 
1199:	1 
1200:	1 
1201:	5 
1202:	1 1 
1204:	3 1 
1212:	1 
1213:	2 1 
1214:	1 
1215:	2 
1217:	1 
1219:	1 1 
1225:	3 
1228:	1 
1244:	1 
1245:	4 
1246:	1 
1247:	1 
1248:	1 
1249:	2 1 
1250:	2 
1251:	3 
1252:	5 
1253:	2 
1254:	1 
1255:	2 2 
1256:	2 
1257:	1 
1258:	4 2 
1259:	2 
1263:	1 1 
1269:	2 
1270:	1 
1272:	1 5 
1276:	2 
1277:	3 
1278:	2 
1279:	6 1 5 1 
128:	1 
1280:	1 
1281:	3 
1282:	3 
1283:	3 
1284:	2 
1288:	3 
1293:	1 
1296:	2 
1297:	2 
13:	1 
1303:	2 3 1 
1304:	1 
1305:	2 2 
1306:	4 
1307:	2 
1310:	1 
1311:	1 
1312:	2 1 
1313:	8 
1314:	1 
1319:	3 2 
1322:	1 
1325:	2 
1326:	5 1 
1327:	3 
1328:	3 3 
1329:	6 
1330:	1 
1331:	5 
1332:	4 
1333:	3 
1335:	1 
1340:	3 
1346:	1 
1347:	2 
1348:	1 
1349:	2 
1350:	2 
1351:	1 
1352:	3 
1353:	3 
1354:	1 
1355:	1 
1356:	2 
