=== non-contiguous nft : chains ===
Found 576 chain interruption in 6689 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 2 
1001:	1 
1004:	2 
1005:	1 
1006:	1 
1008:	1 
1010:	1 
1012:	2 
1015:	1 
1016:	1 
1017:	1 
1018:	2 1 
1019:	1 
1020:	1 
1021:	1 
1022:	1 
1023:	1 
1024:	1 
1025:	4 
1027:	1 
1028:	1 
1029:	1 
103:	1 
1030:	3 
1031:	1 
1032:	2 
1033:	1 
1034:	1 
1036:	2 
1038:	1 
1039:	2 
104:	1 
1040:	3 
1041:	3 
1042:	2 
1043:	4 
1045:	1 
1046:	2 
105:	1 2 
1050:	2 
1051:	2 
1053:	2 2 
1054:	2 
1055:	1 
1057:	1 2 2 
1058:	1 
1059:	1 
1061:	3 
1063:	3 
1064:	2 
1066:	1 
1067:	1 
107:	2 
1070:	4 
1072:	2 1 
1073:	1 
1074:	4 
1075:	1 
1078:	2 
108:	2 
1081:	4 
1083:	2 1 
1084:	2 
1087:	2 
1088:	2 
1090:	3 
1093:	1 
1095:	1 
1096:	1 
1097:	1 
1099:	1 
11:	1 
110:	1 
1100:	2 
1102:	3 
1103:	2 
1104:	3 
1105:	3 
1106:	1 
1107:	1 
1108:	1 
1110:	1 
1111:	1 
1113:	1 
1114:	1 
1115:	1 
1116:	1 
1117:	1 
1119:	1 
1120:	1 
1121:	3 
1123:	1 
1124:	1 
1126:	1 
1127:	1 
1128:	1 
1129:	1 
113:	1 
1130:	2 
1131:	2 
1132:	1 
1133:	1 
1136:	1 
1138:	1 
1139:	1 
114:	1 
1140:	1 
1141:	2 
1142:	1 
1143:	1 
1145:	2 
1146:	1 1 
1147:	1 
1150:	3 
1151:	2 
1153:	1 
1154:	1 
1157:	2 
1158:	2 
1161:	1 
1162:	1 
1163:	1 
1164:	2 
1166:	1 
1169:	4 
1170:	3 
1173:	3 
1174:	1 
1176:	3 
1177:	2 
1178:	2 
1179:	2 
1180:	1 
1182:	2 
1183:	1 
1184:	3 1 
1185:	1 
1186:	2 
1187:	1 1 
1188:	1 
1189:	4 
1191:	2 
1192:	1 
1193:	1 
1194:	2 
1196:	1 
1197:	1 1 
1199:	1 
1201:	3 
1206:	4 
1207:	4 
1208:	3 
1209:	2 1 
121:	1 
1210:	1 
1212:	1 3 
1213:	2 
1214:	1 
1215:	2 
1216:	2 
1217:	2 
1219:	2 
1221:	1 
1222:	2 
1223:	3 
1224:	3 
1225:	1 
1226:	1 
1227:	1 
1228:	2 
1229:	1 
123:	1 
1230:	1 
1231:	1 
1232:	1 
1233:	1 
1234:	1 
1235:	1 
1236:	2 
1237:	3 
1239:	2 
124:	3 
1243:	2 
1245:	3 
1246:	1 
1247:	3 1 
1249:	2 
125:	3 1 
1250:	1 
1254:	1 
1255:	2 
1256:	1 
1257:	1 
1259:	2 
1260:	1 
1261:	1 
1262:	1 
1263:	2 
1264:	1 
1266:	1 
1268:	1 1 
1269:	2 
1270:	1 
1271:	1 
1273:	2 
1274:	1 
1276:	1 
1277:	1 2 
1279:	2 
1282:	2 
1286:	1 
1288:	2 
1289:	1 
1290:	1 
1291:	1 
1297:	1 2 1 
1298:	3 
1299:	1 
13:	1 2 
130:	2 
1301:	1 
1302:	2 
1304:	2 
1305:	2 
1306:	2 
1307:	1 
1308:	3 
131:	1 
1310:	1 
1311:	1 
1312:	4 
1313:	4 
1314:	2 
1315:	1 
1318:	2 
132:	1 1 
1322:	2 
1323:	2 2 
1324:	1 
1325:	2 
1326:	1 2 
1327:	1 
1330:	1 
1333:	4 
1334:	3 
1337:	5 
1338:	2 
1339:	1 
1340:	2 
1341:	2 
1342:	1 2 
1343:	2 
1344:	2 
1345:	2 
1346:	1 
1347:	1 
1349:	3 
135:	2 
1350:	1 
1351:	7 
1352:	2 
1354:	1 
1355:	4 
1356:	3 
1358:	1 
1359:	4 1 
136:	1 
1360:	2 
1361:	2 
1362:	2 1 
1363:	2 
1365:	1 
1366:	1 
1368:	1 
1369:	1 
137:	3 
1372:	3 
1373:	1 
1374:	1 
1377:	3 
1380:	2 
1384:	1 
1385:	1 
1387:	1 
1389:	2 
139:	3 1 
1392:	1 
1399:	1 
14:	2 
140:	3 
1401:	3 
1403:	1 
1404:	5 
1405:	2 
1407:	1 1 
1408:	3 
1409:	4 
141:	1 
1410:	1 
1411:	1 
1412:	3 
1413:	2 
1415:	2 
1416:	1 1 
142:	1 
1420:	1 
1421:	2 
1422:	3 
1427:	3 
1428:	1 
143:	3 
1430:	1 
1431:	3 
1432:	1 2 
1433:	1 
1434:	1 
1435:	4 
1437:	2 
1438:	2 
144:	1 
1440:	3 
1441:	1 
1442:	1 
1443:	4 1 
1445:	2 
1446:	1 
1447:	1 
1448:	1 
1449:	1 
1450:	3 
1451:	1 
1452:	2 
1454:	2 
1456:	1 
1458:	1 
1459:	1 
146:	1 
1460:	1 
1461:	1 
1463:	1 
1466:	4 
1467:	2 
1469:	2 
1470:	4 
1471:	1 2 
1472:	1 
1473:	1 
1474:	1 
1475:	2 
1476:	1 
1477:	1 1 
1479:	2 
1481:	3 
1484:	4 
1486:	2 
1487:	4 
1488:	3 
1489:	2 
1490:	1 1 
1491:	1 
1492:	1 
1493:	1 
1494:	1 
1495:	1 
1496:	2 
1497:	2 
1499:	3 1 
15:	1 
1500:	1 
1501:	1 
1502:	1 
1504:	1 
1505:	1 
1506:	3 
1507:	3 
1508:	1 3 
1509:	3 
1510:	3 
1511:	2 
1512:	2 
1515:	1 
1517:	4 
1518:	1 
1519:	1 
1520:	1 
1521:	1 
1525:	2 
1527:	1 
1528:	1 
153:	3 
1530:	2 
1532:	1 
1533:	1 
1534:	2 
1539:	3 
154:	1 
1544:	1 
1545:	2 
1547:	1 
1549:	1 
155:	1 
1550:	1 
1551:	3 
1552:	2 
1554:	1 
1556:	2 
1558:	3 
1559:	1 2 
1564:	1 
1565:	1 
1566:	1 
1568:	3 
1569:	2 
157:	2 
1570:	1 
1571:	3 
1572:	1 
1573:	2 
1574:	1 
1576:	1 
1577:	1 
1578:	2 
1580:	2 
1581:	2 
1582:	3 
1584:	1 
1585:	2 
1586:	1 
1587:	3 
1588:	1 
1589:	3 
1592:	1 
1594:	1 
1595:	1 
1596:	1 
1597:	2 
1598:	1 
1599:	2 
16:	3 2 
160:	1 
1601:	2 1 
1602:	1 
1603:	1 2 
1604:	1 
1605:	1 
1606:	2 
1607:	1 
1608:	1 
1609:	2 
161:	3 
1611:	1 
1612:	1 1 1 1 
1614:	1 
1615:	1 
1616:	1 
1617:	2 
1619:	1 
1621:	1 
1622:	1 
1623:	1 
1624:	3 
1625:	1 
1627:	3 
1628:	1 
1629:	3 
163:	1 
1630:	1 
1631:	1 
1632:	2 1 
1634:	3 
1635:	1 
1636:	2 
1637:	2 
1638:	2 
1639:	3 
1640:	3 
1642:	1 
1643:	3 
1645:	1 
1648:	3 
165:	1 
1650:	1 
1651:	1 
1652:	2 
1655:	1 3 1 
1656:	2 
1657:	1 
1659:	2 
166:	1 
1660:	1 
1661:	1 
1662:	4 
1663:	1 
1664:	1 
1665:	3 
1666:	1 
1669:	1 
1671:	4 
1672:	1 
1673:	3 
1675:	3 
1676:	1 
1677:	3 
1678:	2 
1679:	1 
168:	2 
1680:	2 
1681:	2 
1682:	1 
1683:	1 
1685:	1 
1686:	3 
1687:	3 
1689:	4 
1690:	3 
1691:	1 
1693:	5 
1696:	2 
1697:	4 
17:	1 
1700:	1 
1701:	2 
1704:	1 
1705:	1 
1706:	2 
1707:	1 
1708:	2 
1711:	1 
1712:	1 
1713:	1 
1715:	2 
1717:	1 
1718:	1 
1721:	1 
1722:	2 
1723:	2 
1724:	3 
1725:	1 
1726:	1 1 
1728:	1 
173:	3 
1730:	3 
1731:	4 1 
1732:	2 
1733:	2 
1734:	2 
1735:	1 
1736:	2 
1737:	1 
1738:	1 1 
1739:	1 
1740:	1 
1742:	1 
1745:	1 
1747:	1 
1748:	2 2 1 
1749:	3 
175:	2 
1750:	4 
1751:	1 
1752:	2 
1753:	2 
1755:	2 
1756:	1 
1757:	1 
1759:	2 
1760:	2 
1764:	1 
1765:	2 
1766:	1 
1768:	1 
1769:	2 
177:	1 
1771:	1 
1773:	2 
1774:	3 
1775:	2 
1776:	1 
1777:	3 
1778:	3 
1779:	3 
1781:	3 
1782:	2 
1784:	5 
1785:	2 2 1 
1786:	2 
1788:	2 
1789:	2 
179:	1 
1790:	1 
1793:	1 
1797:	1 
1798:	2 
18:	3 
180:	2 
1801:	5 
1802:	1 
1804:	1 
1806:	1 
1807:	1 
1808:	1 
1809:	1 
181:	2 
1811:	1 
1812:	1 
1813:	2 
1814:	2 
1815:	3 
1818:	1 
1819:	2 
182:	1 
1820:	7 
1824:	1 1 
1825:	1 
1826:	2 
1827:	3 
1828:	1 
1829:	2 
1833:	1 
1834:	2 
1835:	2 
1836:	1 
1837:	3 
1838:	1 
1839:	2 
184:	3 
1840:	3 
1841:	1 
1842:	3 
1843:	1 
1845:	4 
1846:	3 
1847:	2 
1848:	2 
1849:	5 3 
1850:	1 
1851:	2 
1852:	2 3 
1853:	2 
1854:	1 
1856:	1 
1858:	2 
186:	1 1 
1860:	2 
1861:	2 
1862:	1 
1865:	2 
1866:	2 
1868:	1 
1869:	7 
187:	1 
1870:	1 
1872:	1 
1874:	1 
1876:	1 
1877:	4 
1878:	2 
188:	2 
1880:	1 
1881:	1 
1882:	3 1 
1883:	1 
1885:	1 
1886:	2 
1887:	1 
1888:	1 
189:	6 
1892:	3 
1893:	2 
1894:	1 
1895:	2 
1899:	3 
19:	2 
190:	2 
1901:	2 
1905:	1 
1906:	1 
1908:	1 
1909:	4 
191:	2 
1910:	1 
1911:	1 
1912:	1 
1913:	2 
1914:	1 
1915:	1 
1917:	2 
192:	2 
1920:	2 
1921:	2 
1922:	2 
1923:	2 
1924:	2 
1925:	2 
1926:	2 
1928:	1 
1929:	2 
193:	3 
1930:	1 
1931:	1 
1932:	2 
1933:	1 
1935:	1 
1938:	3 
1939:	3 
194:	1 
1941:	1 
1944:	1 
1947:	1 
1949:	1 
195:	2 
1950:	1 
1952:	1 
1954:	3 
1955:	1 
1956:	1 
1957:	3 
1958:	2 
1959:	1 
196:	2 
1960:	1 
1961:	1 
1963:	1 
1964:	3 
1966:	1 
1967:	2 
1968:	1 
197:	5 
1970:	1 
1971:	2 
1973:	1 
1979:	4 
1980:	1 
1984:	1 
1985:	1 
1987:	1 
1988:	1 
1990:	1 
1992:	2 
1993:	1 
1994:	2 
1995:	1 
1996:	1 
1998:	1 
2:	2 
200:	2 
2001:	1 
2002:	3 
2004:	1 
2005:	3 
2006:	3 
2007:	5 
2008:	1 
201:	1 
2010:	1 
2011:	2 
2012:	3 
2014:	2 1 
2015:	1 
2017:	1 
2018:	3 
2019:	1 
202:	1 
2020:	4 
2021:	1 2 
2022:	3 
2023:	1 
2027:	3 
2028:	1 
2029:	2 
203:	2 
2031:	1 
2033:	2 
2036:	1 
2037:	3 
2038:	1 
2039:	1 
204:	3 
2041:	1 
2042:	1 
2044:	3 
2045:	1 
2046:	2 
2048:	1 
205:	1 
2051:	1 
2052:	2 
2053:	1 
2054:	1 
2057:	2 
2059:	1 
2060:	2 
2062:	1 
2063:	2 
2064:	2 
2065:	1 
2068:	1 1 
2071:	1 
2072:	3 
2073:	1 
2074:	2 1 
2075:	3 
2076:	2 
2079:	1 
208:	1 
2080:	1 
2081:	3 
2082:	1 
2083:	1 
2085:	1 
2086:	1 
2088:	1 
2089:	2 
2091:	1 
2093:	1 
2094:	1 
2097:	2 
2098:	1 1 1 
2099:	1 
21:	1 
2100:	1 
2104:	2 
2106:	1 
2107:	2 
2109:	2 
211:	2 
2111:	2 
2114:	2 
2117:	2 1 
2118:	3 
212:	1 
2121:	2 
2123:	1 
2124:	1 
2125:	1 
2126:	1 
2127:	1 
2128:	2 
2129:	2 1 
213:	1 
2132:	1 
2133:	2 
2134:	1 
2135:	1 
2136:	2 
2137:	2 
2138:	1 
2139:	2 
214:	2 
2140:	1 
2141:	2 
2144:	1 2 
2145:	2 
2146:	3 
2147:	1 
2148:	2 
2150:	3 1 
2152:	1 
2154:	1 
2155:	1 
2157:	2 
216:	1 
2161:	1 
2163:	1 
2164:	1 2 
2165:	2 
2166:	2 
2167:	1 
2169:	1 
217:	3 
2170:	2 
2171:	1 
2173:	1 
2174:	2 
2175:	1 
2176:	2 
2179:	1 
218:	1 
2182:	1 
2183:	1 
2184:	1 
2186:	2 
2187:	1 
2189:	1 
219:	1 
2190:	1 
2194:	1 
2198:	1 
2199:	4 
22:	2 
220:	1 
2200:	2 
2204:	1 
2206:	1 
2207:	1 2 
2210:	1 
2212:	1 
2214:	1 
2215:	4 2 
2216:	1 
2217:	3 
2218:	1 
2219:	1 
222:	2 
2220:	1 
2221:	1 
2222:	1 
2223:	4 
2226:	1 
2227:	6 
223:	1 2 
2230:	3 
2231:	2 
2232:	3 
2233:	2 
2234:	1 
2236:	3 
2237:	1 
2238:	1 
224:	2 
2240:	2 
2241:	2 
2244:	2 
2245:	1 
2247:	2 
2248:	2 
2249:	1 
225:	4 
2250:	2 
2251:	2 
2254:	2 1 
2256:	1 
2257:	5 
226:	1 
2260:	1 
2261:	2 
2262:	2 
2263:	3 
2265:	2 
2266:	1 
227:	1 
2270:	1 
2271:	1 
2273:	1 
2274:	2 
2276:	2 
2277:	1 
2279:	2 
228:	3 
2280:	1 
2281:	2 1 
2283:	1 
2285:	2 
2286:	2 
2288:	1 
2289:	2 
229:	2 1 
2291:	1 
2292:	1 
2293:	2 
2294:	1 
2297:	1 
2298:	2 
23:	1 
230:	3 
2300:	2 
2302:	4 
2303:	3 
2304:	4 
2305:	1 
2308:	2 
2309:	1 1 
231:	2 
2311:	1 
2312:	1 
2313:	1 
2316:	2 
2317:	4 
2319:	2 
232:	4 2 
2320:	3 
2322:	1 
2325:	1 
2327:	1 
2329:	1 
2331:	1 
2332:	3 
2333:	1 
2334:	1 
2335:	1 
2336:	2 
2337:	2 
2339:	1 
234:	1 
2341:	2 
2342:	1 
2346:	1 
2347:	1 
2349:	1 
235:	1 
2350:	1 
2351:	3 
2355:	1 
2356:	2 
2357:	1 
2359:	1 
2361:	2 
2363:	2 
2367:	2 
2368:	1 
2369:	3 
237:	1 
2372:	2 
2373:	1 
2374:	2 
2375:	3 
2376:	2 
2377:	2 
2378:	1 1 
238:	1 
2382:	1 
2383:	3 
2385:	1 
2389:	1 
239:	1 
2390:	1 
2392:	1 
2394:	4 
2395:	3 
2397:	1 1 
2399:	3 
24:	3 
240:	1 
2400:	1 
2401:	1 
2404:	1 
2405:	1 
2406:	1 
2407:	2 
2408:	1 
241:	2 
2411:	1 
2412:	1 
2413:	1 
2414:	1 1 
2416:	1 
2417:	4 
2418:	2 
242:	2 
2422:	1 
2423:	1 
2424:	1 
2425:	3 1 
2426:	4 
2427:	2 
2428:	1 
2429:	1 
2430:	1 
2432:	1 
2433:	1 
2434:	1 
2435:	1 
2436:	1 
2438:	1 
2439:	1 
244:	1 
2441:	1 
2444:	1 
2445:	1 
2446:	3 
2448:	1 
2449:	1 
245:	1 
2450:	1 
2451:	1 1 
2452:	1 
2453:	1 
