=== non-contiguous nft : chains ===
Found 1188 chain interruption in 6546 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 1 
1000:	2 
1001:	1 
1002:	1 
1003:	2 4 3 1 
1004:	1 
1005:	1 
1006:	1 
1009:	1 
101:	2 
1010:	3 
1011:	2 
1012:	1 
1014:	2 
1015:	4 
1017:	1 
1018:	1 
1020:	4 
1022:	2 
1023:	2 
1024:	1 
1025:	3 
1026:	2 
1027:	2 
1029:	1 
1030:	1 
1031:	1 
1032:	1 1 1 
1033:	1 
1036:	2 1 
1037:	1 1 3 1 
1040:	1 
1041:	1 
1042:	3 
1043:	4 
1044:	3 
1045:	1 
1046:	1 
1047:	1 
1048:	1 
1049:	1 
1050:	2 
1052:	3 
1053:	1 1 
1055:	1 
1056:	3 
1060:	1 
1061:	3 
1065:	1 
1067:	1 
1068:	1 
1069:	2 
107:	1 
1072:	4 1 
1073:	2 
1075:	1 
1076:	1 1 
1077:	2 
1078:	3 
108:	4 
1082:	2 
1084:	3 2 
1085:	2 
1086:	3 
1087:	1 3 
1088:	1 
1089:	1 1 
109:	4 
1090:	4 
1091:	1 
1092:	4 
1093:	2 
1094:	1 1 
1095:	5 
1098:	2 
1099:	4 
11:	1 
110:	3 4 
1100:	2 
1101:	2 
1102:	3 
1103:	1 
1104:	3 
1105:	2 
1106:	1 1 
1107:	2 
1108:	1 
1109:	1 
111:	3 
1111:	1 2 
1112:	2 
1113:	2 
1116:	1 1 
1117:	2 
1118:	1 
112:	3 
1120:	2 
1121:	1 
1122:	1 
1123:	2 1 2 6 
1126:	1 
1128:	1 
1129:	1 
113:	1 
1130:	3 
1132:	1 
1133:	1 
1137:	2 
1138:	3 
1139:	3 
114:	3 2 
1141:	1 
1142:	1 
1143:	1 1 1 1 
1144:	1 
1145:	3 
1146:	3 
1147:	3 
1149:	1 
115:	1 
116:	2 2 2 
1160:	6 
1161:	1 
1162:	2 1 
1163:	2 
1164:	4 
1165:	2 
1166:	1 1 1 1 
1167:	1 
1168:	3 
1169:	2 1 
117:	2 
1171:	1 
1175:	5 2 1 
1176:	2 
1177:	1 
1180:	2 
1181:	1 
1182:	2 
1183:	3 
1184:	2 
1185:	1 
1186:	2 
1187:	2 2 
1188:	1 
1189:	1 
119:	3 
1190:	1 
1191:	1 
1192:	1 
1193:	2 1 
1194:	1 
1195:	2 
1196:	1 
1197:	1 
12:	2 
120:	1 
1200:	3 
1201:	5 
1202:	3 1 
1205:	6 
1206:	2 1 
1207:	1 
1208:	1 
1209:	3 1 
1210:	2 
1211:	2 
1212:	3 
1213:	1 
1214:	1 
1216:	1 
1217:	2 
1218:	3 
122:	4 
1220:	3 
1221:	3 
1222:	2 2 
1225:	1 
1226:	1 
1228:	3 2 1 
1229:	1 
123:	1 
1233:	1 
1234:	1 
1235:	1 2 
1236:	1 1 
1239:	2 
124:	1 
1240:	3 
1241:	1 
1242:	1 
1243:	1 
1244:	1 
1247:	2 
1248:	1 
1249:	1 
125:	2 
1250:	1 
1251:	1 
1252:	1 
1253:	1 
1254:	4 
1255:	1 2 
1256:	1 
1257:	3 
1258:	1 
1259:	2 
126:	1 1 
1260:	3 
1261:	2 
1262:	4 
1263:	1 
1264:	1 
1265:	1 
1266:	1 
1267:	1 
1268:	1 1 
1269:	2 
127:	3 
1270:	1 
1272:	1 
1273:	3 
1274:	4 
1275:	1 
1276:	1 
1277:	2 
1279:	2 
1280:	1 
1281:	1 
1282:	1 
1283:	2 1 
1284:	2 
1285:	2 1 
1286:	2 
1288:	5 
1289:	1 1 
1290:	1 
1291:	1 
1292:	1 
1293:	2 2 2 
1294:	1 2 
1295:	1 
1297:	1 
1298:	2 
1299:	1 
13:	1 
1300:	4 
1303:	1 
1305:	5 
1306:	1 
1307:	2 
1308:	1 
1309:	1 
131:	1 
1310:	1 
1311:	1 
1312:	1 1 
1313:	2 
1314:	3 
1316:	3 
1317:	2 
