=== non-contiguous nft : chains ===
Found 476 chain interruption in 3449 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 2 
10:	1 
100:	1 
1000:	1 
1001:	2 
1002:	2 
1003:	1 
1004:	2 
1005:	1 
1006:	1 
1007:	2 
1008:	1 2 
101:	2 
1010:	2 
1011:	2 
1012:	2 
1013:	1 
1014:	1 
1015:	1 
1016:	1 
1017:	3 1 
1018:	1 
1019:	1 
102:	1 
1020:	1 
1021:	1 
1022:	1 
1023:	1 1 
1024:	1 
1025:	2 
1026:	1 
1027:	3 
1028:	2 
1029:	2 
103:	2 
1030:	1 
1031:	2 1 1 
1032:	2 
1033:	1 
1034:	1 
1035:	1 
1036:	2 1 1 
1037:	3 
1038:	2 
1039:	1 
104:	3 
1040:	3 
1041:	1 
1042:	1 1 
1043:	1 
1044:	2 
1045:	1 
1047:	1 
1049:	1 2 
105:	1 
1050:	1 
1051:	1 2 3 1 
1052:	1 
1053:	1 
1054:	1 
1055:	3 
1056:	1 
1057:	1 
1058:	1 
1059:	1 
106:	1 
1060:	1 
1061:	1 
1062:	1 
1063:	2 
1064:	2 
1065:	1 
1066:	1 1 
1067:	2 
1068:	1 
1069:	1 
107:	2 
1070:	1 
1071:	1 
1072:	1 
1073:	1 
1074:	1 
1075:	2 
1076:	3 
1077:	1 
1078:	1 
1079:	2 
108:	2 
1080:	1 
1081:	2 
1082:	1 
1083:	3 1 
1084:	1 
1085:	1 
1086:	2 
1087:	1 3 
1088:	1 
1089:	1 2 
109:	1 2 
1091:	1 
1092:	2 
1093:	1 
1094:	1 
1095:	1 
1096:	1 
1097:	2 
1098:	1 1 2 
1099:	1 2 
11:	2 
110:	1 
1100:	2 1 
1104:	2 
1105:	2 
1106:	1 
1107:	3 
1108:	2 
1109:	1 
111:	3 
1110:	1 
1111:	2 
1112:	1 
1113:	1 
1114:	1 
1115:	1 
1116:	4 
1117:	1 
1118:	2 
1119:	2 
112:	2 
1120:	1 
1121:	1 
1122:	3 
1123:	2 
1124:	3 
1125:	2 
1126:	1 
1127:	3 
1128:	1 
1129:	1 
113:	3 
1130:	3 
1131:	2 
1132:	1 2 
1133:	1 
1134:	1 
1135:	3 
1136:	2 1 
1138:	1 
1139:	1 6 
114:	2 
1140:	1 
1141:	3 
1142:	1 
1143:	1 1 
1144:	1 
1145:	5 
1146:	1 
1147:	1 
1148:	1 
1149:	3 
115:	2 1 
1150:	1 
1151:	1 
1152:	1 
1153:	2 
1154:	2 
1155:	2 
1156:	1 
1157:	1 
1158:	2 
1159:	1 
116:	2 
1160:	1 
1161:	2 
1162:	1 
1163:	3 
1164:	4 1 
1165:	3 
1166:	1 
1167:	1 
1168:	2 
1169:	2 
117:	1 2 
1170:	2 
1171:	2 
1176:	1 
1177:	2 1 
1178:	3 
1179:	2 
118:	2 
1180:	1 
1181:	2 
1182:	3 
1183:	1 
1184:	2 1 
1185:	2 
1186:	1 
1187:	1 
1188:	1 2 
1189:	2 
119:	2 2 
1190:	1 
1191:	7 1 
1192:	1 1 1 
1193:	1 1 1 
1194:	1 
1195:	2 
1196:	2 
1197:	3 4 
1198:	1 
1199:	1 
12:	1 
120:	3 
1200:	1 
1201:	1 
1202:	1 
1203:	2 
1204:	1 
1208:	1 
1209:	3 
121:	2 
1210:	1 2 
1211:	1 
