=== non-contiguous nft : chains ===
Found 1400 chain interruption in 7984 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 
10000:	3 
1001:	4 
1002:	1 
1004:	1 
1005:	1 1 
1007:	2 1 
1009:	1 1 
1013:	2 
1015:	2 
1016:	1 
1017:	1 
1018:	1 
102:	3 
1020:	2 
1021:	1 
1022:	1 
1023:	2 
1024:	1 
1027:	2 1 
1028:	1 
1029:	1 
1031:	1 4 
1032:	1 
1035:	1 
1036:	1 
1037:	1 
1038:	1 
1041:	2 
1044:	2 
1046:	1 
1047:	1 
1048:	5 2 1 
1049:	3 
1050:	5 
1051:	1 3 
1052:	4 
1053:	2 
1055:	1 
1057:	1 2 
1059:	1 
1060:	1 1 
1061:	1 
1062:	4 
1063:	1 
1064:	1 1 1 
1065:	1 
1067:	1 
1073:	2 
1074:	1 1 
1075:	1 
1077:	1 
1079:	2 
1081:	1 2 
1083:	1 
1084:	3 
1085:	1 
1086:	1 1 
1087:	1 
1088:	1 
1089:	2 
1090:	2 1 
1091:	4 
1092:	2 
1094:	4 2 
1097:	1 
1098:	3 
1099:	1 1 
1100:	3 
1102:	1 
1104:	1 
1105:	2 1 
1107:	1 
1109:	4 1 1 1 
1110:	2 
1112:	1 
1113:	1 
1116:	2 
1117:	1 
1118:	2 
1119:	1 
1125:	1 
1128:	1 
1129:	2 
1130:	1 
1131:	3 
1132:	1 
1133:	1 
1134:	3 
1141:	1 
1142:	2 
1143:	3 
1144:	1 
1145:	3 
1149:	1 
1150:	1 1 
1152:	3 
1153:	1 
1155:	1 
1158:	1 
1160:	2 
1161:	2 
1162:	3 
1163:	1 
1164:	1 
1167:	1 
1168:	2 
1169:	1 
1170:	1 
1174:	2 
1176:	3 
1177:	2 
1179:	1 1 
1180:	1 
1182:	1 
1183:	2 
1184:	6 
1185:	1 
1186:	1 
1187:	4 
1188:	1 1 2 
1190:	1 
1192:	1 
1193:	1 
1197:	6 
1198:	1 1 
1199:	2 1 
1200:	2 
1203:	1 
1206:	2 
1209:	1 
1210:	1 1 
1213:	5 
1214:	3 
1215:	1 
1216:	2 
1217:	1 
1219:	1 
122:	1 
1223:	1 1 
1224:	1 
1227:	5 
1228:	2 
1229:	4 
1231:	1 1 
1232:	3 
1233:	1 1 
1236:	2 
1237:	2 
1238:	1 
1239:	1 
1240:	3 
1242:	1 
1244:	1 2 
1245:	1 
1246:	3 
1248:	2 
1249:	3 
1251:	1 
1253:	1 1 
1254:	2 
1256:	1 
1258:	3 
1259:	2 
1260:	2 
1261:	1 
1262:	7 
1264:	3 
1265:	2 
1266:	2 
1267:	1 
1268:	2 
1273:	2 
1274:	3 
1276:	2 
1277:	1 
1280:	1 
1282:	1 1 
1284:	2 
1285:	1 1 
1286:	1 
1289:	3 
1290:	1 1 1 
1293:	4 
1294:	2 
1295:	2 1 
1297:	2 
1300:	1 
1303:	2 
1305:	2 4 
1306:	1 
1308:	4 
1311:	1 
1313:	3 
1314:	1 
1315:	2 
1316:	3 
1317:	1 
1320:	1 4 
1324:	2 
1326:	1 
1329:	2 
1330:	1 
1331:	3 1 
1333:	3 
1334:	2 
1335:	2 
1336:	1 
1338:	1 
1342:	1 
1343:	1 
1344:	1 
1345:	4 
1347:	2 
1349:	1 
1350:	1 
1351:	1 
1354:	3 1 1 
1355:	1 1 2 
1358:	3 2 
1360:	1 
1361:	2 
1366:	1 
1367:	1 
1373:	1 
1374:	1 2 
1375:	2 2 
1376:	2 
1382:	1 4 
1383:	1 
1384:	1 
1385:	2 
1387:	1 
1390:	3 
1391:	1 
1392:	1 1 
1395:	2 
1396:	2 
1397:	1 
1399:	2 
1400:	2 
1403:	1 
1405:	1 
1408:	2 
1409:	1 
1410:	4 
1411:	1 
1414:	1 
1415:	4 
1418:	2 
1423:	2 
1424:	3 
1427:	1 
1432:	1 
1435:	2 
1436:	3 
1438:	2 
1439:	5 
1440:	1 2 
1441:	2 
1443:	2 2 
1446:	2 
1447:	2 
1449:	1 
1450:	2 
1451:	3 
1452:	3 2 
1454:	1 1 1 
1455:	3 
1456:	1 
1457:	2 
1458:	1 1 3 
1459:	1 1 
1461:	2 
1465:	2 
1466:	1 
1467:	3 
1469:	5 
1470:	2 
1473:	1 
1475:	1 
1480:	4 
1481:	1 
1482:	2 
1483:	2 
1484:	1 
1485:	2 1 
1486:	2 
1487:	2 
1488:	2 
1491:	2 
1492:	3 
1493:	1 
1494:	1 
1495:	1 1 
1496:	1 1 
1499:	1 
1501:	1 
1502:	2 
1503:	2 1 1 
1504:	3 
1505:	1 
1506:	1 
1507:	3 
1508:	1 
1509:	3 
1510:	1 
1512:	2 
1513:	1 1 
1514:	1 
1515:	1 
1516:	1 
1517:	1 1 2 
1523:	1 2 
1524:	8 
1525:	1 
1528:	1 
1529:	1 1 
1532:	2 
1535:	2 
1536:	3 
1537:	1 1 
1538:	3 
1541:	4 1 
1542:	2 
1546:	2 
1548:	1 
1549:	4 
1550:	3 
1551:	5 
1553:	3 
1554:	1 
1557:	4 
1561:	2 
1562:	1 
1563:	2 
1564:	1 1 
1568:	2 
1569:	1 
1573:	2 
1574:	2 
1575:	2 
1576:	3 
1579:	1 
1580:	1 1 
1581:	2 
1584:	1 
1587:	1 5 
1590:	1 
1591:	1 
1592:	1 
1593:	1 
1594:	3 
1596:	1 
1597:	2 
16:	2 
1602:	2 
1603:	1 
1607:	1 
1609:	2 
1610:	2 
1612:	1 1 
1616:	1 
1617:	1 
1618:	1 
1619:	1 
1620:	4 
1621:	1 
1622:	3 
1623:	1 
1624:	2 
1627:	1 
1628:	1 
1629:	1 
1631:	2 
1633:	2 
1635:	1 
1636:	1 
1638:	2 
1639:	3 
1640:	1 1 1 2 
1643:	1 
1644:	4 
1645:	1 
1646:	2 
1647:	2 
1649:	1 
1650:	2 
1651:	3 2 1 
1653:	1 
1654:	1 2 
1656:	2 
1660:	5 
1661:	1 
1662:	2 
1665:	1 
1666:	1 
1667:	2 
1670:	1 
1671:	2 
1672:	2 
1674:	2 
1675:	3 
1677:	2 
1679:	1 
1680:	2 
1681:	2 
1683:	1 1 
1684:	1 
1685:	1 
1687:	1 
1689:	1 
1690:	2 
1691:	1 
1694:	1 
1696:	4 
1697:	2 
1698:	3 
1699:	1 
1702:	5 
1703:	4 
1704:	3 
1707:	4 
1708:	6 
1709:	1 
1710:	2 
1711:	1 
1713:	2 
1714:	1 
1716:	1 
1718:	2 1 
1719:	2 
1721:	1 
1722:	6 
1723:	3 
1726:	1 
1728:	1 1 
1731:	2 
1732:	3 
1763:	1 1 
1765:	1 
1766:	1 
1767:	1 
1771:	1 
1776:	2 
1777:	2 
1778:	1 
1783:	1 2 
1784:	2 
1785:	3 2 
1786:	2 
1787:	2 
1788:	1 1 1 1 
1789:	1 
1791:	3 
1792:	1 
1794:	1 
1796:	3 
1797:	1 
1801:	1 
1802:	1 
1805:	1 
1806:	1 1 
1808:	1 
1809:	1 
1810:	1 1 
1816:	1 
1817:	1 
1818:	1 
1820:	1 
1821:	1 
1822:	2 
1826:	1 
1827:	3 
1829:	3 
1830:	1 
1831:	4 
