=== non-contiguous nft : chains ===
Found 797 chain interruption in 2610 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	3 
1000:	5 
1001:	1 
1003:	1 
1004:	2 
1005:	1 
1006:	1 
1007:	4 
1008:	3 3 
1009:	1 
1010:	1 
1011:	2 
1012:	5 
1013:	6 
1014:	7 
1015:	3 2 
1016:	2 
1020:	1 
1021:	2 
1022:	1 
1023:	1 
1024:	4 
1025:	3 
1027:	3 
1028:	3 1 
1029:	9 
1031:	1 
1032:	1 3 
1034:	3 
1035:	1 
1036:	3 
1038:	1 3 
1039:	1 
1040:	4 
1041:	3 
1042:	2 
1044:	2 1 
1045:	2 
1046:	1 
1047:	2 
1048:	1 
1049:	2 
1050:	1 
1051:	1 
1052:	1 
1053:	1 
1057:	1 
1058:	1 
1059:	1 
1060:	5 
1061:	3 
1062:	2 
1063:	1 
1064:	5 
1065:	1 
1070:	1 
1071:	1 
1073:	3 2 
1074:	5 
1075:	3 
1076:	2 
1077:	1 2 
1078:	3 
1079:	3 
1080:	4 
1081:	1 1 
1082:	3 
1083:	2 
1084:	3 
1086:	1 2 
1087:	2 
1088:	4 
1089:	1 
1091:	3 
1092:	2 
1093:	2 
1094:	3 
1095:	1 1 
1096:	2 
1097:	1 
1098:	1 
1099:	3 
1100:	1 
1101:	1 
1102:	2 3 
1103:	4 
1104:	1 3 
1105:	1 
1106:	3 
1107:	1 
1108:	3 
1109:	3 1 
1112:	8 
1116:	6 
1117:	2 6 
1119:	1 
1120:	8 
1121:	1 
1122:	1 3 
1123:	3 
1124:	3 2 
1125:	1 2 
1128:	2 1 
1129:	4 
1130:	2 
1131:	1 
1132:	5 1 
1133:	1 
1134:	1 
1136:	2 
1137:	2 
1138:	4 1 
1140:	1 4 
1141:	2 
1142:	2 
1143:	3 
1144:	2 
1146:	5 
1147:	2 
1148:	2 
1149:	2 
1150:	5 
1151:	5 
1152:	1 4 
1153:	2 
1155:	2 1 
1156:	2 
1157:	1 
1160:	1 
1161:	3 
1162:	6 
1163:	5 
1164:	1 
1165:	4 1 
1167:	1 
1168:	2 
1169:	1 1 
1170:	4 
1171:	4 
1172:	4 1 
1174:	4 
1175:	5 
1176:	5 
1177:	3 
1178:	2 
1179:	2 2 
1180:	1 1 
1181:	1 3 2 
1182:	4 
1183:	3 
1184:	8 
1185:	1 6 
1186:	1 2 
1187:	2 
1188:	2 
1189:	4 
1190:	4 
1191:	2 
1192:	3 
1193:	6 
1194:	2 
1195:	1 2 
1196:	1 1 
1197:	2 4 
1198:	3 
1199:	1 
1200:	3 
1201:	1 2 
1202:	2 
1203:	3 
1205:	2 
1206:	1 
1207:	1 2 3 3 
1208:	1 6 2 
1209:	2 1 
1210:	2 
1212:	1 3 
1213:	6 1 
1214:	1 
1215:	3 
1216:	3 2 
1217:	1 3 
1218:	1 
1219:	2 
1220:	1 2 
1221:	8 8 
1222:	4 
1223:	4 4 
1224:	1 
1225:	3 
1226:	4 
1227:	3 
1228:	1 
1229:	4 
1230:	4 
1231:	1 
1232:	2 
1233:	3 
1234:	2 
1235:	6 
1236:	4 
1238:	1 
1239:	3 
1240:	1 
1241:	1 1 
1242:	6 2 
1243:	8 
1244:	1 
1245:	3 1 
1246:	2 
1247:	2 
1250:	2 
1251:	5 
1252:	3 
1253:	2 
1254:	2 3 
1255:	1 
1257:	3 
1258:	1 8 
1259:	2 
1260:	3 
1261:	1 2 
1262:	2 
1263:	9 2 
1264:	1 
1265:	4 
1267:	3 
1268:	4 
1269:	1 
1270:	3 
1271:	3 1 
1272:	5 
1273:	3 
1274:	7 
1275:	3 
1276:	4 
1277:	2 
